sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
27933,10.1038/ncomms13713,26655,2(b),33442,Un-doped SnSe_ 5.2e18,SnSe,350,-3.9189e+23,738.77,0.00019174,0.00052033,,0.078236,0.0013536013,
27933,10.1038/ncomms13713,26655,2(b),33442,Un-doped SnSe_ 5.2e18,SnSe,400,-3.9048e+21,690.06,0.00018588,0.00052642,,0.10769,0.0014491493,
27933,10.1038/ncomms13713,26655,2(b),33442,Un-doped SnSe_ 5.2e18,SnSe,450,3.8408e+23,641.36,0.00018001,0.00053251,,0.13715,0.0015591867,
27933,10.1038/ncomms13713,26655,2(b),33442,Un-doped SnSe_ 5.2e18,SnSe,500,7.7207e+23,592.65,0.00017415,0.00053859,,0.16661,0.0016873365,
27933,10.1038/ncomms13713,26655,2(b),33442,Un-doped SnSe_ 5.2e18,SnSe,550,1.1601e+24,543.95,0.00016829,0.00054468,,0.19607,0.0018384043,
27933,10.1038/ncomms13713,26655,2(b),33442,Un-doped SnSe_ 5.2e18,SnSe,600,1.548e+24,495.24,0.00016243,0.00055077,,0.22553,0.002019223,
27933,10.1038/ncomms13713,26655,2(b),33442,Un-doped SnSe_ 5.2e18,SnSe,650,1.936e+24,446.53,0.00015656,0.00055686,,0.25498,0.0022394912,
27933,10.1038/ncomms13713,26655,2(b),33442,Un-doped SnSe_ 5.2e18,SnSe,700,2.324e+24,397.83,0.0001507,0.00056295,,0.28444,0.0025136365,
27933,10.1038/ncomms13713,26655,2(b),33442,Un-doped SnSe_ 5.2e18,SnSe,750,2.712e+24,349.12,0.00014484,0.00056903,,0.3139,0.0028643446,
27933,10.1038/ncomms13713,26656,3(a),33442,Un-doped SnSe_ 5.2e18,SnSe,300,,787.47,0.00020824,0.00051424,,0.048778,0.0012698896,
27933,10.1038/ncomms13713,26655,2(b),33443,Bi-doped SnSe_ 8.7e18,Sn0.98SeBi0.02,350,-7.3092e+23,152.26,0.000085288,-0.00052806,0.72836,0.016537,0.0065677131,0.0001170959
27933,10.1038/ncomms13713,26655,2(b),33443,Bi-doped SnSe_ 8.7e18,Sn0.98SeBi0.02,400,-1.4748e+22,326.6,0.00010206,-0.00050534,0.67449,0.067229,0.0030618494,0.0001513143
27933,10.1038/ncomms13713,26655,2(b),33443,Bi-doped SnSe_ 8.7e18,Sn0.98SeBi0.02,450,7.0143e+23,500.94,0.00011884,-0.00048262,0.62062,0.11792,0.0019962471,0.0001914859
27933,10.1038/ncomms13713,26655,2(b),33443,Bi-doped SnSe_ 8.7e18,Sn0.98SeBi0.02,500,1.4176e+24,675.28,0.00013561,-0.0004599,0.56675,0.16861,0.0014808672,0.0002392766
27933,10.1038/ncomms13713,26655,2(b),33443,Bi-doped SnSe_ 8.7e18,Sn0.98SeBi0.02,550,2.1338e+24,849.62,0.00015239,-0.00043718,0.51288,0.2193,0.0011769968,0.000297126
