sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Resistivity,Seebeck coefficient,Thermal conductivity,ZT,Power factor,Figure of merit Z
21449,10.15541/jim20180249,25307,6(a)(i),31533,(Ag2Se)1–x(Bi2Se3)x_ x=0.50,undefined,350,,,11244,0.000088933,4.761e-7,0.00942,0.61164,,-0.00015313,0.67796,0.12782,0.0002636583,0.0003888995
21449,10.15541/jim20180249,25307,6(a)(i),31533,(Ag2Se)1–x(Bi2Se3)x_ x=0.50,undefined,400,,,8607.3,0.00011618,4.272e-7,0.0085539,0.57995,,-0.00016543,0.64341,0.15564,0.0002355567,0.0003661067
21449,10.15541/jim20180249,25307,6(a)(i),31533,(Ag2Se)1–x(Bi2Se3)x_ x=0.50,undefined,450,,,6972,0.00014343,3.697e-7,0.0076879,0.54826,,-0.00017774,0.60886,0.18346,0.000220256,0.0003617515
21449,10.15541/jim20180249,25307,6(a)(i),31533,(Ag2Se)1–x(Bi2Se3)x_ x=0.50,undefined,500,,,5858.9,0.00017068,3.036e-7,0.0068219,0.51657,,-0.00019004,0.57431,0.21128,0.0002115954,0.000368434
21449,10.15541/jim20180249,25307,6(a)(i),31533,(Ag2Se)1–x(Bi2Se3)x_ x=0.50,undefined,550,,,5052.3,0.00019793,2.289e-7,0.0059559,0.48489,,-0.00020234,0.53976,0.2391,0.0002068486,0.0003832233
21449,10.15541/jim20180249,25307,6(a)(i),31533,(Ag2Se)1–x(Bi2Se3)x_ x=0.50,undefined,600,,,4440.9,0.00022518,1.456e-7,0.0050899,0.4532,,-0.00021465,0.50521,0.26692,0.0002046128,0.0004050054
21449,10.15541/jim20180249,25307,6(a)(i),31533,(Ag2Se)1–x(Bi2Se3)x_ x=0.50,undefined,650,,,3961.7,0.00025242,5.38e-8,0.0042238,0.42151,,-0.00022695,0.47066,0.29474,0.0002040525,0.0004335455
21449,10.15541/jim20180249,25307,6(a)(i),31533,(Ag2Se)1–x(Bi2Se3)x_ x=0.50,undefined,700,,,3575.6,0.00027967,-4.66e-8,,,,-0.00023925,0.43611,0.32851,0.0002046694,0.0004693067
21449,10.15541/jim20180249,25307,6(a)(i),31534,(Ag2Se)1–x(Bi2Se3)x_ x=0.51,undefined,300,,,,,1.781e-7,,,,-0.000079016,,,,
21449,10.15541/jim20180249,25307,6(a)(i),31534,(Ag2Se)1–x(Bi2Se3)x_ x=0.51,undefined,350,,,32099,0.000031154,1.924e-7,0.0093418,0.62168,,-0.000099311,0.78567,0.1042,0.000316582,0.0004029453
21449,10.15541/jim20180249,25307,6(a)(i),31534,(Ag2Se)1–x(Bi2Se3)x_ x=0.51,undefined,400,,,17827,0.000056094,1.958e-7,0.0084807,0.58678,,-0.00011961,0.73433,0.14808,0.0002550429,0.0003473137
21449,10.15541/jim20180249,25307,6(a)(i),31534,(Ag2Se)1–x(Bi2Se3)x_ x=0.51,undefined,450,,,12340,0.000081035,1.885e-7,0.0076197,0.55188,,-0.0001399,0.683,0.19196,0.0002415186,0.0003536144
21449,10.15541/jim20180249,25307,6(a)(i),31534,(Ag2Se)1–x(Bi2Se3)x_ x=0.51,undefined,500,,,9435.7,0.00010598,1.704e-7,0.0067586,0.51698,,-0.0001602,0.63166,0.23584,0.0002421582,0.0003833679
21449,10.15541/jim20180249,25307,6(a)(i),31534,(Ag2Se)1–x(Bi2Se3)x_ x=0.51,undefined,550,,,7638.3,0.00013092,1.416e-7,0.0058976,0.48208,,-0.00018049,0.58032,0.27972,0.0002488302,0.0004287809
21449,10.15541/jim20180249,25307,6(a)(i),31534,(Ag2Se)1–x(Bi2Se3)x_ x=0.51,undefined,600,,,6416,0.00015586,1.019e-7,0.0050366,0.44718,,-0.00020079,0.52899,0.3236,0.0002586715,0.0004889912
21449,10.15541/jim20180249,25307,6(a)(i),31534,(Ag2Se)1–x(Bi2Se3)x_ x=0.51,undefined,650,,,5531,0.0001808,5.16e-8,0.0041755,0.41228,,-0.00022108,0.47765,0.36747,0.0002703352,0.0005659692
21449,10.15541/jim20180249,25307,6(a)(i),31534,(Ag2Se)1–x(Bi2Se3)x_ x=0.51,undefined,700,,,4860.5,0.00020574,-9.6e-9,0.0033145,,,-0.00024138,0.42632,0.41135,0.0002831937,0.0006642748
21449,10.15541/jim20180249,25307,6(a)(i),31535,(Ag2Se)1–x(Bi2Se3)x_ x=0.52,undefined,350,,,33554,0.000029803,1.461e-7,0.0091872,0.583,,-0.000072334,0.77958,0.055474,0.0001755615,0.0002252001
21449,10.15541/jim20180249,25307,6(a)(i),31535,(Ag2Se)1–x(Bi2Se3)x_ x=0.52,undefined,400,,,22505,0.000044434,1.277e-7,0.0083386,0.55397,,-0.0000914,0.73312,0.11135,0.0001880059,0.0002564462
21449,10.15541/jim20180249,25307,6(a)(i),31535,(Ag2Se)1–x(Bi2Se3)x_ x=0.52,undefined,450,,,16931,0.000059065,1.092e-7,0.00749,0.52494,,-0.00011047,0.68667,0.16722,0.0002066195,0.0003009007
21449,10.15541/jim20180249,25307,6(a)(i),31535,(Ag2Se)1–x(Bi2Se3)x_ x=0.52,undefined,500,,,13569,0.000073696,9.08e-8,0.0066414,0.49591,,-0.00012953,0.64021,0.22309,0.000227661,0.0003556036
21449,10.15541/jim20180249,25307,6(a)(i),31535,(Ag2Se)1–x(Bi2Se3)x_ x=0.52,undefined,550,,,11322,0.000088327,7.24e-8,0.0057928,0.46688,,-0.0001486,0.59376,0.27897,0.000250012,0.0004210657
21449,10.15541/jim20180249,25307,6(a)(i),31535,(Ag2Se)1–x(Bi2Se3)x_ x=0.52,undefined,600,,,9712.5,0.00010296,5.4e-8,0.0049442,0.43785,,-0.00016766,0.54731,0.33484,0.0002730172,0.0004988346
21449,10.15541/jim20180249,25307,6(a)(i),31535,(Ag2Se)1–x(Bi2Se3)x_ x=0.52,undefined,650,,,8504.1,0.00011759,3.55e-8,0.0040956,0.40882,,-0.00018673,0.50085,0.39071,0.0002965217,0.000592037
21449,10.15541/jim20180249,25307,6(a)(i),31535,(Ag2Se)1–x(Bi2Se3)x_ x=0.52,undefined,700,,,7563.2,0.00013222,1.71e-8,0.003247,,,-0.0002058,0.4544,0.44658,0.0003203291,0.0007049495
21449,10.15541/jim20180249,25312,7(d),31535,(Ag2Se)1–x(Bi2Se3)x_ x=0.52,undefined,300,,,,,,,0.61203,,,,,,
21449,10.15541/jim20180249,25307,6(a)(i),31536,(Ag2Se)1–x(Bi2Se3)x_ x=0.54,undefined,350,,,28361,0.00003526,1.31e-7,0.0089133,0.5842,,-0.000081435,0.77758,0.0691,0.0001880805,0.0002418793
21449,10.15541/jim20180249,25307,6(a)(i),31536,(Ag2Se)1–x(Bi2Se3)x_ x=0.54,undefined,400,,,21023,0.000047568,1.124e-7,0.0080806,0.54929,,-0.000098706,0.7262,0.12726,0.0002048244,0.0002820496
21449,10.15541/jim20180249,25307,6(a)(i),31536,(Ag2Se)1–x(Bi2Se3)x_ x=0.54,undefined,450,,,16701,0.000059876,9.39e-8,0.0072479,0.51439,,-0.00011598,0.67481,0.18543,0.0002246512,0.0003329103
21449,10.15541/jim20180249,25307,6(a)(i),31536,(Ag2Se)1–x(Bi2Se3)x_ x=0.54,undefined,500,,,13853,0.000072184,7.53e-8,0.0064152,0.47948,,-0.00013325,0.62342,0.24359,0.0002459678,0.0003945459
21449,10.15541/jim20180249,25307,6(a)(i),31536,(Ag2Se)1–x(Bi2Se3)x_ x=0.54,undefined,550,,,11835,0.000084493,5.67e-8,0.0055825,0.44458,,-0.00015052,0.57204,0.30175,0.000268137,0.0004687381
21449,10.15541/jim20180249,25307,6(a)(i),31536,(Ag2Se)1–x(Bi2Se3)x_ x=0.54,undefined,600,,,10330,0.000096801,3.81e-8,0.0047498,0.40967,,-0.00016779,0.52065,0.35992,0.0002908255,0.0005585816
21449,10.15541/jim20180249,25307,6(a)(i),31536,(Ag2Se)1–x(Bi2Se3)x_ x=0.54,undefined,650,,,9165.1,0.00010911,1.96e-8,0.0039171,0.37476,,-0.00018506,0.46927,0.41808,0.000313879,0.0006688666
21449,10.15541/jim20180249,25309,7(a),31536,(Ag2Se)1–x(Bi2Se3)x_ x=0.54,undefined,700,,,,,,,,,-0.00020233,0.41788,,,
21449,10.15541/jim20180249,25307,6(a)(i),31537,(Ag2Se)1–x(Bi2Se3)x_ x=0.56,undefined,300,,,,,1.363e-7,,0.56045,,-0.000066576,,,,
21449,10.15541/jim20180249,25307,6(a)(i),31537,(Ag2Se)1–x(Bi2Se3)x_ x=0.56,undefined,350,,,30643,0.000032634,1.207e-7,0.0086958,0.53025,,-0.000082542,0.72656,0.083338,0.0002087763,0.0002873491
21449,10.15541/jim20180249,25307,6(a)(i),31537,(Ag2Se)1–x(Bi2Se3)x_ x=0.56,undefined,400,,,25974,0.0000385,1.051e-7,0.007998,0.50004,,-0.00009799,0.68344,0.14137,0.0002494034,0.0003649236
