sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Electronic thermal conductivity,Hall concentration,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,hall density,Figure of merit Z
37,10.1016/j.actamat.2010.04.007,11382,4(a),13625,y=1.26,Ag0.74Sb1.26Te2.26,350,,33674,0.000029697,,,,,0.00060843,0.00013317,1.2114,0.33792,,0.0005022536
37,10.1016/j.actamat.2010.04.007,11382,4(a),13625,y=1.26,Ag0.74Sb1.26Te2.26,400,,31957,0.000031292,,,,,0.00075819,0.00015353,1.1686,0.45084,,0.000648802
37,10.1016/j.actamat.2010.04.007,11382,4(a),13625,y=1.26,Ag0.74Sb1.26Te2.26,450,,30239,0.00003307,,,,,0.00090868,0.00017302,1.1257,0.56376,,0.0008072133
37,10.1016/j.actamat.2010.04.007,11382,4(a),13625,y=1.26,Ag0.74Sb1.26Te2.26,500,,28522,0.000035061,,,,,0.0010599,0.00019163,1.0829,0.67668,,0.0009787607
37,10.1016/j.actamat.2010.04.007,11382,4(a),13625,y=1.26,Ag0.74Sb1.26Te2.26,550,,26805,0.000037306,,,,,0.0012119,0.00020935,1.0401,0.78961,,0.0011651764
37,10.1016/j.actamat.2010.04.007,11382,4(a),13625,y=1.26,Ag0.74Sb1.26Te2.26,600,,25087,0.000039861,,,,,0.0013646,0.00022619,0.99723,0.90253,,0.0013683904
37,10.1016/j.actamat.2010.04.007,11382,4(a),13625,y=1.26,Ag0.74Sb1.26Te2.26,650,,23370,0.00004279,,,,,0.0015181,0.00024216,0.9544,1.0154,,0.0015906329
37,10.1016/j.actamat.2010.04.007,11382,4(a),13626,y=1.29,Ag0.71Sb1.29Te2.26,350,,48044,0.000020814,,,,,0.00061828,0.00010713,1.181,0.3329,,0.0005235224
37,10.1016/j.actamat.2010.04.007,11382,4(a),13626,y=1.29,Ag0.71Sb1.29Te2.26,400,,43689,0.000022889,,,,,0.00076386,0.00013089,1.1478,0.50774,,0.0006654992
37,10.1016/j.actamat.2010.04.007,11382,4(a),13626,y=1.29,Ag0.71Sb1.29Te2.26,450,,39334,0.000025423,,,,,0.00090944,0.00015464,1.1147,0.68258,,0.0008158608
37,10.1016/j.actamat.2010.04.007,11382,4(a),13626,y=1.29,Ag0.71Sb1.29Te2.26,500,,34980,0.000028588,,,,,0.001055,0.0001784,1.0815,0.85742,,0.000975497
37,10.1016/j.actamat.2010.04.007,11382,4(a),13626,y=1.29,Ag0.71Sb1.29Te2.26,550,,30625,0.000032653,,,,,0.0012006,0.00020216,1.0484,1.0323,,0.0011451736
37,10.1016/j.actamat.2010.04.007,11382,4(a),13626,y=1.29,Ag0.71Sb1.29Te2.26,600,,26271,0.000038065,,,,,0.0013462,0.00022592,1.0152,1.2071,,0.0013260441
37,10.1016/j.actamat.2010.04.007,11382,4(a),13626,y=1.29,Ag0.71Sb1.29Te2.26,650,,21916,0.000045629,,,,,0.0014918,0.00024967,0.98202,1.3819,,0.0015191137
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,350,,69739,0.000014339,,,,,0.00034961,0.000067469,1.133,0.060758,,0.0003085702
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,400,,63429,0.000015766,,,,,0.00052515,0.000089747,1.0957,0.17514,,0.0004792827
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,450,,57119,0.000017507,,,,,0.00070068,0.00011202,1.0583,0.28952,,0.0006620807
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,500,,50809,0.000019682,,,,,0.00087622,0.0001343,1.021,0.40391,,0.0008581978
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,550,,44500,0.000022472,,,,,0.0010518,0.00015658,0.98368,0.51829,,0.0010692502
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,600,,38190,0.000026185,,,,,0.0012273,0.00017886,0.94635,0.63268,,0.0012968775
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,650,,31880,0.000031368,,,,,0.0014028,0.00020113,0.90903,0.74706,,0.0015431834
37,10.1016/j.actamat.2010.04.007,11383,4(b),13627,y=1.32,Ag0.68Sb1.32Te2.26,300,,,,,,,,,0.000045192,,,,
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,350,,111840,0.0000089413,,,,,0.00052285,0.000062011,1.0064,0.18183,,0.000519525
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,400,,100630,0.0000099374,,,,,0.0006941,0.000081068,0.96856,0.28665,,0.0007166309
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,450,,89426,0.000011182,,,,,0.00086535,0.00010012,0.93069,0.41841,,0.000929794
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,500,,78219,0.000012785,,,,,0.0010366,0.00011918,0.89281,0.58053,,0.0011610533
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,550,,67011,0.000014923,,,,,0.0012078,0.00013824,0.85494,0.777,,0.0014127307
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,600,,55804,0.00001792,,,,,0.0013791,0.0001573,0.81707,1.0127,,0.0016878603
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,650,,44596,0.000022424,,,,,0.0015503,0.00017635,0.77919,1.2933,,0.0019896303
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,350,,125750,0.0000079523,,,,,0.00030672,0.000043231,0.62168,0.021042,,0.0004933728
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,400,,111610,0.0000089598,,,,,0.00047369,0.00006364,0.62716,0.14574,,0.0007552937
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,450,,97471,0.000010259,,,,,0.00064066,0.000084049,0.63265,0.27043,,0.001012661
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,500,,83333,0.000012,,,,,0.00080763,0.00010446,0.63813,0.39513,,0.0012656199
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,550,,69194,0.000014452,,,,,0.00097459,0.00012487,0.64362,0.51982,,0.001514232
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,600,,55055,0.000018164,,,,,0.0011416,0.00014528,0.6491,0.64452,,0.0017587429
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,650,,40916,0.00002444,,,,,0.0013085,0.00016568,0.65459,0.76921,,0.0019989612
666,10.1088/1674-1056/21/10/106101,24804,4(a),30902,x=0.05,Ag0.9Sb1.05Mn0.05Te2.05,350,,12485,0.000080096,0.074077,,,0.83006,0.00076108,0.0002494,0.90212,0.29046,,0.0008436572
666,10.1088/1674-1056/21/10/106101,24804,4(a),30902,x=0.05,Ag0.9Sb1.05Mn0.05Te2.05,400,,12684,0.000078839,0.08711,,,0.78325,0.00079596,0.0002523,0.86922,0.38227,,0.0009157175
