sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
18650,10.1016/j.jmat.2015.09.001,25672,Figure 3A,31987,Sn(1-x)MnxTe_ x=0,undefined,350,,5.653e-7,7.89e-8,502.83,2.2687,0.0000091328,7.2729,-0.060649,1769003.5203170057,0.0001475491,0.0000202875
18650,10.1016/j.jmat.2015.09.001,25672,Figure 3A,31987,Sn(1-x)MnxTe_ x=0,undefined,400,,0.0000015938,8.6e-8,461.49,2.1615,0.000021408,6.7816,-0.013634,627431.296273058,0.0002875533,0.000042402
18650,10.1016/j.jmat.2015.09.001,25672,Figure 3A,31987,Sn(1-x)MnxTe_ x=0,undefined,450,,0.0000026222,9.31e-8,420.16,2.0544,0.000033683,6.2904,0.033381,381359.1640607124,0.0004326689,0.0000687824
18650,10.1016/j.jmat.2015.09.001,25672,Figure 3A,31987,Sn(1-x)MnxTe_ x=0,undefined,500,,0.0000036507,1.003e-7,378.82,1.9473,0.000045959,5.7991,0.080397,273920.070123538,0.0005785821,0.000099771
18650,10.1016/j.jmat.2015.09.001,25672,Figure 3A,31987,Sn(1-x)MnxTe_ x=0,undefined,550,,0.0000046792,1.074e-7,337.48,1.8402,0.000058234,5.3078,0.12741,213711.745597538,0.000724739,0.0001365423
18650,10.1016/j.jmat.2015.09.001,25672,Figure 3A,31987,Sn(1-x)MnxTe_ x=0,undefined,600,,0.0000057076,1.146e-7,296.15,1.733,0.00007051,4.8165,0.17443,175204.9898381106,0.0008710597,0.0001808491
18650,10.1016/j.jmat.2015.09.001,25672,Figure 3A,31987,Sn(1-x)MnxTe_ x=0,undefined,650,,0.0000067361,1.217e-7,254.81,1.6259,0.000082785,4.3252,0.22144,148453.8531197577,0.0010174071,0.0002352278
18650,10.1016/j.jmat.2015.09.001,25672,Figure 3A,31987,Sn(1-x)MnxTe_ x=0,undefined,700,,0.0000077646,1.288e-7,213.48,1.5188,0.00009506,3.8339,0.26846,128789.6350101744,0.0011637951,0.0003035539
18650,10.1016/j.jmat.2015.09.001,25672,Figure 3A,31987,Sn(1-x)MnxTe_ x=0,undefined,750,,0.0000087931,1.36e-7,172.14,1.4116,0.00010734,3.3427,0.31547,113725.5347943274,0.0013103315,0.0003919979
18650,10.1016/j.jmat.2015.09.001,25672,Figure 3A,31987,Sn(1-x)MnxTe_ x=0,undefined,800,,0.0000098215,1.431e-7,130.81,1.3045,0.00011961,2.8514,0.36249,101817.4413276994,0.0014566565,0.0005108566
