sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Hall movility,Lattice thermal conductivity,Power factor,S,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Electrical resistivity,Figure of merit Z
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,305,117400,,,,,,1.4639,,,0.0000085179,
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,310,113840,,,0.0046052,,0.00020113,1.4481,0.98585,,0.0000087843,0.0031801671
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,315,110420,,,0.0044949,,0.00020176,1.4337,0.98758,,0.0000090563,0.0031351747
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,320,107140,,,0.0044051,,0.00020277,1.4211,0.99193,,0.0000093336,0.0030997819
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,325,104010,,,0.0043302,,0.00020404,1.4103,0.99788,,0.0000096145,0.0030704106
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,330,101050,,,0.0042674,,0.0002055,1.4015,1.0048,,0.0000098961,0.0030448805
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,335,98231,,,0.0042124,,0.00020708,1.3947,1.0118,,0.0000101801,0.0030202911
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,340,95563,,,0.0041627,,0.00020871,1.3897,1.0184,,0.0000104643,0.0029953947
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,345,93028,,,0.0041162,,0.00021035,1.3863,1.0244,,0.0000107495,0.0029691986
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,350,90614,,,0.004071,,0.00021196,1.3845,1.0291,,0.0000110358,0.0029404117
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,355,88305,,,0.0040259,,0.00021352,1.384,1.0327,,0.0000113244,0.0029088873
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,360,86086,,,0.0039793,,0.000215,1.3846,1.0346,,0.0000116163,0.0028739708
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,365,83943,,,0.0039302,,0.00021638,1.3864,1.0347,,0.0000119128,0.002834824
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,370,81866,,,0.0038781,,0.00021765,1.3894,1.0327,,0.0000122151,0.0027912048
