sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Hall movility,Lattice thermal conductivity,Resistivity,Seebeck coefficient,Thermal conductivity,ZT
27945,10.1063/1.4983404,25600,Figure 2A,31870,GeTe,undefined,350,,,,0.032802,0.000047912,5.2449,0.041154
27945,10.1063/1.4983404,25600,Figure 2A,31870,GeTe,undefined,400,,,,0.037635,0.000062814,4.8338,0.18546
27945,10.1063/1.4983404,25600,Figure 2A,31870,GeTe,undefined,450,,,,0.042468,0.000077716,4.4227,0.32977
27945,10.1063/1.4983404,25600,Figure 2A,31870,GeTe,undefined,500,,,,0.0473,0.000092618,4.0116,0.47408
27945,10.1063/1.4983404,25600,Figure 2A,31870,GeTe,undefined,550,,,,0.052133,0.00010752,3.6005,0.6184
27945,10.1063/1.4983404,25600,Figure 2A,31870,GeTe,undefined,600,,,,0.056966,0.00012242,3.1894,0.76271
27945,10.1063/1.4983404,25600,Figure 2A,31870,GeTe,undefined,650,,,,0.061798,0.00013732,2.7783,0.90702
27945,10.1063/1.4983404,25600,Figure 2A,31870,GeTe,undefined,700,,,,0.066631,0.00015223,2.3672,1.0513
27945,10.1063/1.4983404,25600,Figure 2A,31870,GeTe,undefined,750,,,,0.071464,0.00016713,1.9561,1.1956
27945,10.1063/1.4983404,25602,Figure 2B,31870,GeTe,undefined,150,,,,0.013472,,,
27945,10.1063/1.4983404,25602,Figure 2B,31870,GeTe,undefined,200,,,,0.018304,,,
27945,10.1063/1.4983404,25602,Figure 2B,31870,GeTe,undefined,250,,,,0.023137,,,
27945,10.1063/1.4983404,25602,Figure 2B,31870,GeTe,undefined,300,,,,0.02797,,,
27945,10.1063/1.4983404,25600,Figure 2A,31871,Bi0.05Ge0.95Te,undefined,300,,,,0.067499,0.000063365,2.6305,
27945,10.1063/1.4983404,25600,Figure 2A,31871,Bi0.05Ge0.95Te,undefined,350,,,,0.078831,0.000082577,2.4702,0.20211
27945,10.1063/1.4983404,25600,Figure 2A,31871,Bi0.05Ge0.95Te,undefined,400,,,,0.090162,0.00010179,2.31,0.39388
27945,10.1063/1.4983404,25600,Figure 2A,31871,Bi0.05Ge0.95Te,undefined,450,,,,0.10149,0.000121,2.1497,0.58565
27945,10.1063/1.4983404,25600,Figure 2A,31871,Bi0.05Ge0.95Te,undefined,500,,,,0.11283,0.00014021,1.9894,0.77742
27945,10.1063/1.4983404,25600,Figure 2A,31871,Bi0.05Ge0.95Te,undefined,550,,,,0.12416,0.00015942,1.8292,0.9692
27945,10.1063/1.4983404,25600,Figure 2A,31871,Bi0.05Ge0.95Te,undefined,600,,,,0.13549,0.00017863,1.6689,1.161
27945,10.1063/1.4983404,25600,Figure 2A,31871,Bi0.05Ge0.95Te,undefined,650,,,,0.14682,0.00019785,1.5087,1.3527
27945,10.1063/1.4983404,25600,Figure 2A,31871,Bi0.05Ge0.95Te,undefined,700,,,,0.15815,0.00021706,1.3484,1.5445
27945,10.1063/1.4983404,25600,Figure 2A,31871,Bi0.05Ge0.95Te,undefined,750,,,,0.16948,0.00023627,1.1882,1.7363
27945,10.1063/1.4983404,25602,Figure 2B,31871,Bi0.05Ge0.95Te,undefined,150,,,,0.033504,,,
27945,10.1063/1.4983404,25602,Figure 2B,31871,Bi0.05Ge0.95Te,undefined,200,,,,0.044836,,,
27945,10.1063/1.4983404,25602,Figure 2B,31871,Bi0.05Ge0.95Te,undefined,250,,,,0.056168,,,
27945,10.1063/1.4983404,25600,Figure 2A,31872,Cu0.05Ge0.95Te,undefined,350,,,,0.044662,0.000079686,5.3231,0.14949
27945,10.1063/1.4983404,25600,Figure 2A,31872,Cu0.05Ge0.95Te,undefined,400,,,,0.048174,0.00008981,4.9831,0.23786
27945,10.1063/1.4983404,25600,Figure 2A,31872,Cu0.05Ge0.95Te,undefined,450,,,,0.051686,0.000099933,4.6432,0.32623
27945,10.1063/1.4983404,25600,Figure 2A,31872,Cu0.05Ge0.95Te,undefined,500,,,,0.055198,0.00011006,4.3032,0.4146
27945,10.1063/1.4983404,25600,Figure 2A,31872,Cu0.05Ge0.95Te,undefined,550,,,,0.058709,0.00012018,3.9632,0.50297
27945,10.1063/1.4983404,25600,Figure 2A,31872,Cu0.05Ge0.95Te,undefined,600,,,,0.062221,0.0001303,3.6233,0.59134
27945,10.1063/1.4983404,25600,Figure 2A,31872,Cu0.05Ge0.95Te,undefined,650,,,,0.065733,0.00014043,3.2833,0.67971
27945,10.1063/1.4983404,25600,Figure 2A,31872,Cu0.05Ge0.95Te,undefined,700,,,,0.069245,0.00015055,2.9433,0.76808
27945,10.1063/1.4983404,25600,Figure 2A,31872,Cu0.05Ge0.95Te,undefined,750,,,,0.072757,0.00016067,2.6034,0.85644
27945,10.1063/1.4983404,25602,Figure 2B,31872,Cu0.05Ge0.95Te,undefined,150,,,,0.030615,,,
27945,10.1063/1.4983404,25602,Figure 2B,31872,Cu0.05Ge0.95Te,undefined,200,,,,0.034127,,,
27945,10.1063/1.4983404,25602,Figure 2B,31872,Cu0.05Ge0.95Te,undefined,250,,,,0.037639,,,
27945,10.1063/1.4983404,25602,Figure 2B,31872,Cu0.05Ge0.95Te,undefined,300,,,,0.04115,,5.6631,0.061125
27945,10.1063/1.4983404,25600,Figure 2A,31873,Cu0.03Bi0.05Ge0.95Te,undefined,350,,,,0.15002,0.00015355,1.7448,0.43008
27945,10.1063/1.4983404,25600,Figure 2A,31873,Cu0.03Bi0.05Ge0.95Te,undefined,400,,,,0.15693,0.00016515,1.6939,0.57926
27945,10.1063/1.4983404,25600,Figure 2A,31873,Cu0.03Bi0.05Ge0.95Te,undefined,450,,,,0.16385,0.00017675,1.643,0.72844
27945,10.1063/1.4983404,25600,Figure 2A,31873,Cu0.03Bi0.05Ge0.95Te,undefined,500,,,,0.17076,0.00018835,1.5921,0.87762
27945,10.1063/1.4983404,25600,Figure 2A,31873,Cu0.03Bi0.05Ge0.95Te,undefined,550,,,,0.17768,0.00019995,1.5411,1.0268
27945,10.1063/1.4983404,25600,Figure 2A,31873,Cu0.03Bi0.05Ge0.95Te,undefined,600,,,,0.18459,0.00021155,1.4902,1.176
27945,10.1063/1.4983404,25600,Figure 2A,31873,Cu0.03Bi0.05Ge0.95Te,undefined,650,,,,0.19151,0.00022315,1.4393,1.3252
