sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,hall density,Electrical conductivity,Power factor,Figure of merit Z
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,350,0.0000095202,,0.94915,,5.9732e+26,105039.8100880234,,
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,400,0.000010683,,0.90747,,6.4522e+26,93606.6647945334,,
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,450,0.000012035,-0.000090934,0.87713,0.3525,6.9313e+26,83090.9846281678,0.0006870787,0.000783326
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,500,0.000013431,-0.000097864,0.85577,0.41663,7.4103e+26,74454.6199091654,0.0007130789,0.00083326
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,550,0.000014785,-0.00010479,0.84045,0.27384,7.8894e+26,67636.1176868448,0.0007427084,0.0008837033
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,600,0.000016054,-0.00011172,0.82814,0.32248,8.3684e+26,62289.7720194344,0.000777461,0.0009388038
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,650,0.000017232,-0.00011865,0.81622,0.37091,8.8475e+26,58031.5691736305,0.0008169581,0.0010009043
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,700,0.000018333,-0.00012558,0.80295,0.42371,,54546.4462990236,0.0008602158,0.0010713193
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,750,0.00001938,-0.00013251,0.78795,0.48236,,51599.5872033024,0.000906032,0.0011498598
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,800,0.000020392,-0.00013944,0.77273,0.54561,,49038.8387602982,0.0009534873,0.0012339204
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,850,0.000021373,-0.00014637,0.76111,0.60999,,46788.0035558883,0.0010023945,0.0013170165
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,900,0.000022298,-0.0001533,0.75977,0.67024,,44847.071486232,0.0010539461,0.001387191
4739,10.1103/physrevb.80.125205,642,6(a),1147,A,Ba15.09Ga28.13Ge56.78,950,0.000023102,-0.00016023,0.7787,0.71975,,43286.2955588261,0.0011113173,0.0014271444
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,350,0.000011699,,0.87229,,4.731e+26,85477.3912300197,,
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,400,0.000013031,,0.81062,,5.1463e+26,76740.0813444862,,
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,450,0.000014323,-0.00010429,0.77115,0.44312,5.5615e+26,69817.7756056692,0.0007593663,0.0009847194
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,500,0.000015641,-0.00011206,0.75131,0.5343,5.9767e+26,63934.5310402148,0.0008028543,0.0010686059
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,550,0.000017022,-0.00011983,0.74553,0.40779,6.3919e+26,58747.5032311127,0.0008435688,0.0011315022
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,600,0.000018472,-0.0001276,0.74671,0.46011,6.8071e+26,54135.98960589,0.0008814292,0.001180417
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,650,0.000019975,-0.00013537,0.74764,0.50311,7.2224e+26,50062.5782227785,0.0009173986,0.0012270593
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,700,0.000021496,-0.00014313,0.7425,0.55493,,46520.2828433197,0.0009530237,0.0012835336
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,750,0.000022987,-0.0001509,0.72828,0.61978,,43502.8494366381,0.0009905951,0.0013601844
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,800,0.00002439,-0.00015867,0.7063,0.69216,,41000.4100041,0.0010322332,0.0014614657
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,850,0.000025644,-0.00016644,0.6836,0.76118,,38995.4765247231,0.0010802634,0.0015802565
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,900,0.000026688,-0.00017421,0.67446,0.81481,,37470.0239808153,0.0011371824,0.0016860635
4739,10.1103/physrevb.80.125205,642,6(a),1148,B,Ba15.31Ga28.54Ge56.15,950,0.000027465,-0.00018198,0.70181,0.84414,,36409.9763335154,0.001205779,0.0017180989
4739,10.1103/physrevb.80.125205,645,11(a),1148,B,Ba15.31Ga28.54Ge56.15,300,,,1.551,,,,,
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,350,0.000017255,,1.0984,,2.8869e+26,57954.2161692263,,
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,400,0.000019387,-0.00012891,1.0198,0.33621,3.0769e+26,51580.95631093,0.0008571614,0.0008405191
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,450,0.000021345,-0.00013684,0.95806,0.41205,3.2668e+26,46849.379245725,0.0008772633,0.0009156664
