sid,DOI,figureid,fignum,sampleid,samplename,composition,Seebeck coefficient,Carrier concentration,ZT
14623,10.1038/nmat4430,26220,1(a),32891,n-type CoSb3 (this work),undefined,0.00023987,5e+25,0.36352
14623,10.1038/nmat4430,26220,1(a),32891,n-type CoSb3 (this work),undefined,0.00022034,1e+26,0.4887
14623,10.1038/nmat4430,26220,1(a),32891,n-type CoSb3 (this work),undefined,0.0002008,1.5e+26,0.61388
14623,10.1038/nmat4430,26220,1(a),32891,n-type CoSb3 (this work),undefined,0.00018127,2e+26,0.73905
14623,10.1038/nmat4430,26220,1(a),32891,n-type CoSb3 (this work),undefined,0.00016174,2.5e+26,0.86423
14623,10.1038/nmat4430,26220,1(a),32891,n-type CoSb3 (this work),undefined,0.0001422,3e+26,0.98941
14623,10.1038/nmat4430,26220,1(a),32891,n-type CoSb3 (this work),undefined,0.00012267,3.5e+26,1.1146
14623,10.1038/nmat4430,26220,1(a),32891,n-type CoSb3 (this work),undefined,0.00010314,4e+26,1.2398
14623,10.1038/nmat4430,26220,1(a),32891,n-type CoSb3 (this work),undefined,0.000083605,4.5e+26,1.3649
14623,10.1038/nmat4430,26220,1(a),32891,n-type CoSb3 (this work),undefined,0.000064072,5e+26,1.4901
