sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27909,10.1021/acsenergylett.7b00742,24963,Figure 1A,31107,Mg3.2Sb1.5Bi0.49Te0.01_ 923K_ 2min,undefined,350,3.4466e+25,19975,0.0053679,-0.00021114,1.0205,0.33681,0.0000500626,0.0008904875,0.0008725992
27909,10.1021/acsenergylett.7b00742,24963,Figure 1A,31107,Mg3.2Sb1.5Bi0.49Te0.01_ 923K_ 2min,undefined,400,3.5118e+25,20793,0.0051698,-0.00022098,0.99531,0.49321,0.0000480931,0.0010153671,0.0010201516
27909,10.1021/acsenergylett.7b00742,24963,Figure 1A,31107,Mg3.2Sb1.5Bi0.49Te0.01_ 923K_ 2min,undefined,450,3.577e+25,21611,0.0049716,-0.00023082,0.97011,0.6496,0.0000462727,0.0011513881,0.0011868634
27909,10.1021/acsenergylett.7b00742,24963,Figure 1A,31107,Mg3.2Sb1.5Bi0.49Te0.01_ 923K_ 2min,undefined,500,3.6422e+25,22428,0.0047735,-0.00024065,0.94491,0.80599,0.0000445871,0.0012988598,0.0013745857
27909,10.1021/acsenergylett.7b00742,24963,Figure 1A,31107,Mg3.2Sb1.5Bi0.49Te0.01_ 923K_ 2min,undefined,550,3.7074e+25,23246,0.0045753,-0.00025049,0.91971,0.96238,0.0000430182,0.0014585759,0.0015859084
27909,10.1021/acsenergylett.7b00742,24963,Figure 1A,31107,Mg3.2Sb1.5Bi0.49Te0.01_ 923K_ 2min,undefined,600,3.7726e+25,24064,0.0043772,-0.00026033,0.89452,1.1188,0.0000415559,0.0016308584,0.0018231659
27909,10.1021/acsenergylett.7b00742,24963,Figure 1A,31107,Mg3.2Sb1.5Bi0.49Te0.01_ 923K_ 2min,undefined,650,3.8378e+25,24882,0.004179,-0.00027016,0.86932,1.2752,0.0000401897,0.0018160482,0.0020890446
27909,10.1021/acsenergylett.7b00742,24963,Figure 1A,31107,Mg3.2Sb1.5Bi0.49Te0.01_ 923K_ 2min,undefined,700,3.903e+25,25700,0.0039809,-0.00028,0.84412,1.4316,0.0000389105,0.00201488,0.0023869592
27909,10.1021/acsenergylett.7b00742,24963,Figure 1A,31107,Mg3.2Sb1.5Bi0.49Te0.01_ 923K_ 2min,undefined,750,3.9681e+25,26518,0.0037827,-0.00028984,0.81892,1.5879,0.0000377102,0.0022277036,0.0027202945
27909,10.1021/acsenergylett.7b00742,24963,Figure 1A,31108,Mg3.2Sb1.5Bi0.49Te0.01_ 973K_ 2min,undefined,350,2.9046e+25,41920,0.007658,-0.00020599,1.0247,0.65666,0.000023855,0.0017787444,0.0017358685
27909,10.1021/acsenergylett.7b00742,24963,Figure 1A,31108,Mg3.2Sb1.5Bi0.49Te0.01_ 973K_ 2min,undefined,400,2.9905e+25,39278,0.0071283,-0.00022025,0.99563,0.77734,0.0000254595,0.0019053782,0.0019137413
