sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Hall movility,Seebeck coefficient,ZT
27940,10.1016/j.mtphys.2019.100096,25720,4(a),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,300,,,,-0.06338
27940,10.1016/j.mtphys.2019.100096,25720,4(a),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,350,,,,0.12251
27940,10.1016/j.mtphys.2019.100096,25720,4(a),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,400,,,,0.3084
27940,10.1016/j.mtphys.2019.100096,25720,4(a),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,450,,,,0.49429
27940,10.1016/j.mtphys.2019.100096,25720,4(a),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,500,,,,0.68018
27940,10.1016/j.mtphys.2019.100096,25720,4(a),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,550,,,,0.86608
27940,10.1016/j.mtphys.2019.100096,25720,4(a),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,600,,,,1.052
27940,10.1016/j.mtphys.2019.100096,25720,4(a),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,650,,,,1.2379
27940,10.1016/j.mtphys.2019.100096,26308,3(b),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,,2.2e+26,0.0132,0.000049685,
27940,10.1016/j.mtphys.2019.100096,26308,3(b),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,,2.25e+26,0.013117,0.000049422,
27940,10.1016/j.mtphys.2019.100096,26308,3(b),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,,2.3e+26,0.013034,0.000049159,
27940,10.1016/j.mtphys.2019.100096,26308,3(b),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,,2.35e+26,0.012951,0.000048895,
27940,10.1016/j.mtphys.2019.100096,26308,3(b),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,,2.4e+26,0.012867,0.000048632,
27940,10.1016/j.mtphys.2019.100096,26308,3(b),32044,GeTe-xCu2Te-yBiTe-zPbTe_ x=0.015_ y=0_ z=0,undefined,,2.45e+26,0.012784,0.000048369,
