sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
11048,10.1007/s11664-009-0669-7,17607,1(c),21141,undoped,AgSbTe2 ,350,,,0.000076503,0.00026801,0.63447,0.41788,13071.3828215887,0.0009389091,0.0014798321
11048,10.1007/s11664-009-0669-7,17607,1(c),21141,undoped,AgSbTe2 ,400,,,0.000081716,0.00029147,0.61752,0.49313,12237.5055068775,0.0010396344,0.0016835639
11048,10.1007/s11664-009-0669-7,17607,1(c),21141,undoped,AgSbTe2 ,450,,,,,0.60056,,,,
11048,10.1007/s11664-009-0669-7,17608,2_S,21141,undoped,AgSbTe2 ,100,,,0.000050437,0.00015069,,0.041642,19826.7145151377,0.0004502146,
11048,10.1007/s11664-009-0669-7,17608,2_S,21141,undoped,AgSbTe2 ,150,,,0.00005565,0.00017415,,0.11689,17969.4519317161,0.0005449815,
11048,10.1007/s11664-009-0669-7,17608,2_S,21141,undoped,AgSbTe2 ,200,,,0.000060863,0.00019762,,0.19214,16430.3435584838,0.0006416651,
11048,10.1007/s11664-009-0669-7,17608,2_S,21141,undoped,AgSbTe2 ,250,,,0.000066076,0.00022108,,0.26738,15134.0880198559,0.0007396992,
11048,10.1007/s11664-009-0669-7,17608,2_S,21141,undoped,AgSbTe2 ,300,,,0.00007129,0.00024454,,0.34263,14027.2127928181,0.0008388247,
11048,10.1007/s11664-009-0669-7,17607,1(c),21142,2%AgTe,2%AgTe+AgSbTe2,300,,,0.000051651,0.0002324,0.81798,0.38687,19360.7093763916,0.0010456673,0.0012783531
11048,10.1007/s11664-009-0669-7,17607,1(c),21142,2%AgTe,2%AgTe+AgSbTe2,350,,,0.000056029,0.00025814,0.82005,0.47226,17847.9001945421,0.0011893173,0.0014502985
11048,10.1007/s11664-009-0669-7,17607,1(c),21142,2%AgTe,2%AgTe+AgSbTe2,400,,,,0.00028388,0.82211,0.55766,,,
11048,10.1007/s11664-009-0669-7,17608,2_S,21142,2%AgTe,2%AgTe+AgSbTe2,100,,,0.000034141,0.00012945,,0.045287,29290.2961248938,0.0004908264,
