sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31120,Mg2Sn0.75-xBixGe0.25_ x=0.01,,350,0.0000082607,-0.00018327,2.6211,0.5584,121055.1163944944,0.0040659863,0.0015512519
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31120,Mg2Sn0.75-xBixGe0.25_ x=0.01,,400,0.0000090803,-0.00019232,2.5723,0.65945,110128.51998282,0.0040733216,0.0015835329
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31120,Mg2Sn0.75-xBixGe0.25_ x=0.01,,450,0.0000099,-0.00020138,2.5234,0.7605,101010.101010101,0.004096354,0.0016233471
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31120,Mg2Sn0.75-xBixGe0.25_ x=0.01,,500,0.00001072,-0.00021043,2.4745,0.86155,93283.5820895522,0.0041306702,0.0016692949
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31120,Mg2Sn0.75-xBixGe0.25_ x=0.01,,550,0.000011539,-0.00021948,2.4256,0.9626,86662.6224109542,0.004174666,0.0017210859
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31120,Mg2Sn0.75-xBixGe0.25_ x=0.01,,600,0.000012359,-0.00022853,2.3767,1.0636,80912.6952018772,0.0042257433,0.0017779877
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31120,Mg2Sn0.75-xBixGe0.25_ x=0.01,,650,0.000013179,-0.00023758,2.3278,1.1647,75878.2912208817,0.0042828937,0.001839889
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31120,Mg2Sn0.75-xBixGe0.25_ x=0.01,,700,0.000013998,-0.00024663,2.2789,1.2657,71438.7769681383,0.0043453605,0.0019067798
27911,10.1016/j.actamat.2016.10.077,24975,1(e),31120,Mg2Sn0.75-xBixGe0.25_ x=0.01,,300,,,,0.45735,,,
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31121,Mg2Sn0.75-xBixGe0.25_ x=0.02,undefined,350,0.0000053243,-0.00016204,2.9023,0.60414,187818.1169355596,0.0049315331,0.001699181
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31121,Mg2Sn0.75-xBixGe0.25_ x=0.02,undefined,400,0.000005946,-0.00017138,2.8501,0.71868,168180.2892700975,0.0049396408,0.0017331465
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31121,Mg2Sn0.75-xBixGe0.25_ x=0.02,undefined,450,0.0000065676,-0.00018072,2.7978,0.83322,152262.6225714112,0.0049728544,0.001777416
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31121,Mg2Sn0.75-xBixGe0.25_ x=0.02,undefined,500,0.0000071892,-0.00019006,2.7456,0.94776,139097.5351916764,0.0050245929,0.0018300528
