sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Inverse temperature,Carrier concentration,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
5180,10.1016/j.scriptamat.2006.12.012,3497,1(a),4763,x=0.000,Ba0.32Co4Sb12,0.0006666667,1500,,158790,,,,,0.0000062976,
5180,10.1016/j.scriptamat.2006.12.012,3497,1(a),4763,x=0.000,Ba0.32Co4Sb12,0.0005,2000,,188010,,,,,0.0000053189,
5180,10.1016/j.scriptamat.2006.12.012,3497,1(a),4763,x=0.000,Ba0.32Co4Sb12,0.0004,2500,,217230,,,,,0.0000046034,
5180,10.1016/j.scriptamat.2006.12.012,3497,1(a),4763,x=0.000,Ba0.32Co4Sb12,0.0003333333,3000,,246440,,,,,0.0000040578,
5180,10.1016/j.scriptamat.2006.12.012,3498,1(b),4763,x=0.000,Ba0.32Co4Sb12,350,0.0028571,,,0.0026824,-0.00011342,4.3914,0.18843,,0.0006108303
5180,10.1016/j.scriptamat.2006.12.012,3498,1(b),4763,x=0.000,Ba0.32Co4Sb12,400,0.0025,,,0.0028156,-0.0001207,4.3002,0.25531,,0.0006547602
5180,10.1016/j.scriptamat.2006.12.012,3498,1(b),4763,x=0.000,Ba0.32Co4Sb12,450,0.0022222,,,0.0029487,-0.00012797,4.209,0.32219,,0.0007005702
5180,10.1016/j.scriptamat.2006.12.012,3498,1(b),4763,x=0.000,Ba0.32Co4Sb12,500,0.002,,,0.0030819,-0.00013524,4.1179,0.38907,,0.0007484155
5180,10.1016/j.scriptamat.2006.12.012,3498,1(b),4763,x=0.000,Ba0.32Co4Sb12,550,0.0018182,,,0.0032151,-0.00014251,4.0267,0.45595,,0.0007984454
5180,10.1016/j.scriptamat.2006.12.012,3498,1(b),4763,x=0.000,Ba0.32Co4Sb12,600,0.0016667,,,0.0033483,-0.00014979,3.9355,0.52283,,0.0008507941
5180,10.1016/j.scriptamat.2006.12.012,3498,1(b),4763,x=0.000,Ba0.32Co4Sb12,650,0.0015385,,,0.0034815,-0.00015706,3.8443,0.58971,,0.0009056265
5180,10.1016/j.scriptamat.2006.12.012,3498,1(b),4763,x=0.000,Ba0.32Co4Sb12,700,0.0014286,,,0.0036147,-0.00016433,3.7532,0.65659,,0.0009630982
5180,10.1016/j.scriptamat.2006.12.012,3498,1(b),4763,x=0.000,Ba0.32Co4Sb12,750,0.0013333,,,0.0037478,-0.0001716,3.662,0.72347,,0.0010234298
5180,10.1016/j.scriptamat.2006.12.012,3498,1(b),4763,x=0.000,Ba0.32Co4Sb12,800,0.00125,,,0.003881,-0.00017888,3.5708,0.79035,,0.0010868713
5180,10.1016/j.scriptamat.2006.12.012,3498,1(b),4763,x=0.000,Ba0.32Co4Sb12,850,0.0011765,,,0.0040142,-0.00018615,,0.85723,,
5180,10.1016/j.scriptamat.2006.12.012,3499,2,4763,x=0.000,Ba0.32Co4Sb12,300,0.0033333,,,0.0025492,,4.4825,0.17061,,0.0005687005
5180,10.1016/j.scriptamat.2006.12.012,3497,1(a),4764,x=0.025,Ba0.32Pd0.025Co3.975Sb12,0.0006666667,1500,,176730,,,,,0.0000056583,
