sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
18654,10.1038/am.2017.8,25601,3(b),31875,BixGe1−xTe_ 8.5e20,undefined,350,0.0000016695,0.0053975,0.000027384,6.1975,0.0025546,598981.7310572027,0.0004491665,0.0000724754
18654,10.1038/am.2017.8,25601,3(b),31875,BixGe1−xTe_ 8.5e20,undefined,400,0.0000021835,0.0047971,0.000041107,5.7495,0.096399,457980.3068468056,0.0007738885,0.000134601
18654,10.1038/am.2017.8,25601,3(b),31875,BixGe1−xTe_ 8.5e20,undefined,450,0.0000027177,0.0041967,0.000054829,5.3015,0.19024,367958.1999484859,0.001106163,0.000208651
18654,10.1038/am.2017.8,25601,3(b),31875,BixGe1−xTe_ 8.5e20,undefined,500,0.0000032721,0.0035963,0.000068552,4.8534,0.28409,305614.1315974451,0.0014361959,0.0002959154
18654,10.1038/am.2017.8,25601,3(b),31875,BixGe1−xTe_ 8.5e20,undefined,550,0.0000038467,0.0029958,0.000082274,4.4054,0.37793,259963.0852418957,0.001759693,0.00039944
18654,10.1038/am.2017.8,25601,3(b),31875,BixGe1−xTe_ 8.5e20,undefined,600,0.0000044416,0.0023954,0.000095997,3.9574,0.47177,225144.0922190202,0.0020747983,0.0005242832
18654,10.1038/am.2017.8,25601,3(b),31875,BixGe1−xTe_ 8.5e20,undefined,650,0.0000050567,0.001795,0.00010972,3.5093,0.56562,197757.4307354599,0.0023806986,0.000678397
18654,10.1038/am.2017.8,25601,3(b),31875,BixGe1−xTe_ 8.5e20,undefined,700,0.000005692,0.0011946,0.00012344,3.0613,0.65946,175685.1721714687,0.0026769911,0.0008744622
18654,10.1038/am.2017.8,25601,3(b),31875,BixGe1−xTe_ 8.5e20,undefined,750,0.0000063476,0.00059414,0.00013716,2.6133,0.75331,157539.8575839688,0.0029637762,0.0011341125
18654,10.1038/am.2017.8,25604,5(b),31875,BixGe1−xTe_ 8.5e20,undefined,300,0.0000011758,,,,,850484.7763225038,,
18654,10.1038/am.2017.8,25605,5(c),31875,BixGe1−xTe_ 8.5e20,undefined,800,,,,2.1652,,,,
18654,10.1038/am.2017.8,25601,3(b),31876,BixGe1−xTe_ 3.5e20,undefined,300,,0.0060094,,,,,,
