sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27934,10.1039/c7dt03223d,25459,2(a),31704,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0_ y=0,undefined,350,173460,1.1802,0.000030796,2.6655,0.013589,0.000005765,0.0001645084,0.0000617176
27934,10.1039/c7dt03223d,25459,2(a),31704,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0_ y=0,undefined,400,165160,1.0957,0.000035998,2.6085,0.034652,0.0000060547,0.0002140236,0.0000820485
27934,10.1039/c7dt03223d,25459,2(a),31704,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0_ y=0,undefined,450,156870,1.0112,0.000041201,2.5515,0.055716,0.0000063747,0.0002662903,0.0001043662
27934,10.1039/c7dt03223d,25459,2(a),31704,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0_ y=0,undefined,500,148570,0.92666,0.000046403,2.4945,0.07678,0.0000067308,0.0003199066,0.0001282448
27934,10.1039/c7dt03223d,25459,2(a),31704,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0_ y=0,undefined,550,140280,0.84216,0.000051605,2.4375,0.097843,0.0000071286,0.0003735763,0.0001532621
27934,10.1039/c7dt03223d,25459,2(a),31704,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0_ y=0,undefined,600,131980,0.75766,0.000056807,2.3805,0.11891,0.0000075769,0.0004259041,0.0001789137
27934,10.1039/c7dt03223d,25459,2(a),31704,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0_ y=0,undefined,650,123680,0.67316,0.00006201,2.3235,0.13997,0.0000080854,0.0004755793,0.0002046823
27934,10.1039/c7dt03223d,25459,2(a),31704,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0_ y=0,undefined,700,115390,0.58865,0.000067212,2.2664,0.16103,0.0000086663,0.0005212689,0.0002299986
27934,10.1039/c7dt03223d,25459,2(a),31704,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0_ y=0,undefined,750,107090,0.50415,0.000072414,2.2094,0.1821,0.0000093379,0.0005615572,0.0002541673
27934,10.1039/c7dt03223d,25462,2(d),31704,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0_ y=0,undefined,300,,1.2647,,2.7225,-0.0074747,,,
27934,10.1039/c7dt03223d,25459,2(a),31705,Cu4+xMn2Te4−δ−yCly_ x=0.01_ δ=0_ y=0,undefined,300,164430,,0.00003064,,0.0035456,0.0000060816,0.0001543685,
27934,10.1039/c7dt03223d,25459,2(a),31705,Cu4+xMn2Te4−δ−yCly_ x=0.01_ δ=0_ y=0,undefined,350,156740,0.87929,0.000035799,2.2173,0.025678,0.00000638,0.000200873,0.0000905935
27934,10.1039/c7dt03223d,25459,2(a),31705,Cu4+xMn2Te4−δ−yCly_ x=0.01_ δ=0_ y=0,undefined,400,149050,0.83383,0.000040959,2.1879,0.04781,0.0000067092,0.0002500522,0.0001142887
27934,10.1039/c7dt03223d,25459,2(a),31705,Cu4+xMn2Te4−δ−yCly_ x=0.01_ δ=0_ y=0,undefined,450,141350,0.78838,0.000046118,2.1584,0.069942,0.0000070746,0.0003006331,0.0001392851
27934,10.1039/c7dt03223d,25459,2(a),31705,Cu4+xMn2Te4−δ−yCly_ x=0.01_ δ=0_ y=0,undefined,500,133660,0.74292,0.000051278,2.129,0.092074,0.0000074817,0.0003514501,0.0001650775
27934,10.1039/c7dt03223d,25459,2(a),31705,Cu4+xMn2Te4−δ−yCly_ x=0.01_ δ=0_ y=0,undefined,550,125970,0.69746,0.000056437,2.0996,0.11421,0.0000079384,0.0004012315,0.000191099
27934,10.1039/c7dt03223d,25459,2(a),31705,Cu4+xMn2Te4−δ−yCly_ x=0.01_ δ=0_ y=0,undefined,600,118280,0.652,0.000061596,2.0702,0.13634,0.0000084545,0.0004487623,0.0002167724
27934,10.1039/c7dt03223d,25459,2(a),31705,Cu4+xMn2Te4−δ−yCly_ x=0.01_ δ=0_ y=0,undefined,650,110580,0.60654,0.000066756,2.0408,0.15847,0.0000090432,0.0004927847,0.0002414664
