sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27921,10.1016/j.ensm.2017.07.014,25319,3a,31544,FeNb0.9-xHf0.1TixSb_ x=0,FeNb0.9Hf0.1Sb,350,,370130,4.6683,0.00010129,7.4784,0.33155,0.0000027018,0.0037974095,0.0005077837
27921,10.1016/j.ensm.2017.07.014,25319,3a,31544,FeNb0.9-xHf0.1TixSb_ x=0,FeNb0.9Hf0.1Sb,400,,348780,4.5696,0.00011348,7.276,0.37402,0.0000028671,0.0044914878,0.0006173018
27921,10.1016/j.ensm.2017.07.014,25319,3a,31544,FeNb0.9-xHf0.1TixSb_ x=0,FeNb0.9Hf0.1Sb,450,,327430,4.4708,0.00012515,7.0736,0.4165,0.0000030541,0.0051283797,0.0007250028
27921,10.1016/j.ensm.2017.07.014,25319,3a,31544,FeNb0.9-xHf0.1TixSb_ x=0,FeNb0.9Hf0.1Sb,500,,306080,4.3721,0.00013629,6.8712,0.45897,0.0000032671,0.005685425,0.0008274283
27921,10.1016/j.ensm.2017.07.014,25319,3a,31544,FeNb0.9-xHf0.1TixSb_ x=0,FeNb0.9Hf0.1Sb,550,,284730,4.2733,0.00014689,6.6688,0.50144,0.0000035121,0.0061435258,0.0009212341
27921,10.1016/j.ensm.2017.07.014,25319,3a,31544,FeNb0.9-xHf0.1TixSb_ x=0,FeNb0.9Hf0.1Sb,600,,263380,4.1746,0.00015696,6.4664,0.54391,0.0000037968,0.006488746,0.0010034557
27921,10.1016/j.ensm.2017.07.014,25319,3a,31544,FeNb0.9-xHf0.1TixSb_ x=0,FeNb0.9Hf0.1Sb,650,,242030,4.0759,0.00016651,6.264,0.58638,0.0000041317,0.0067104222,0.0010712679
27921,10.1016/j.ensm.2017.07.014,25319,3a,31544,FeNb0.9-xHf0.1TixSb_ x=0,FeNb0.9Hf0.1Sb,700,,220680,3.9771,0.00017552,6.0616,0.62885,0.0000045314,0.0067985484,0.0011215766
27921,10.1016/j.ensm.2017.07.014,25319,3a,31544,FeNb0.9-xHf0.1TixSb_ x=0,FeNb0.9Hf0.1Sb,750,,199330,3.8784,0.000184,5.8593,0.67133,0.0000050168,0.0067485165,0.0011517616
27921,10.1016/j.ensm.2017.07.014,25319,3a,31544,FeNb0.9-xHf0.1TixSb_ x=0,FeNb0.9Hf0.1Sb,800,,177980,3.7796,0.00019195,5.6569,0.7138,0.0000056186,0.0065576379,0.0011592282
