sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,content,total thermal conductivity,Figure of merit Z
769,10.1039/b916346h,10694,2(a),12884,x=0,EuZn2Sb2,300,,,119750,0.0000083505,,,,2.3668,0.18236,,,
769,10.1039/b916346h,10694,2(a),12884,x=0,EuZn2Sb2,350,,,104620,0.0000095588,,0.0018469,0.00013028,2.2228,0.28322,,,0.000830889
769,10.1039/b916346h,10694,2(a),12884,x=0,EuZn2Sb2,400,,,92876,0.000010767,,0.0018697,0.00013851,2.0787,0.38409,,,0.0008994564
769,10.1039/b916346h,10694,2(a),12884,x=0,EuZn2Sb2,450,,,83507,0.000011975,,0.0018925,0.00014674,1.9347,0.48496,,,0.0009781878
769,10.1039/b916346h,10694,2(a),12884,x=0,EuZn2Sb2,500,,,75850,0.000013184,,0.0019153,0.00015497,1.7907,0.58583,,,0.0010695817
769,10.1039/b916346h,10694,2(a),12884,x=0,EuZn2Sb2,550,,,69483,0.000014392,,0.0019382,0.00016321,1.6467,0.6867,,,0.0011770207
769,10.1039/b916346h,10694,2(a),12884,x=0,EuZn2Sb2,600,,,64103,0.0000156,,0.001961,0.00017144,1.5026,0.78756,,,0.0013050712
769,10.1039/b916346h,10694,2(a),12884,x=0,EuZn2Sb2,650,,,59492,0.000016809,,0.0019838,0.00017967,1.3586,0.88843,,,0.0014601796
769,10.1039/b916346h,10695,2(b),12884,x=0,EuZn2Sb2,700,,,,,,0.0020066,0.0001879,,,,,
769,10.1039/b916346h,10694,2(a),12885,x=0.1,EuZn1.8Cd0.2Sb2,350,,,105460,0.0000094824,,0.0018433,0.00013694,2.0695,0.29333,,,0.0008906982
769,10.1039/b916346h,10694,2(a),12885,x=0.1,EuZn1.8Cd0.2Sb2,400,,,93084,0.000010743,,0.0019378,0.00014718,1.9409,0.42181,,,0.0009984028
769,10.1039/b916346h,10694,2(a),12885,x=0.1,EuZn1.8Cd0.2Sb2,450,,,83306,0.000012004,,0.0020323,0.00015742,1.8123,0.5503,,,0.0011213927
769,10.1039/b916346h,10694,2(a),12885,x=0.1,EuZn1.8Cd0.2Sb2,500,,,75386,0.000013265,,0.0021268,0.00016766,1.6838,0.67878,,,0.0012630954
769,10.1039/b916346h,10694,2(a),12885,x=0.1,EuZn1.8Cd0.2Sb2,550,,,68842,0.000014526,,0.0022213,0.0001779,1.5552,0.80727,,,0.001428305
769,10.1039/b916346h,10694,2(a),12885,x=0.1,EuZn1.8Cd0.2Sb2,600,,,63343,0.000015787,,0.0023158,0.00018814,1.4266,0.93575,,,0.0016233002
769,10.1039/b916346h,10694,2(a),12885,x=0.1,EuZn1.8Cd0.2Sb2,650,,,58658,0.000017048,,0.0024103,,1.2981,1.2069,,,0.0018567907
769,10.1039/b916346h,10694,2(a),12886,x=0.3,EuZn1.4Cd0.6Sb2,300,,,62956,0.000015884,,0.0013845,,,,,,
769,10.1039/b916346h,10694,2(a),12886,x=0.3,EuZn1.4Cd0.6Sb2,350,,,54942,0.000018201,,0.001416,0.00016025,1.6566,0.29322,,,0.0008547628
769,10.1039/b916346h,10694,2(a),12886,x=0.3,EuZn1.4Cd0.6Sb2,400,,,48738,0.000020518,,0.0014474,0.00017384,1.5547,0.39255,,,0.0009309835
769,10.1039/b916346h,10694,2(a),12886,x=0.3,EuZn1.4Cd0.6Sb2,450,,,43792,0.000022835,,0.0014788,0.00018576,1.4528,0.49187,,,0.0010178965
