sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall concentration,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,hall density,Electrical conductivity,Power factor,Figure of merit Z
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,300,2.0639e+25,0.0000031599,,0.10934,,,2.0027,,,316465.7109402196,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,350,2.4682e+25,0.0000035456,,0.094603,,,2.0881,0.22406,,282039.7111913358,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,400,2.8726e+25,0.0000039312,,0.079866,,,2.1735,0.20324,,254375.2543752544,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,450,3.2769e+25,0.0000043168,,0.065129,,,2.259,0.18242,,231653.076352854,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,500,3.6812e+25,0.0000047025,,0.050392,,,2.3444,0.1616,,212652.8442317916,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,550,4.0856e+25,0.0000050881,,0.035655,,,2.4298,0.14078,,196537.0177472927,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,600,4.4899e+25,0.0000054738,,0.020918,,,2.5153,0.11997,,182688.4431290877,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,650,4.8942e+25,0.0000058594,,0.0061808,,,2.6007,0.099148,,170665.9384919958,,
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,300,1.931e+25,0.000003327,,0.10759,,,1.9881,,,300571.0850616171,,
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,350,2.2133e+25,0.0000038412,,0.092361,,-0.000061214,2.0108,0.19886,,260335.3118817036,0.0009755165,0.0004851385
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,400,2.4955e+25,0.0000043554,,0.077135,,-0.000059908,2.0335,0.14592,,229600.0367360059,0.0008240273,0.0004052261
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,450,2.7778e+25,0.0000048697,,0.061909,,-0.000058602,2.0562,0.15434,,205351.4590221164,0.0007052168,0.0003429709
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,500,3.0601e+25,0.0000053839,,0.046683,,-0.000057296,2.0789,0.14665,,185738.9624621557,0.0006097497,0.000293304
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,550,3.3424e+25,0.0000058982,,0.031457,,-0.000055989,2.1016,0.13909,,169543.2504831983,0.0005314788,0.0002528925
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,600,3.6246e+25,0.0000064124,,0.016231,,-0.000054683,2.1243,0.13171,,155947.8510386127,0.00046632,0.000219517
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,650,3.9069e+25,0.0000069266,,0.0010052,,-0.000053377,2.147,0.12453,,144370.9756590535,0.0004113279,0.0001915826
2828,10.1039/c3tc31810a,11411,1a,13667,hot-pressed_ nH=1.08E19,Ag2.0027Se,350,3.0032e+25,0.0000036897,,0.078658,,-0.000074406,1.7406,0.24063,,271024.7445591782,0.0015004615,0.0008620369
2828,10.1039/c3tc31810a,11411,1a,13667,hot-pressed_ nH=1.08E19,Ag2.0027Se,400,3.5196e+25,0.0000039161,,0.06791,,-0.000066396,1.8619,0.20535,,255356.0940731851,0.0011257192,0.0006046077
2828,10.1039/c3tc31810a,11411,1a,13667,hot-pressed_ nH=1.08E19,Ag2.0027Se,450,4.036e+25,0.0000041425,,0.057161,,-0.000058385,1.9831,0.17007,,241400.1207000604,0.0008228867,0.0004149497
