sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Hall concentration,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,300.5,47070,20055000000000,,,0.86774,0.000021245,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,301,47035,20087000000000,,,0.86737,0.0000212608,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,301.5,47000,20119000000000,,,0.86699,0.0000212766,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,302,46965,20152000000000,,,0.86662,0.0000212925,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,302.5,46930,20184000000000,,,0.86624,0.0000213083,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,303,46895,20216000000000,,,0.86586,0.0000213242,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,303.5,46860,20248000000000,,,0.86549,0.0000213402,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,304,46825,20281000000000,,,0.86511,0.0000213561,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,304.5,46790,20313000000000,,,0.86474,0.0000213721,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,305,46755,20345000000000,,,0.86436,0.0000213881,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,305.5,46720,20377000000000,,,0.86399,0.0000214041,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,306,46685,20410000000000,,,0.86361,0.0000214202,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,306.5,46650,20442000000000,,,0.86324,0.0000214362,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,307,46615,20474000000000,,,0.86286,0.0000214523,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,307.5,46580,20506000000000,,,0.86249,0.0000214684,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,308,46545,20539000000000,,,0.86211,0.0000214846,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,308.5,46510,20571000000000,,,0.86174,0.0000215008,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,309,46475,20603000000000,,,0.86136,0.0000215169,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,309.5,46439,20636000000000,,,0.86099,0.0000215336,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,310,46404,20668000000000,,,0.86061,0.0000215499,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,310.5,46369,20700000000000,,,0.86024,0.0000215661,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,311,46334,20732000000000,,,0.85986,0.0000215824,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,311.5,46299,20765000000000,,,0.85949,0.0000215987,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,312,46264,20797000000000,,,0.85911,0.0000216151,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,312.5,46229,20829000000000,,,0.85874,0.0000216314,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,313,46194,20861000000000,,,0.85836,0.0000216478,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,313.5,46159,20894000000000,,,0.85799,0.0000216642,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,314,46124,20926000000000,,,0.85761,0.0000216807,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,314.5,46089,20958000000000,,,0.85724,0.0000216972,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,315,46054,20990000000000,,,0.85686,0.0000217136,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,315.5,46019,21023000000000,,,0.85649,0.0000217302,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,316,45984,21055000000000,,,0.85611,0.0000217467,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,316.5,45949,21087000000000,,,0.85574,0.0000217633,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,317,45914,21119000000000,,,0.85536,0.0000217798,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,317.5,45879,21152000000000,,,0.85499,0.0000217965,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,318,45844,21184000000000,,,0.85461,0.0000218131,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,318.5,45809,21216000000000,,,0.85424,0.0000218298,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,319,45774,21248000000000,,,0.85386,0.0000218465,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,319.5,45738,21281000000000,,,0.85349,0.0000218637,,
