sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,300,0.0000047881,,0.0021699,0.00010193,3.6452,0.17858,208851.1100436499,0.000595276
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,350,0.0000067453,,0.0000021445,0.00011701,3.4588,0.000217,148251.3750315034,6.2e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,400,0.0000087026,,0.0000021883,0.0001321,3.2724,0.00026749,114908.1883575024,6.687e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,450,0.00001066,,0.0000022321,0.00014718,3.086,0.48365,93808.6303939963,7.233e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,500,0.000012617,,0.000002276,0.00016226,2.8996,0.55638,79258.1437742728,7.849e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,550,0.000014574,,0.0000023198,0.00017734,2.7132,0.62911,68615.3423905585,8.55e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,600,0.000016531,,0.0000023636,0.00019242,2.5269,0.70184,60492.4082027705,9.354e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,650,0.000018489,,0.0000024074,0.0002075,2.3405,0.77457,54086.2134241982,0.0000010286
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,700,0.000020446,,0.0000024513,0.00022258,2.1541,0.8473,48909.3221167955,0.000001138
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,750,0.000022403,,0.0000024951,0.00023766,1.9677,0.92003,44636.8789894211,0.000001268
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,800,0.00002436,,0.0000025389,0.00025274,1.7813,0.99277,41050.9031198686,0.0000014253
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,850,0.000026318,,0.0000025828,0.00026782,1.5949,1.0655,37996.8082681055,0.0000016194
23591,10.1016/j.joule.2018.04.025,20505,2a,25322,Pb0.980Na0.020Te_1.2e20_Zhao,Pb0.980Na0.020Te,900,,,,0.0002829,1.4085,1.1382,,
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,300,0.0000013317,,0.0000019214,0.000083141,3.4805,0.00016561,750919.8768491402,5.52e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,350,0.0000043477,,0.0000019781,0.00010204,3.2473,0.24347,230006.6701934356,6.092e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,400,0.0000073637,,0.0000020348,0.00012095,3.0141,0.37311,135801.2955443595,6.751e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,450,0.00001038,,0.0000020915,0.00013985,2.7809,0.50274,96339.1136801541,7.521e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,500,0.000013396,,0.0000021482,0.00015875,2.5477,0.63238,74649.1489997014,8.432e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,550,0.000016412,,0.0000022049,0.00017765,2.3145,0.76201,60931.0260784792,9.526e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,600,0.000019428,,0.0000022617,0.00019655,2.0813,0.89165,51472.1021206506,0.0000010867
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,650,0.000022444,,0.0000023184,0.00021546,1.848,1.0213,44555.33772946,0.0000012545
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,700,0.00002546,,0.0000023751,0.00023436,1.6148,1.1509,39277.2977219167,0.0000014708
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,750,0.000028476,,0.0000024318,0.00025326,1.3816,1.2806,35117.2917544599,0.0000017601
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,800,0.000031492,,0.0000024885,0.00027216,1.1484,1.4102,31754.0962784199,0.0000021669
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,850,0.000034508,,0.0000025453,0.00029107,0.91519,1.5398,28978.7875275298,0.0000027812
23591,10.1016/j.joule.2018.04.025,20505,2a,25323,Pb0.980Na0.020Te_1.4e20_Tan,Pb0.980Na0.020Te ,900,0.000037524,,0.000002602,0.00030997,0.68198,1.6695,26649.6109156806,0.0000038154
23591,10.1016/j.joule.2018.04.025,20505,2a,25325,Pb0.960Na0.040Te_1.6e20_this work_yellow,Pb0.960Na0.040Te ,350,0.0000036909,,0.0000017874,0.000098918,3.4543,0.17081,270936.6279227289,5.174e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25325,Pb0.960Na0.040Te_1.6e20_this work_yellow,Pb0.960Na0.040Te ,400,0.0000055685,,0.0000021164,0.00011441,3.1959,0.32207,179581.5749304121,6.622e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25325,Pb0.960Na0.040Te_1.6e20_this work_yellow,Pb0.960Na0.040Te ,450,0.0000074462,,0.0000023894,0.0001299,2.9375,0.47333,134296.6882436679,8.134e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25325,Pb0.960Na0.040Te_1.6e20_this work_yellow,Pb0.960Na0.040Te ,500,0.0000093238,,0.0000026065,0.00014539,2.6791,0.62459,107252.4078165555,9.729e-7
23591,10.1016/j.joule.2018.04.025,20505,2a,25325,Pb0.960Na0.040Te_1.6e20_this work_yellow,Pb0.960Na0.040Te ,550,0.000011201,,0.0000027676,0.00016088,2.4208,0.77585,89277.7430586555,0.0000011433
23591,10.1016/j.joule.2018.04.025,20505,2a,25325,Pb0.960Na0.040Te_1.6e20_this work_yellow,Pb0.960Na0.040Te ,600,0.000013079,,0.0000028729,0.00017637,2.1624,0.92711,76458.444835232,0.0000013286
23591,10.1016/j.joule.2018.04.025,20505,2a,25325,Pb0.960Na0.040Te_1.6e20_this work_yellow,Pb0.960Na0.040Te ,650,0.000014957,,0.0000029222,0.00019186,1.904,1.0784,66858.3272046533,0.0000015348
23591,10.1016/j.joule.2018.04.025,20505,2a,25325,Pb0.960Na0.040Te_1.6e20_this work_yellow,Pb0.960Na0.040Te ,700,0.000016834,,0.0000029155,0.00020735,1.6456,1.2296,59403.5879767138,0.0000017717
23591,10.1016/j.joule.2018.04.025,20505,2a,25325,Pb0.960Na0.040Te_1.6e20_this work_yellow,Pb0.960Na0.040Te ,750,0.000018712,,0.000002853,0.00022284,1.3873,1.3809,53441.6417272339,0.0000020565
23591,10.1016/j.joule.2018.04.025,20505,2a,25325,Pb0.960Na0.040Te_1.6e20_this work_yellow,Pb0.960Na0.040Te ,800,0.00002059,,0.0000027345,0.00023833,1.1289,1.5321,48567.2656629432,0.0000024223
23591,10.1016/j.joule.2018.04.025,20505,2a,25325,Pb0.960Na0.040Te_1.6e20_this work_yellow,Pb0.960Na0.040Te ,850,0.000022467,,0.0000025601,0.00025382,0.87051,1.6834,44509.7253749944,0.0000029409
23591,10.1016/j.joule.2018.04.025,20505,2a,25325,Pb0.960Na0.040Te_1.6e20_this work_yellow,Pb0.960Na0.040Te ,900,0.000024345,,0.0000023297,0.00026931,,,41076.1963442185,
23591,10.1016/j.joule.2018.04.025,20505,2a,25324,Pb0.960Na0.040Te_1.6e20_this work_red,Pb0.960Na0.040Te ,350,0.0000042641,,0.00000188,0.00010617,,,234516.0760770151,
23591,10.1016/j.joule.2018.04.025,20505,2a,25324,Pb0.960Na0.040Te_1.6e20_this work_red,Pb0.960Na0.040Te ,400,0.0000057095,,0.0000022036,0.00012234,,,175146.6853489798,
23591,10.1016/j.joule.2018.04.025,20505,2a,25324,Pb0.960Na0.040Te_1.6e20_this work_red,Pb0.960Na0.040Te ,450,0.0000075707,,0.000002472,0.00013851,,,132088.1820703502,
23591,10.1016/j.joule.2018.04.025,20505,2a,25324,Pb0.960Na0.040Te_1.6e20_this work_red,Pb0.960Na0.040Te ,500,0.0000097322,,0.0000026853,0.00015467,,,102751.6902653049,
23591,10.1016/j.joule.2018.04.025,20505,2a,25324,Pb0.960Na0.040Te_1.6e20_this work_red,Pb0.960Na0.040Te ,550,0.000012079,,0.0000028434,0.00017084,,,82788.310290587,
23591,10.1016/j.joule.2018.04.025,20505,2a,25324,Pb0.960Na0.040Te_1.6e20_this work_red,Pb0.960Na0.040Te ,600,0.000014494,,0.0000029464,0.00018701,,,68994.0665102801,
23591,10.1016/j.joule.2018.04.025,20505,2a,25324,Pb0.960Na0.040Te_1.6e20_this work_red,Pb0.960Na0.040Te ,650,0.000016864,,0.0000029942,0.00020317,,,59297.9127134725,
23591,10.1016/j.joule.2018.04.025,20505,2a,25324,Pb0.960Na0.040Te_1.6e20_this work_red,Pb0.960Na0.040Te ,700,0.000019072,,0.0000029869,0.00021934,,,52432.8859060403,
23591,10.1016/j.joule.2018.04.025,20505,2a,25324,Pb0.960Na0.040Te_1.6e20_this work_red,Pb0.960Na0.040Te ,750,0.000021004,,0.0000029244,0.0002355,,,47609.9790516092,
23591,10.1016/j.joule.2018.04.025,20505,2a,25324,Pb0.960Na0.040Te_1.6e20_this work_red,Pb0.960Na0.040Te ,800,0.000022543,,0.0000028067,0.00025167,,,44359.6681896819,
23591,10.1016/j.joule.2018.04.025,20505,2a,25324,Pb0.960Na0.040Te_1.6e20_this work_red,Pb0.960Na0.040Te ,850,0.000023574,,0.0000026339,0.00026784,,,42419.6148298973,
23591,10.1016/j.joule.2018.04.025,20505,2a,25324,Pb0.960Na0.040Te_1.6e20_this work_red,Pb0.960Na0.040Te ,900,,,,0.000284,,,,
