sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Doping level,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
24589,10.1002/adma.201903387,22195,3a,27625,Mg3.048Y0.002SbBi,Mg3.048Y0.002SbBi,350,,,0.000030873,0.010987,-0.00026834,0.84701,0.96419,32390.7621546335,0.0023323407,0.0027536165
24589,10.1002/adma.201903387,22195,3a,27625,Mg3.048Y0.002SbBi,Mg3.048Y0.002SbBi,400,,,0.000036622,0.0098964,-0.00027563,0.84978,0.99305,27305.990934411,0.0020744879,0.0024412059
24589,10.1002/adma.201903387,22195,3a,27625,Mg3.048Y0.002SbBi,Mg3.048Y0.002SbBi,450,,,0.00004237,0.0088061,-0.00028293,0.85256,1.0219,23601.6049091338,0.001889294,0.0022160246
24589,10.1002/adma.201903387,22195,3a,27625,Mg3.048Y0.002SbBi,Mg3.048Y0.002SbBi,500,,,0.000048118,0.0077158,-0.00029022,0.85534,1.0508,20782.2436510246,0.0017504395,0.0020464839
24589,10.1002/adma.201903387,22195,3a,27625,Mg3.048Y0.002SbBi,Mg3.048Y0.002SbBi,550,,,0.000053866,0.0066254,-0.00029751,0.85812,1.0797,18564.5861953737,0.0016431924,0.0019148748
24589,10.1002/adma.201903387,22195,3a,27625,Mg3.048Y0.002SbBi,Mg3.048Y0.002SbBi,600,,,0.000059614,0.0055351,-0.0003048,0.8609,1.1085,16774.5831516087,0.0015584098,0.00181021
24589,10.1002/adma.201903387,22195,3a,27625,Mg3.048Y0.002SbBi,Mg3.048Y0.002SbBi,650,,,0.000065362,0.0044448,-0.0003121,0.86368,1.1374,15299.4094427955,0.0014902605,0.0017254777
24589,10.1002/adma.201903387,22210,3d,27625,Mg3.048Y0.002SbBi,Mg3.048Y0.002SbBi,700,,,,,,0.86646,,,,
24589,10.1002/adma.201903387,22215,4a,27625,Mg3.048Y0.002SbBi,Mg3.048Y0.002SbBi,300,,,,,,,0.93532,,,
24589,10.1002/adma.201903387,22195,3a,27626,Mg3.047Y0.003SbBi,Mg3.047Y0.003SbBi,350,,,0.000021664,0.01162,-0.00025079,1.0521,0.98001,46159.5273264402,0.0029032323,0.0027594642
24589,10.1002/adma.201903387,22195,3a,27626,Mg3.047Y0.003SbBi,Mg3.047Y0.003SbBi,400,,,0.000026941,0.010469,-0.00026566,1.0272,1.0335,37118.1470620987,0.002619622,0.002550255
24589,10.1002/adma.201903387,22195,3a,27626,Mg3.047Y0.003SbBi,Mg3.047Y0.003SbBi,450,,,0.000032218,0.0093171,-0.0002784,1.0024,1.0869,31038.5498789497,0.0024056912,0.0023999314
24589,10.1002/adma.201903387,22195,3a,27626,Mg3.047Y0.003SbBi,Mg3.047Y0.003SbBi,500,,,0.000037494,0.0081656,-0.000289,0.97757,1.1404,26670.9340161092,0.0022275831,0.0022786942
24589,10.1002/adma.201903387,22195,3a,27626,Mg3.047Y0.003SbBi,Mg3.047Y0.003SbBi,550,,,0.000042771,0.0070141,-0.00029746,0.95273,1.1939,23380.3277921956,0.0020687487,0.0021713903
24589,10.1002/adma.201903387,22195,3a,27626,Mg3.047Y0.003SbBi,Mg3.047Y0.003SbBi,600,,,0.000048048,0.0058627,-0.00030378,0.92789,1.2473,20812.5208125208,0.001920627,0.0020698866
24589,10.1002/adma.201903387,22195,3a,27626,Mg3.047Y0.003SbBi,Mg3.047Y0.003SbBi,650,,,0.000053325,0.0047112,-0.00030797,0.90305,1.3008,18752.9301453352,0.0017786314,0.0019695824
24589,10.1002/adma.201903387,22199,3b,27626,Mg3.047Y0.003SbBi,Mg3.047Y0.003SbBi,300,,,,0.012772,-0.00023378,,0.92655,,,
24589,10.1002/adma.201903387,22195,3a,27627,Mg3.045Y0.005SbBi,Mg3.045Y0.005SbBi,300,,,0.000011132,0.013451,-0.00019999,,0.87044,89831.1174991017,0.0035928854,
24589,10.1002/adma.201903387,22195,3a,27627,Mg3.045Y0.005SbBi,Mg3.045Y0.005SbBi,350,,,0.000014805,0.012278,-0.00020978,1.1161,0.953,67544.7483958122,0.0029724855,0.0026632789
24589,10.1002/adma.201903387,22195,3a,27627,Mg3.045Y0.005SbBi,Mg3.045Y0.005SbBi,400,,,0.000018477,0.011104,-0.00021956,1.0782,1.0356,54121.3400443795,0.0026090054,0.0024197787
24589,10.1002/adma.201903387,22195,3a,27627,Mg3.045Y0.005SbBi,Mg3.045Y0.005SbBi,450,,,0.00002215,0.0099306,-0.00022934,1.0403,1.1181,45146.7268623025,0.002374575,0.0022825867
24589,10.1002/adma.201903387,22195,3a,27627,Mg3.045Y0.005SbBi,Mg3.045Y0.005SbBi,500,,,0.000025822,0.0087571,-0.00023912,1.0024,1.2007,38726.6671830222,0.0022143279,0.0022090262
24589,10.1002/adma.201903387,22195,3a,27627,Mg3.045Y0.005SbBi,Mg3.045Y0.005SbBi,550,,,0.000029495,0.0075836,-0.0002489,0.96454,1.2832,33904.0515341583,0.002100397,0.0021776153
24589,10.1002/adma.201903387,22195,3a,27627,Mg3.045Y0.005SbBi,Mg3.045Y0.005SbBi,600,,,0.000033168,0.0064101,-0.00025868,0.92663,1.3658,30149.5417269658,0.0020174669,0.0021772087
24589,10.1002/adma.201903387,22195,3a,27627,Mg3.045Y0.005SbBi,Mg3.045Y0.005SbBi,650,,,0.00003684,0.0052366,-0.00026846,0.88873,1.4483,27144.4082519001,0.0019563184,0.0022012517
24589,10.1002/adma.201903387,22195,3a,27627,Mg3.045Y0.005SbBi,Mg3.045Y0.005SbBi,700,,,0.000040513,0.0040631,-0.00027824,0.85083,1.5722,24683.4349468072,0.0019109298,0.0022459596
24589,10.1002/adma.201903387,22195,3a,27628,Mg3.035Y0.015SbBi,Mg3.035Y0.015SbBi,300,,,0.0000050271,0.011988,,,0.69515,198921.8436076466,,
24589,10.1002/adma.201903387,22195,3a,27628,Mg3.035Y0.015SbBi,Mg3.035Y0.015SbBi,350,,,0.000007796,0.010887,-0.00015723,1.2655,0.83294,128270.9081580298,0.0031710201,0.0025057449
