sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Electrical resistivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Figure of merit Z
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,350,,117410,0.0000085172,,0.0035176,0.00017309,12.681,0.12723,0.0002773914
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,400,,111580,0.0000089622,,0.0037428,0.00018315,12.093,0.1593,0.0003095014
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,450,,105750,0.0000094563,,0.0039472,0.0001932,11.504,0.19138,0.0003431154
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,500,,99919,0.000010008,,0.0041277,0.00020325,10.916,0.22346,0.000378133
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,550,,94089,0.000010628,,0.0042808,0.0002133,10.328,0.25553,0.0004144849
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,600,,88260,0.00001133,,0.0044029,0.00022335,9.7398,0.28761,0.0004520524
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,650,,82430,0.000012132,,0.0044908,0.00023341,9.1516,0.31969,0.000490712
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,700,,76600,0.000013055,,0.0045403,0.00024346,8.5634,0.35176,0.0005301983
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,750,,70770,0.00001413,,0.0045482,0.00025351,7.9752,0.38384,0.0005702929
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,800,,64941,0.000015399,,0.0045111,0.00026356,7.387,0.41592,0.0006106809
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,850,,59111,0.000016917,,0.0044252,0.00027361,6.7988,0.44799,0.0006508796
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,900,,53281,0.000018768,,0.0042871,0.00028366,6.2106,0.48007,0.0006902876
872,10.1039/c4ee03042g,8684,1(d),10601,x=0.04,FeNb0.96Ti0.04Sb,950,,47451,0.000021074,,0.0040937,0.00029372,5.6224,0.51215,0.0007281054
872,10.1039/c4ee03042g,8685,3(a),10601,x=0.04,FeNb0.96Ti0.04Sb,300,,123240,0.0000081142,,,,13.269,,
872,10.1039/c4ee03042g,8879,2(a),10601,x=0.04,FeNb0.96Ti0.04Sb,50,,152390,0.0000065621,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10601,x=0.04,FeNb0.96Ti0.04Sb,100,,146560,0.0000068231,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10601,x=0.04,FeNb0.96Ti0.04Sb,150,,140730,0.0000071058,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10601,x=0.04,FeNb0.96Ti0.04Sb,200,,134900,0.0000074129,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10601,x=0.04,FeNb0.96Ti0.04Sb,250,,129070,0.0000077477,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10601,x=0.04,FeNb0.96Ti0.04Sb,1000,,41622,0.000024026,,,,,,
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,350,,239290,0.000004179,,0.0053962,0.00015017,12.266,0.14902,0.0004399315
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,400,,221630,0.000004512,,0.0056773,0.00016005,11.772,0.1833,0.0004822715
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,450,,203960,0.0000049029,,0.0058896,0.00016993,11.277,0.21759,0.0005222666
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,500,,186290,0.000005368,,0.0060237,0.00017982,10.783,0.25187,0.0005586293
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,550,,168620,0.0000059305,,0.006068,0.0001897,10.288,0.28615,0.0005898134
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,600,,150950,0.0000066247,,0.0060127,0.00019958,9.7937,0.32043,0.0006139355
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,650,,133290,0.0000075024,,0.0058479,0.00020946,9.2992,0.35471,0.0006288605
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,700,,115620,0.000008649,,0.005563,0.00021935,8.8047,0.389,0.0006318216
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,750,,97950,0.000010209,,0.0051469,0.00022923,8.3102,0.42328,0.0006193473
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,800,,80282,0.000012456,,0.00459,0.00023911,7.8157,0.45756,0.0005872795
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,850,,62614,0.000015971,,0.0038818,0.00024899,7.3211,0.49184,0.0005302209
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,900,,44946,0.000022249,,0.0030122,0.00025888,6.8266,0.52612,0.0004412445
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,950,,27278,0.00003666,,0.0019703,0.00026876,6.3321,0.56041,0.0003111606
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,1000,,9610,0.00010406,,,,5.8376,0.59469,
872,10.1039/c4ee03042g,8685,3(a),10602,x=0.06,FeNb0.94Ti0.06Sb,300,,256960,0.0000038917,,,,12.761,,
872,10.1039/c4ee03042g,8685,3(a),10602,x=0.06,FeNb0.94Ti0.06Sb,1050,,-8058,-0.0001241,,,,5.3431,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,50,,345300,0.000002896,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,100,,327630,0.0000030522,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,150,,309970,0.0000032261,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,200,,292300,0.0000034211,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,250,,274630,0.0000036413,,,,,,
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,350,,445610,0.0000022441,,0.0085293,0.00013835,11.11,0.19688,0.0007677138
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,400,,407020,0.0000024569,,0.0087654,0.00014675,10.672,0.233,0.0008213456
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,450,,368420,0.0000027143,,0.0088684,0.00015515,10.235,0.26912,0.0008664778
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,500,,329830,0.0000030319,,0.0088236,0.00016356,9.7978,0.30525,0.0009005695
