sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31750,SnSe Parallel bc plane,SnSe,350,402.66,0.00055262,1.8325,-0.030275,0.0024834848,0.0001229679,0.0000671039
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31750,SnSe Parallel bc plane,SnSe,400,695.37,0.00053691,1.711,0.036117,0.0014380833,0.0002004559,0.0001171572
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31750,SnSe Parallel bc plane,SnSe,450,988.09,0.0005212,1.5895,0.10251,0.0010120536,0.0002684141,0.000168867
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31750,SnSe Parallel bc plane,SnSe,500,1280.8,0.00050548,1.468,0.1689,0.000780762,0.0003272572,0.0002229273
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31750,SnSe Parallel bc plane,SnSe,550,1573.5,0.00048977,1.3465,0.23529,0.0006355259,0.0003774428,0.000280314
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31750,SnSe Parallel bc plane,SnSe,600,1866.2,0.00047406,1.225,0.30168,0.0005358482,0.0004193965,0.0003423645
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31750,SnSe Parallel bc plane,SnSe,650,2159,0.00045834,1.1035,0.36807,0.0004631774,0.0004535531,0.0004110133
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31750,SnSe Parallel bc plane,SnSe,700,2451.7,0.00044263,0.98196,0.43446,0.0004078802,0.0004803403,0.0004891648
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31750,SnSe Parallel bc plane,SnSe,750,2744.4,0.00042691,0.86045,0.50086,0.0003643784,0.0005001728,0.0005812921
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31750,SnSe Parallel bc plane,SnSe,800,3037.1,0.0004112,0.73895,0.56725,0.0003292615,0.0005135294,0.0006949447
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31750,SnSe Parallel bc plane,SnSe,850,3329.8,0.00039549,0.61744,0.63364,0.0003003183,0.0005208218,0.0008435181
18622,10.1016/j.jallcom.2017.04.110,25501,5b,31750,SnSe Parallel bc plane,SnSe,300,,0.00056834,,,,,
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31751,SnSe Perpendicular bc plane,SnSe,350,322.47,0.00056093,0.65904,0.045345,0.0031010637,0.0001014628,0.0001539554
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31751,SnSe Perpendicular bc plane,SnSe,400,332.95,0.00054016,0.61801,0.057394,0.003003454,0.0000971458,0.0001571912
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31751,SnSe Perpendicular bc plane,SnSe,450,343.43,0.0005194,0.57698,0.069443,0.0029118015,0.0000926493,0.0001605763
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31751,SnSe Perpendicular bc plane,SnSe,500,353.9,0.00049863,0.53595,0.081492,0.002825657,0.0000879908,0.0001641773
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31751,SnSe Perpendicular bc plane,SnSe,550,364.38,0.00047787,0.49492,0.093541,0.0027443877,0.0000832097,0.0001681276
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31751,SnSe Perpendicular bc plane,SnSe,600,374.85,0.0004571,0.45389,0.10559,0.0026677338,0.0000783213,0.0001725557
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31751,SnSe Perpendicular bc plane,SnSe,650,385.33,0.00043634,0.41286,0.11764,0.0025951782,0.000073364,0.000177697
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31751,SnSe Perpendicular bc plane,SnSe,700,395.8,0.00041557,0.37183,0.12969,0.0025265285,0.000068354,0.0001838314
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31751,SnSe Perpendicular bc plane,SnSe,750,406.28,0.0003948,0.33079,0.14174,0.0024613567,0.0000633257,0.0001914377
18622,10.1016/j.jallcom.2017.04.110,25500,5a,31751,SnSe Perpendicular bc plane,SnSe,800,416.76,0.00037404,0.28976,0.15379,0.0023994625,0.0000583072,0.0002012258
18622,10.1016/j.jallcom.2017.04.110,25502,3d,31751,SnSe Perpendicular bc plane,SnSe,850,,,0.24873,,,,
