sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
5936,10.1002/aenm.201400600,25508,2a,31756,Fe(V0.6Nb0.4)1−xTixSb_ x=0.04,Fe(V0.6Nb0.4)0.96Ti0.04Sb,300,0.00063264,2137.7,0.00032835,4.5648,0.21377,0.0004677925,0.0002304734,0.0000504893
5936,10.1002/aenm.201400600,25508,2a,31756,Fe(V0.6Nb0.4)1−xTixSb_ x=0.04,Fe(V0.6Nb0.4)0.96Ti0.04Sb,350,0.00060537,2086.8,0.00031667,4.5846,0.20868,0.0004792026,0.0002092641,0.000045645
5936,10.1002/aenm.201400600,25508,2a,31756,Fe(V0.6Nb0.4)1−xTixSb_ x=0.04,Fe(V0.6Nb0.4)0.96Ti0.04Sb,400,0.0005781,2035.8,0.00030498,4.6044,0.20358,0.0004912074,0.0001893555,0.0000411249
5936,10.1002/aenm.201400600,25508,2a,31756,Fe(V0.6Nb0.4)1−xTixSb_ x=0.04,Fe(V0.6Nb0.4)0.96Ti0.04Sb,450,0.00055083,1984.8,0.00029329,4.6241,0.19848,0.0005038291,0.0001707306,0.0000369219
5936,10.1002/aenm.201400600,25508,2a,31756,Fe(V0.6Nb0.4)1−xTixSb_ x=0.04,Fe(V0.6Nb0.4)0.96Ti0.04Sb,500,0.00052356,1933.8,0.0002816,4.6439,0.19338,0.0005171166,0.0001533476,0.0000330213
5936,10.1002/aenm.201400600,25508,2a,31756,Fe(V0.6Nb0.4)1−xTixSb_ x=0.04,Fe(V0.6Nb0.4)0.96Ti0.04Sb,550,0.00049629,1882.8,0.00026992,4.6637,0.18828,0.0005311239,0.0001371748,0.0000294133
5936,10.1002/aenm.201400600,25508,2a,31756,Fe(V0.6Nb0.4)1−xTixSb_ x=0.04,Fe(V0.6Nb0.4)0.96Ti0.04Sb,600,0.00046902,1831.8,0.00025823,4.6834,0.18318,0.0005459111,0.0001221494,0.0000260814
5936,10.1002/aenm.201400600,25508,2a,31756,Fe(V0.6Nb0.4)1−xTixSb_ x=0.04,Fe(V0.6Nb0.4)0.96Ti0.04Sb,650,0.00044175,1780.8,0.00024654,4.7032,0.17808,0.0005615454,0.0001082405,0.0000230142
5936,10.1002/aenm.201400600,25508,2a,31756,Fe(V0.6Nb0.4)1−xTixSb_ x=0.04,Fe(V0.6Nb0.4)0.96Ti0.04Sb,700,0.00041448,1729.8,0.00023486,4.723,0.17298,0.0005781015,0.0000954144,0.0000202021
5936,10.1002/aenm.201400600,25508,2a,31756,Fe(V0.6Nb0.4)1−xTixSb_ x=0.04,Fe(V0.6Nb0.4)0.96Ti0.04Sb,750,0.00038722,1678.9,0.00022317,4.7427,0.16789,0.0005956281,0.0000836174,0.0000176308
