sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27932,10.1039/c6ee02017h,26828,1(b),33616,Bi0.5Sb1.5-xMxTe3_ x=0,Bi0.5Sb1.5Te3,300,,,0.0002473,,0.81274,,,
27932,10.1039/c6ee02017h,26828,1(b),33616,Bi0.5Sb1.5-xMxTe3_ x=0,Bi0.5Sb1.5Te3,350,31386,0.60705,0.00023258,0.82079,0.72173,0.0000318613,0.0016977772,0.0020684672
27932,10.1039/c6ee02017h,26828,1(b),33616,Bi0.5Sb1.5-xMxTe3_ x=0,Bi0.5Sb1.5Te3,400,29821,0.58616,0.00021785,0.91236,0.63072,0.0000335334,0.0014152636,0.0015512118
27932,10.1039/c6ee02017h,26828,1(b),33616,Bi0.5Sb1.5-xMxTe3_ x=0,Bi0.5Sb1.5Te3,450,28256,0.56526,0.00020313,1.0039,0.53971,0.0000353907,0.0011658933,0.001161364
27932,10.1039/c6ee02017h,26828,1(b),33616,Bi0.5Sb1.5-xMxTe3_ x=0,Bi0.5Sb1.5Te3,500,26691,0.54437,0.0001884,1.0955,0.4487,0.0000374658,0.0009473853,0.0008647972
27932,10.1039/c6ee02017h,26828,1(b),33616,Bi0.5Sb1.5-xMxTe3_ x=0,Bi0.5Sb1.5Te3,550,25126,0.52348,0.00017368,1.1871,0.35769,0.0000397994,0.0007579193,0.0006384629
27932,10.1039/c6ee02017h,26828,1(b),33616,Bi0.5Sb1.5-xMxTe3_ x=0,Bi0.5Sb1.5Te3,600,23560,,,,0.26668,0.0000424448,,
27932,10.1039/c6ee02017h,26828,1(b),33617,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.01,Bi0.5Sb1.499M0.01Te3,300,109300,,,0.99598,1.1834,0.0000091491,,
27932,10.1039/c6ee02017h,26828,1(b),33617,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.01,Bi0.5Sb1.499M0.01Te3,350,95497,0.482,0.00018554,1.0054,1.1345,0.0000104715,0.003287493,0.0032698359
27932,10.1039/c6ee02017h,26828,1(b),33617,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.01,Bi0.5Sb1.499M0.01Te3,400,81698,0.4489,0.00018988,1.0148,1.0855,0.0000122402,0.0029455735,0.0029026148
27932,10.1039/c6ee02017h,26828,1(b),33617,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.01,Bi0.5Sb1.499M0.01Te3,450,67899,0.4158,0.00019422,1.0243,1.0366,0.0000147278,0.0025612459,0.0025004841
27932,10.1039/c6ee02017h,26828,1(b),33617,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.01,Bi0.5Sb1.499M0.01Te3,500,54100,0.3827,0.00019855,1.0337,0.9876,0.0000184843,0.0021327357,0.0020632057
27932,10.1039/c6ee02017h,26828,1(b),33617,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.01,Bi0.5Sb1.499M0.01Te3,550,40301,0.3496,0.00020289,1.0431,0.93864,0.0000248133,0.0016589646,0.0015904176
27932,10.1039/c6ee02017h,26828,1(b),33617,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.01,Bi0.5Sb1.499M0.01Te3,600,26502,,,,0.88968,0.000037733,,
27932,10.1039/c6ee02017h,26828,1(b),33618,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.015,Bi0.5Sb1.485M0.015Te3,300,149900,,0.0001374,1.0997,0.88145,0.0000066711,0.0028299261,0.0025733619
27932,10.1039/c6ee02017h,26828,1(b),33618,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.015,Bi0.5Sb1.485M0.015Te3,350,130470,0.34987,0.00014626,1.0826,0.90354,0.0000076646,0.0027910126,0.0025780645
27932,10.1039/c6ee02017h,26828,1(b),33618,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.015,Bi0.5Sb1.485M0.015Te3,400,111040,0.33741,0.00015513,1.0654,0.92563,0.0000090058,0.0026722128,0.002508178
27932,10.1039/c6ee02017h,26828,1(b),33618,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.015,Bi0.5Sb1.485M0.015Te3,450,91608,0.32495,0.00016399,1.0483,0.94773,0.0000109161,0.0024635883,0.0023500795
27932,10.1039/c6ee02017h,26828,1(b),33618,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.015,Bi0.5Sb1.485M0.015Te3,500,72178,0.31249,0.00017286,1.0311,0.96982,0.0000138546,0.0021567205,0.0020916696
27932,10.1039/c6ee02017h,26828,1(b),33618,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.015,Bi0.5Sb1.485M0.015Te3,550,52749,0.30003,0.00018172,1.0139,0.99192,0.0000189577,0.0017418858,0.0017180056
27932,10.1039/c6ee02017h,26832,2(c)(lattice),33618,Bi0.5Sb1.5-xMxTe3_ M:Cd_ x=0.015,Bi0.5Sb1.485M0.015Te3,600,,0.28757,,,,,,
27932,10.1039/c6ee02017h,26828,1(b),33619,Bi0.5Sb1.5-xMxTe3_ M:Cu_ x=0.005,Bi0.5Sb1.495M0.005Te3,300,119150,,,,1.2553,0.0000083928,,
27932,10.1039/c6ee02017h,26828,1(b),33619,Bi0.5Sb1.5-xMxTe3_ M:Cu_ x=0.005,Bi0.5Sb1.495M0.005Te3,350,103340,0.31985,0.00017593,0.8871,1.2063,0.0000096768,0.003198514,0.0036055845
27932,10.1039/c6ee02017h,26828,1(b),33619,Bi0.5Sb1.5-xMxTe3_ M:Cu_ x=0.005,Bi0.5Sb1.495M0.005Te3,400,87525,0.31765,0.00018151,0.90719,1.1573,0.0000114253,0.0028835882,0.0031785934
27932,10.1039/c6ee02017h,26828,1(b),33619,Bi0.5Sb1.5-xMxTe3_ M:Cu_ x=0.005,Bi0.5Sb1.495M0.005Te3,450,71711,0.31545,0.00018708,0.92728,1.1084,0.0000139449,0.002509808,0.0027066345
27932,10.1039/c6ee02017h,26828,1(b),33619,Bi0.5Sb1.5-xMxTe3_ M:Cu_ x=0.005,Bi0.5Sb1.495M0.005Te3,500,55898,0.31325,0.00019266,0.94738,1.0594,0.0000178897,0.002074815,0.0021900557
27932,10.1039/c6ee02017h,26828,1(b),33619,Bi0.5Sb1.5-xMxTe3_ M:Cu_ x=0.005,Bi0.5Sb1.495M0.005Te3,550,40084,0.31105,0.00019823,0.96747,1.0104,0.0000249476,0.0015751061,0.0016280671
