sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,300,129720,,,2.4347,0.053475,0.0000077089,,
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,350,120120,1.4874,,2.2916,0.24239,0.000008325,,
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,400,110510,1.381,,2.1485,0.43131,0.000009049,,
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,450,100900,1.2746,,2.0054,0.62023,0.0000099108,,
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,500,91298,1.1682,,1.8623,0.80915,0.0000109531,,
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,550,81692,1.0617,,1.7192,0.99807,0.0000122411,,
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,600,72085,0.95532,,1.5761,1.187,0.0000138725,,
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,650,62479,0.8489,,1.4331,1.3759,0.0000160054,,
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,700,52873,0.74247,,1.29,1.5648,0.0000189132,,
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,750,43267,0.63605,,1.1469,1.7537,0.0000231123,,
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,800,33660,0.52963,,1.0038,1.9427,0.0000297089,,
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,850,24054,0.4232,,0.86068,2.1316,0.0000415731,,
27937,10.1038/nature11439,25549,1(b),31806,4 mol% SrTe_ 2 mol% Na: SPS,undefined,900,14448,0.31678,,0.71759,2.3205,0.0000692137,,
27937,10.1038/nature11439,25549,1(b),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,300,185550,1.3182,,2.6807,0.10993,0.0000053894,,
27937,10.1038/nature11439,25549,1(b),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,350,168280,1.2477,,2.4796,0.27046,0.0000059425,,
27937,10.1038/nature11439,25549,1(b),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,400,151010,1.1773,,2.2786,0.43098,0.0000066221,,
27937,10.1038/nature11439,25549,1(b),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,450,133740,1.1069,,2.0775,0.5915,0.0000074772,,
27937,10.1038/nature11439,25549,1(b),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,500,116470,1.0364,,1.8765,0.75203,0.0000085859,,
27937,10.1038/nature11439,25549,1(b),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,550,99205,0.96598,,1.6755,0.91255,0.0000100801,,
27937,10.1038/nature11439,25549,1(b),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,600,81936,0.89555,,1.4744,1.0731,0.0000122046,,
27937,10.1038/nature11439,25549,1(b),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,650,64668,0.82511,,1.2734,1.2336,0.0000154636,,
27937,10.1038/nature11439,25549,1(b),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,700,47400,0.75468,,1.0723,1.3941,0.000021097,,
27937,10.1038/nature11439,25549,1(b),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,750,30131,0.68424,,0.87129,1.5546,0.0000331884,,
27937,10.1038/nature11439,25549,1(b),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,800,12863,0.61381,,0.67025,1.7152,0.0000777424,,
27937,10.1038/nature11439,25549,1(b),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,850,-4405.3,0.54337,,,1.8757,-0.0002269993,,
27937,10.1038/nature11439,25553,2(a),31807,2 mol% SrTe_ 1 mol% Na: ingot,undefined,900,-21674,,,,,-0.0000461382,,
27937,10.1038/nature11439,25549,1(b),31808,0 mol% SrTe_ 2 mol% Na: ingot,undefined,350,,,,,0.22328,,,
27937,10.1038/nature11439,25549,1(b),31808,0 mol% SrTe_ 2 mol% Na: ingot,undefined,400,,,,,0.32526,,,
27937,10.1038/nature11439,25549,1(b),31808,0 mol% SrTe_ 2 mol% Na: ingot,undefined,450,,,,,0.42723,,,
27937,10.1038/nature11439,25549,1(b),31808,0 mol% SrTe_ 2 mol% Na: ingot,undefined,500,,,,,0.52921,,,
27937,10.1038/nature11439,25549,1(b),31808,0 mol% SrTe_ 2 mol% Na: ingot,undefined,550,,,,,0.63119,,,
27937,10.1038/nature11439,25549,1(b),31808,0 mol% SrTe_ 2 mol% Na: ingot,undefined,600,,,,,0.73317,,,
27937,10.1038/nature11439,25549,1(b),31808,0 mol% SrTe_ 2 mol% Na: ingot,undefined,650,,,,,0.83515,,,
27937,10.1038/nature11439,25549,1(b),31808,0 mol% SrTe_ 2 mol% Na: ingot,undefined,700,,,,,0.93712,,,
27937,10.1038/nature11439,25549,1(b),31808,0 mol% SrTe_ 2 mol% Na: ingot,undefined,750,,,,,1.0391,,,
