sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Dopant Concentration,Electrical resistivity,Power factor,Seebeck coefficient,Electrical conductivity
4419,10.1016/j.physb.2005.03.022,85,4,137,Pb1Te1I0.00018,Pb1Te1I0.00018,350,,,0.0000070598,0.003786,-0.00016464,141647.0721550186
4419,10.1016/j.physb.2005.03.022,85,4,137,Pb1Te1I0.00018,Pb1Te1I0.00018,400,,,0.000011071,0.0034281,-0.00018855,90326.0771384699
4419,10.1016/j.physb.2005.03.022,85,4,137,Pb1Te1I0.00018,Pb1Te1I0.00018,450,,,0.000016042,0.0030701,-0.0002115,62336.3670365291
4419,10.1016/j.physb.2005.03.022,85,4,137,Pb1Te1I0.00018,Pb1Te1I0.00018,500,,,0.000021738,0.0027122,-0.00023189,46002.3921243905
4419,10.1016/j.physb.2005.03.022,85,4,137,Pb1Te1I0.00018,Pb1Te1I0.00018,550,,,0.000028049,0.0023542,-0.00024875,35651.8948982138
4419,10.1016/j.physb.2005.03.022,85,4,137,Pb1Te1I0.00018,Pb1Te1I0.00018,600,,,0.000034941,0.0019963,-0.0002614,28619.6731633325
4419,10.1016/j.physb.2005.03.022,85,4,137,Pb1Te1I0.00018,Pb1Te1I0.00018,650,,,0.000042409,0.0016383,-0.00026923,23579.9004928199
4419,10.1016/j.physb.2005.03.022,85,4,137,Pb1Te1I0.00018,Pb1Te1I0.00018,700,,,0.000050441,0.0012804,-0.00027136,19825.1422453956
4419,10.1016/j.physb.2005.03.022,85,4,137,Pb1Te1I0.00018,Pb1Te1I0.00018,750,,,0.000058963,0.00092246,-0.00026641,16959.7883418415
4419,10.1016/j.physb.2005.03.022,4879,6,137,Pb1Te1I0.00018,Pb1Te1I0.00018,300,,,,0.0041439,,
4419,10.1016/j.physb.2005.03.022,85,4,125,Pb1Te1In0.0005,Pb1Te1In0.0005,350,,,0.000016784,0.0028422,-0.00021841,59580.552907531
4419,10.1016/j.physb.2005.03.022,85,4,125,Pb1Te1In0.0005,Pb1Te1In0.0005,400,,,0.00002267,0.0026426,-0.00024476,44111.1601235112
4419,10.1016/j.physb.2005.03.022,85,4,125,Pb1Te1In0.0005,Pb1Te1In0.0005,450,,,0.000027779,0.002537,-0.00026547,35998.4160696929
4419,10.1016/j.physb.2005.03.022,85,4,125,Pb1Te1In0.0005,Pb1Te1In0.0005,500,,,0.00003274,0.0023859,-0.00027949,30543.677458766
4419,10.1016/j.physb.2005.03.022,85,4,125,Pb1Te1In0.0005,Pb1Te1In0.0005,550,,,0.000037599,0.0022194,-0.00028887,26596.4520332988
4419,10.1016/j.physb.2005.03.022,85,4,125,Pb1Te1In0.0005,Pb1Te1In0.0005,600,,,0.000042225,0.0020702,-0.00029566,23682.6524570752
4419,10.1016/j.physb.2005.03.022,85,4,125,Pb1Te1In0.0005,Pb1Te1In0.0005,650,,,0.000046726,0.0019115,-0.00029886,21401.3611265676
4419,10.1016/j.physb.2005.03.022,85,4,134,Pb1Te1I0.00106,Pb1Te1I0.00106,350,,,0.0000025379,0.0020454,-0.000070769,394026.5573899681
4419,10.1016/j.physb.2005.03.022,85,4,134,Pb1Te1I0.00106,Pb1Te1I0.00106,400,,,0.0000030067,0.0021352,-0.000085151,332590.5477766322
4419,10.1016/j.physb.2005.03.022,85,4,134,Pb1Te1I0.00106,Pb1Te1I0.00106,450,,,0.0000037657,0.0022249,-0.0001005,265554.8769153146
4419,10.1016/j.physb.2005.03.022,85,4,134,Pb1Te1I0.00106,Pb1Te1I0.00106,500,,,0.0000048093,0.0023147,-0.00011632,207930.4680514836
4419,10.1016/j.physb.2005.03.022,85,4,134,Pb1Te1I0.00106,Pb1Te1I0.00106,550,,,0.0000061578,0.0024045,-0.00013204,162395.6607879438
4419,10.1016/j.physb.2005.03.022,85,4,134,Pb1Te1I0.00106,Pb1Te1I0.00106,600,,,0.0000078376,0.0024942,-0.00014709,127590.0785954884
4419,10.1016/j.physb.2005.03.022,85,4,134,Pb1Te1I0.00106,Pb1Te1I0.00106,650,,,0.0000098611,0.002584,-0.00016098,101408.5649673971
4419,10.1016/j.physb.2005.03.022,85,4,134,Pb1Te1I0.00106,Pb1Te1I0.00106,700,,,0.000012207,0.0026738,-0.00017333,81920.2097157369
4419,10.1016/j.physb.2005.03.022,85,4,134,Pb1Te1I0.00106,Pb1Te1I0.00106,750,,,0.0000148,0.0027635,-0.00018394,67567.5675675676
4419,10.1016/j.physb.2005.03.022,4879,6,134,Pb1Te1I0.00106,Pb1Te1I0.00106,300,,,,0.0019557,,
4419,10.1016/j.physb.2005.03.022,85,4,95,Pb1Te1In0.015,Pb1Te1In0.015,350,,,0.000096099,0.00038057,-0.00019124,10405.9355456352
4419,10.1016/j.physb.2005.03.022,85,4,95,Pb1Te1In0.015,Pb1Te1In0.015,400,,,0.000099695,0.00039547,-0.00019856,10030.5933095943
4419,10.1016/j.physb.2005.03.022,85,4,95,Pb1Te1In0.015,Pb1Te1In0.015,450,,,0.000098518,0.00042903,-0.00020559,10150.4293631621
4419,10.1016/j.physb.2005.03.022,85,4,95,Pb1Te1In0.015,Pb1Te1In0.015,500,,,0.000094779,0.00047447,-0.00021206,10550.8604226675
4419,10.1016/j.physb.2005.03.022,85,4,95,Pb1Te1In0.015,Pb1Te1In0.015,550,,,0.000089678,0.00052877,-0.00021776,11151.0069359263
4419,10.1016/j.physb.2005.03.022,85,4,95,Pb1Te1In0.015,Pb1Te1In0.015,600,,,0.000084025,0.00058892,-0.00022245,11901.2198750372
4419,10.1016/j.physb.2005.03.022,85,4,95,Pb1Te1In0.015,Pb1Te1In0.015,650,,,0.000078867,0.00064705,-0.0002259,12679.5744734807
4419,10.1016/j.physb.2005.03.022,85,4,1,Pb1Te1I0.0006,Pb1Te1I0.0006,350,,,0.00000331,0.0027296,-0.000097866,302114.8036253777
4419,10.1016/j.physb.2005.03.022,85,4,1,Pb1Te1I0.0006,Pb1Te1I0.0006,400,,,0.0000043832,0.0026896,-0.0001166,228143.8218653039
4419,10.1016/j.physb.2005.03.022,85,4,1,Pb1Te1I0.0006,Pb1Te1I0.0006,450,,,0.0000059788,0.0026497,-0.00013557,167257.6436743159
4419,10.1016/j.physb.2005.03.022,85,4,1,Pb1Te1I0.0006,Pb1Te1I0.0006,500,,,0.000008079,0.0026098,-0.00015468,123777.6952593143
4419,10.1016/j.physb.2005.03.022,85,4,1,Pb1Te1I0.0006,Pb1Te1I0.0006,550,,,0.000010668,0.0025698,-0.00017331,93738.2827146607
4419,10.1016/j.physb.2005.03.022,85,4,1,Pb1Te1I0.0006,Pb1Te1I0.0006,600,,,0.000013735,0.0025299,-0.00019059,72806.6982162359
4419,10.1016/j.physb.2005.03.022,85,4,1,Pb1Te1I0.0006,Pb1Te1I0.0006,650,,,0.000017278,0.00249,-0.00020574,57877.0691052205
4419,10.1016/j.physb.2005.03.022,85,4,1,Pb1Te1I0.0006,Pb1Te1I0.0006,700,,,0.000021302,0.00245,-0.00021836,46943.9489249836
