sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
23953,10.1016/j.joule.2019.10.010,25173,1(e),31371,Sb2Si2Te6_ in-plane,undefined,350,47217,0.98255,0.00013475,1.2929,0.21831,0.0000211788,0.0008573456,0.0006631183
23953,10.1016/j.joule.2019.10.010,25173,1(e),31371,Sb2Si2Te6_ in-plane,undefined,400,43586,0.9325,0.00014676,1.234,0.3048,0.0000229431,0.000938777,0.0007607593
23953,10.1016/j.joule.2019.10.010,25173,1(e),31371,Sb2Si2Te6_ in-plane,undefined,450,39955,0.88244,0.00015876,1.1751,0.39129,0.0000250282,0.0010070553,0.0008569954
23953,10.1016/j.joule.2019.10.010,25173,1(e),31371,Sb2Si2Te6_ in-plane,undefined,500,36324,0.83239,0.00017076,1.1162,0.47778,0.00002753,0.0010591707,0.0009489076
23953,10.1016/j.joule.2019.10.010,25173,1(e),31371,Sb2Si2Te6_ in-plane,undefined,550,32693,0.78233,0.00018277,1.0572,0.56427,0.0000305876,0.0010921055,0.0010330169
23953,10.1016/j.joule.2019.10.010,25173,1(e),31371,Sb2Si2Te6_ in-plane,undefined,600,29062,0.73227,0.00019477,0.99832,0.65076,0.0000344092,0.0011024772,0.0011043325
23953,10.1016/j.joule.2019.10.010,25173,1(e),31371,Sb2Si2Te6_ in-plane,undefined,650,25431,0.68222,0.00020677,0.9394,0.73725,0.0000393221,0.0010872727,0.0011574119
23953,10.1016/j.joule.2019.10.010,25173,1(e),31371,Sb2Si2Te6_ in-plane,undefined,700,21800,0.63216,0.00021878,0.88048,0.82374,0.0000458716,0.0010434502,0.0011850925
23953,10.1016/j.joule.2019.10.010,25173,1(e),31371,Sb2Si2Te6_ in-plane,undefined,750,18168,0.58211,0.00023078,0.82156,0.91023,0.0000550418,0.0009676169,0.00117778
23953,10.1016/j.joule.2019.10.010,25173,1(e),31371,Sb2Si2Te6_ in-plane,undefined,800,14537,0.53205,0.00024278,0.76263,0.99672,0.00006879,0.0008568417,0.0011235353
23953,10.1016/j.joule.2019.10.010,25173,1(e),31372,Sb2Si2Te6_ cross-plane,undefined,350,45387,0.9441,0.00013507,1.2443,0.22991,0.0000220327,0.0008280361,0.0006654634
23953,10.1016/j.joule.2019.10.010,25173,1(e),31372,Sb2Si2Te6_ cross-plane,undefined,400,41970,0.89244,0.00014938,1.1841,0.31983,0.0000238265,0.0009365347,0.0007909254
23953,10.1016/j.joule.2019.10.010,25173,1(e),31372,Sb2Si2Te6_ cross-plane,undefined,450,38552,0.84079,0.00016294,1.124,0.40975,0.000025939,0.0010235341,0.0009106176
23953,10.1016/j.joule.2019.10.010,25173,1(e),31372,Sb2Si2Te6_ cross-plane,undefined,500,35135,0.78914,0.00017576,1.0638,0.49967,0.0000284616,0.0010853756,0.0010202816
23953,10.1016/j.joule.2019.10.010,25173,1(e),31372,Sb2Si2Te6_ cross-plane,undefined,550,31718,0.73748,0.00018783,1.0036,0.5896,0.0000315278,0.0011190145,0.0011150005
23953,10.1016/j.joule.2019.10.010,25173,1(e),31372,Sb2Si2Te6_ cross-plane,undefined,600,28301,0.68583,0.00019915,0.94345,0.67952,0.0000353344,0.0011224381,0.0011897166
23953,10.1016/j.joule.2019.10.010,25173,1(e),31372,Sb2Si2Te6_ cross-plane,undefined,650,24884,0.63418,0.00020973,0.88328,0.76944,0.0000401865,0.0010945644,0.0012392043
23953,10.1016/j.joule.2019.10.010,25173,1(e),31372,Sb2Si2Te6_ cross-plane,undefined,700,21466,0.58252,0.00021956,0.82311,0.85937,0.0000465853,0.0010348027,0.0012571864
23953,10.1016/j.joule.2019.10.010,25173,1(e),31372,Sb2Si2Te6_ cross-plane,undefined,750,18049,0.53087,0.00022864,0.76293,0.94929,0.0000554047,0.000943534,0.0012367242
23953,10.1016/j.joule.2019.10.010,25173,1(e),31372,Sb2Si2Te6_ cross-plane,undefined,800,14632,0.47922,0.00023697,0.70276,1.0392,0.0000683434,0.0008216568,0.0011691854
23953,10.1016/j.joule.2019.10.010,25179,4(d),31373,Sb2Si2Te6,undefined,350,45437,0.945,0.00013447,1.2442,0.233,0.0000220085,0.0008216001,0.000660344
23953,10.1016/j.joule.2019.10.010,25179,4(d),31373,Sb2Si2Te6,undefined,400,42013,0.89332,0.00014814,1.1844,0.32248,0.0000238022,0.0009219946,0.0007784487
23953,10.1016/j.joule.2019.10.010,25179,4(d),31373,Sb2Si2Te6,undefined,450,38588,0.84164,0.00016174,1.1245,0.41197,0.0000259148,0.0010094554,0.0008976927
23953,10.1016/j.joule.2019.10.010,25179,4(d),31373,Sb2Si2Te6,undefined,500,35163,0.78996,0.00017502,1.0646,0.50145,0.000028439,0.001077113,0.0010117537
23953,10.1016/j.joule.2019.10.010,25179,4(d),31373,Sb2Si2Te6,undefined,550,31739,0.73828,0.00018776,1.0047,0.59093,0.000031507,0.0011189209,0.0011136866
23953,10.1016/j.joule.2019.10.010,25179,4(d),31373,Sb2Si2Te6,undefined,600,28314,0.68659,0.00019974,0.94486,0.68042,0.0000353182,0.0011296173,0.0011955393
23953,10.1016/j.joule.2019.10.010,25179,4(d),31373,Sb2Si2Te6,undefined,650,24889,0.63491,0.00021074,0.88499,0.7699,0.0000401784,0.001105354,0.0012490017
23953,10.1016/j.joule.2019.10.010,25179,4(d),31373,Sb2Si2Te6,undefined,700,21465,0.58323,0.00022058,0.82511,0.85938,0.0000465875,0.0010443911,0.0012657598
23953,10.1016/j.joule.2019.10.010,25179,4(d),31373,Sb2Si2Te6,undefined,750,18040,0.53155,0.00022906,0.76524,0.94886,0.0000554324,0.0009465314,0.001236908
23953,10.1016/j.joule.2019.10.010,25179,4(d),31373,Sb2Si2Te6,undefined,800,14615,0.47987,0.00023601,0.70537,1.0383,0.0000684229,0.000814066,0.0011540979
23953,10.1016/j.joule.2019.10.010,25179,4(d),31374,Sb2Si2Te6/Si2Te3,undefined,350,43313,0.74119,0.00014407,1.0244,0.27738,0.0000230878,0.0008990118,0.0008775984
23953,10.1016/j.joule.2019.10.010,25179,4(d),31374,Sb2Si2Te6/Si2Te3,undefined,400,40046,0.69061,0.00015639,0.96587,0.41496,0.0000249713,0.0009794383,0.0010140478
23953,10.1016/j.joule.2019.10.010,25179,4(d),31374,Sb2Si2Te6/Si2Te3,undefined,450,36779,0.64003,0.00016871,0.90734,0.55254,0.0000271894,0.001046843,0.0011537495
23953,10.1016/j.joule.2019.10.010,25179,4(d),31374,Sb2Si2Te6/Si2Te3,undefined,500,33512,0.58945,0.00018103,0.8488,0.69011,0.0000298401,0.0010982506,0.0012938862
23953,10.1016/j.joule.2019.10.010,25179,4(d),31374,Sb2Si2Te6/Si2Te3,undefined,550,30245,0.53887,0.00019335,0.79026,0.82769,0.0000330633,0.0011306858,0.001430777
