sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,305,117400,,1.4639,1.0178,0.0000085179,,
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,310,113840,0.00020113,1.4481,1.0179,0.0000087843,0.004605201,0.0031801678
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,315,110420,0.00020176,1.4337,1.018,0.0000090563,0.0044948777,0.0031351592
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,320,107140,0.00020277,1.4211,1.0181,0.0000093336,0.0044051332,0.0030998052
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,325,104010,0.00020404,1.4103,1.0182,0.0000096145,0.0043301778,0.0030703948
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,330,101050,0.0002055,1.4015,1.0184,0.0000098961,0.0042673668,0.0030448568
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,335,98231,0.00020708,1.3947,1.0185,0.0000101801,0.0042123542,0.0030202582
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,340,95563,0.00020871,1.3897,1.0186,0.0000104643,0.0041627113,0.0029954028
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,345,93028,0.00021035,1.3863,1.0187,0.0000107495,0.0041162213,0.002969214
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,350,90614,0.00021196,1.3845,1.0189,0.0000110358,0.0040710189,0.0029404254
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,355,88305,0.00021352,1.384,1.019,0.0000113244,0.0040258947,0.0029088835
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1709,ZM-parallel,unknown,360,86086,0.000215,1.3846,1.0191,0.0000116163,0.0039793254,0.0028739891
