sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
5927,10.1002/aenm.201100770,143,2(a),75,Na0.015Pb0.955Cd0.03Te1,Na0.015Pb0.955Cd0.03Te1,300,0.000005512,0.0012408,0.000082701,3.3525,0.027369,181422.351233672,0.0003701119
5927,10.1002/aenm.201100770,143,2(a),75,Na0.015Pb0.955Cd0.03Te1,Na0.015Pb0.955Cd0.03Te1,350,0.0000064099,19.295,0.00010392,2.8484,0.20936,156008.674082279,6.7739783738
5927,10.1002/aenm.201100770,143,2(a),75,Na0.015Pb0.955Cd0.03Te1,Na0.015Pb0.955Cd0.03Te1,400,0.0000075909,20.141,0.00012399,2.3869,0.39135,131736.6847145925,8.4381415225
5927,10.1002/aenm.201100770,143,2(a),75,Na0.015Pb0.955Cd0.03Te1,Na0.015Pb0.955Cd0.03Te1,450,0.0000093525,20.988,0.00014655,2.0041,0.57334,106923.2825447741,10.4725313108
5927,10.1002/aenm.201100770,143,2(a),75,Na0.015Pb0.955Cd0.03Te1,Na0.015Pb0.955Cd0.03Te1,500,0.000011716,21.834,0.00017157,1.7086,0.75533,85353.3629224991,12.7788832963
5927,10.1002/aenm.201100770,143,2(a),75,Na0.015Pb0.955Cd0.03Te1,Na0.015Pb0.955Cd0.03Te1,550,0.00001452,22.68,0.00019665,1.4908,0.93732,68870.523415978,15.2133082909
5927,10.1002/aenm.201100770,143,2(a),75,Na0.015Pb0.955Cd0.03Te1,Na0.015Pb0.955Cd0.03Te1,600,0.000017513,23.526,0.00021844,1.3311,1.1193,57100.4396733855,17.6741041244
5927,10.1002/aenm.201100770,143,2(a),75,Na0.015Pb0.955Cd0.03Te1,Na0.015Pb0.955Cd0.03Te1,650,0.00002045,24.373,0.00023396,1.2093,1.3013,48899.7555012225,20.1546349128
5927,10.1002/aenm.201100770,143,2(a),75,Na0.015Pb0.955Cd0.03Te1,Na0.015Pb0.955Cd0.03Te1,700,0.000023183,25.219,0.00024193,1.1133,1.4833,43135.0558598973,22.652474625
5927,10.1002/aenm.201100770,143,2(a),75,Na0.015Pb0.955Cd0.03Te1,Na0.015Pb0.955Cd0.03Te1,750,0.000025757,26.065,0.0002442,1.0477,1.6653,38824.3972512327,24.8783048583
5927,10.1002/aenm.201100770,4891,4,75,Na0.015Pb0.955Cd0.03Te1,Na0.015Pb0.955Cd0.03Te1,800,,26.911,,,1.8473,,
5927,10.1002/aenm.201100770,143,2(a),92,Na0.01Pb0.96Cd0.03Te1,Na0.01Pb0.96Cd0.03Te1,300,0.0000077983,0.00056417,0.000066329,3.2745,0.032357,128233.0764397369,0.000172292
5927,10.1002/aenm.201100770,143,2(a),92,Na0.01Pb0.96Cd0.03Te1,Na0.01Pb0.96Cd0.03Te1,350,0.0000089461,0.0010923,0.000098852,2.638,0.19802,111780.55241949,0.0004140637
5927,10.1002/aenm.201100770,143,2(a),92,Na0.01Pb0.96Cd0.03Te1,Na0.01Pb0.96Cd0.03Te1,400,0.000010447,0.0016369,0.00013077,2.1629,0.36368,95721.2596917775,0.000756808
5927,10.1002/aenm.201100770,143,2(a),92,Na0.01Pb0.96Cd0.03Te1,Na0.01Pb0.96Cd0.03Te1,450,0.000012688,0.0020419,0.00016096,1.8174,0.52934,78814.6279949559,0.0011235281
5927,10.1002/aenm.201100770,143,2(a),92,Na0.01Pb0.96Cd0.03Te1,Na0.01Pb0.96Cd0.03Te1,500,0.000015721,0.0022645,0.00018868,1.5706,0.695,63609.185166338,0.0014418057
5927,10.1002/aenm.201100770,143,2(a),92,Na0.01Pb0.96Cd0.03Te1,Na0.01Pb0.96Cd0.03Te1,550,0.000019382,0.0023507,0.00021345,1.3946,0.86065,51594.2627179858,0.0016855729
5927,10.1002/aenm.201100770,143,2(a),92,Na0.01Pb0.96Cd0.03Te1,Na0.01Pb0.96Cd0.03Te1,600,0.000023411,0.0023579,0.00023495,1.2658,1.0263,42714.963051557,0.0018627745
5927,10.1002/aenm.201100770,143,2(a),92,Na0.01Pb0.96Cd0.03Te1,Na0.01Pb0.96Cd0.03Te1,650,0.000027579,0.0023174,0.00025281,1.1669,1.192,36259.4727872657,0.0019859457
5927,10.1002/aenm.201100770,143,2(a),92,Na0.01Pb0.96Cd0.03Te1,Na0.01Pb0.96Cd0.03Te1,700,0.0000318,0.0022336,0.00026651,1.089,1.3576,31446.5408805031,0.002051056
5927,10.1002/aenm.201100770,143,2(a),92,Na0.01Pb0.96Cd0.03Te1,Na0.01Pb0.96Cd0.03Te1,750,0.00003626,0.0020896,0.00027526,1.0329,1.5233,27578.5990071704,0.0020230419
5927,10.1002/aenm.201100770,4891,4,92,Na0.01Pb0.96Cd0.03Te1,Na0.01Pb0.96Cd0.03Te1,800,,,,,1.689,,
5927,10.1002/aenm.201100770,143,2(a),89,Na0.02Pb0.95Cd0.03Te1,Na0.02Pb0.95Cd0.03Te1,300,0.0000059475,0.0011518,0.000082765,3.2453,0.086085,168137.8730559058,0.0003549133
5927,10.1002/aenm.201100770,143,2(a),89,Na0.02Pb0.95Cd0.03Te1,Na0.02Pb0.95Cd0.03Te1,350,0.0000070725,17.591,0.000099037,2.624,0.25386,141392.7182750088,6.7038871951
5927,10.1002/aenm.201100770,143,2(a),89,Na0.02Pb0.95Cd0.03Te1,Na0.02Pb0.95Cd0.03Te1,400,0.0000083306,18.595,0.00012312,2.1835,0.42164,120039.3729143159,8.5161438058
5927,10.1002/aenm.201100770,143,2(a),89,Na0.02Pb0.95Cd0.03Te1,Na0.02Pb0.95Cd0.03Te1,450,0.000010236,19.598,0.00015095,1.8605,0.58942,97694.4118796405,10.5337274926
5927,10.1002/aenm.201100770,143,2(a),89,Na0.02Pb0.95Cd0.03Te1,Na0.02Pb0.95Cd0.03Te1,500,0.000012831,20.602,0.00017878,1.6162,0.7572,77936.2481490141,12.7471847544
5927,10.1002/aenm.201100770,143,2(a),89,Na0.02Pb0.95Cd0.03Te1,Na0.02Pb0.95Cd0.03Te1,550,0.00001585,21.606,0.00020348,1.43,0.92498,63091.4826498423,15.1090909091
5927,10.1002/aenm.201100770,143,2(a),89,Na0.02Pb0.95Cd0.03Te1,Na0.02Pb0.95Cd0.03Te1,600,0.000018885,22.61,0.00022266,1.2927,1.0928,52952.078369076,17.4905237101
5927,10.1002/aenm.201100770,143,2(a),89,Na0.02Pb0.95Cd0.03Te1,Na0.02Pb0.95Cd0.03Te1,650,0.000021548,23.613,0.000235,1.2002,1.2605,46408.019305736,19.6742209632
5927,10.1002/aenm.201100770,143,2(a),89,Na0.02Pb0.95Cd0.03Te1,Na0.02Pb0.95Cd0.03Te1,700,0.000023639,24.617,0.0002404,1.1461,1.4283,42302.9738990651,21.4789285403
5927,10.1002/aenm.201100770,143,2(a),89,Na0.02Pb0.95Cd0.03Te1,Na0.02Pb0.95Cd0.03Te1,750,0.00002531,25.621,0.00024024,1.1163,1.5961,39510.0750691426,22.9517154887
5927,10.1002/aenm.201100770,4890,2(d),89,Na0.02Pb0.95Cd0.03Te1,Na0.02Pb0.95Cd0.03Te1,800,,26.625,,,,,
5927,10.1002/aenm.201100770,143,2(a),32,Na0.008Pb0.962Cd0.03Te1,Na0.008Pb0.962Cd0.03Te1,300,0.0000080907,0.00073453,0.00007709,3.3322,0.096373,123598.6997416787,0.0002204339
5927,10.1002/aenm.201100770,143,2(a),32,Na0.008Pb0.962Cd0.03Te1,Na0.008Pb0.962Cd0.03Te1,350,0.0000089773,0.001308,0.00010836,2.8274,0.23639,111392.0666570127,0.0004626158
