sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
859,10.1039/c0ee00456a,119,1(b),57,Pb0.99Na0.01Te1,Pb0.99Na0.01Te1,300,,,0.000062725,,,,,
859,10.1039/c0ee00456a,119,1(b),57,Pb0.99Na0.01Te1,Pb0.99Na0.01Te1,350,0.0000061448,,0.000085246,2.6134,0.18629,162739.2266631949,0.0011826065,0.0004525165
859,10.1039/c0ee00456a,119,1(b),57,Pb0.99Na0.01Te1,Pb0.99Na0.01Te1,400,0.0000080173,,0.00011825,2.1624,0.36301,124730.2707894179,0.0017441112,0.0008065627
859,10.1039/c0ee00456a,119,1(b),57,Pb0.99Na0.01Te1,Pb0.99Na0.01Te1,450,0.000010667,,0.00015524,1.8231,0.53973,93747.0704040499,0.0022592535,0.0012392373
859,10.1039/c0ee00456a,119,1(b),57,Pb0.99Na0.01Te1,Pb0.99Na0.01Te1,500,0.000013876,,0.00019096,1.5738,0.71644,72066.8780628423,0.0026279707,0.0016698251
859,10.1039/c0ee00456a,119,1(b),57,Pb0.99Na0.01Te1,Pb0.99Na0.01Te1,550,0.000017444,,0.00022154,1.395,0.89316,57326.3013070397,0.0028135732,0.0020168984
859,10.1039/c0ee00456a,119,1(b),57,Pb0.99Na0.01Te1,Pb0.99Na0.01Te1,600,0.000021232,,0.00024462,1.2699,1.0699,47098.7189148455,0.0028183376,0.0022193382
859,10.1039/c0ee00456a,119,1(b),57,Pb0.99Na0.01Te1,Pb0.99Na0.01Te1,650,0.000025217,,0.00025942,1.1852,1.2466,39655.7877622239,0.0026687844,0.0022517587
859,10.1039/c0ee00456a,119,1(b),57,Pb0.99Na0.01Te1,Pb0.99Na0.01Te1,700,0.000029533,,0.0002669,1.1314,1.4233,33860.4273185928,0.0024120682,0.0021319323
859,10.1039/c0ee00456a,119,1(b),57,Pb0.99Na0.01Te1,Pb0.99Na0.01Te1,750,,,0.00026982,,1.6,,,
859,10.1039/c0ee00456a,119,1(b),90,Pb0.995Na0.005Te1,Pb0.995Na0.005Te1,300,0.0000051616,,0.000075802,2.5078,0.13317,193738.3756974582,0.0011132097,0.0004438989
859,10.1039/c0ee00456a,119,1(b),90,Pb0.995Na0.005Te1,Pb0.995Na0.005Te1,350,0.0000067088,,0.00010424,2.3139,0.29357,149057.9537324112,0.0016196604,0.0006999699
859,10.1039/c0ee00456a,119,1(b),90,Pb0.995Na0.005Te1,Pb0.995Na0.005Te1,400,0.000010479,,0.00013766,2.12,0.39735,95428.953144384,0.001808405,0.0008530212
859,10.1039/c0ee00456a,119,1(b),90,Pb0.995Na0.005Te1,Pb0.995Na0.005Te1,450,0.000016077,,0.00017538,1.9261,0.50113,62200.6593269889,0.0019131769,0.0009932905
859,10.1039/c0ee00456a,119,1(b),90,Pb0.995Na0.005Te1,Pb0.995Na0.005Te1,500,0.000023164,,0.00021459,1.7322,0.6049,43170.4368848213,0.0019879498,0.0011476445
859,10.1039/c0ee00456a,119,1(b),90,Pb0.995Na0.005Te1,Pb0.995Na0.005Te1,550,0.000031439,,0.00025127,1.5383,0.70868,31807.6274690671,0.0020082259,0.0013054839
859,10.1039/c0ee00456a,119,1(b),90,Pb0.995Na0.005Te1,Pb0.995Na0.005Te1,600,0.000040629,,0.00028121,1.3444,0.81246,24612.9611853602,0.0019463699,0.001447761
859,10.1039/c0ee00456a,119,1(b),90,Pb0.995Na0.005Te1,Pb0.995Na0.005Te1,650,0.000050472,,0.0003009,1.1505,0.91624,19812.9656046917,0.001793882,0.0015592194
859,10.1039/c0ee00456a,119,1(b),90,Pb0.995Na0.005Te1,Pb0.995Na0.005Te1,700,0.000060705,,0.00030851,0.95662,1.02,16473.1076517585,0.0015678844,0.0016389835
859,10.1039/c0ee00456a,4840,4,90,Pb0.995Na0.005Te1,Pb0.995Na0.005Te1,750,,,,,1.1238,,,
859,10.1039/c0ee00456a,119,1(b),11,Pb0.98Na0.02Te1,Pb0.98Na0.02Te1,300,0.0000036581,,0.000060129,4,0.074127,273365.9550039638,0.0009883537,0.0002470884
859,10.1039/c0ee00456a,119,1(b),11,Pb0.98Na0.02Te1,Pb0.98Na0.02Te1,350,0.0000044582,,0.000080202,3.2323,0.18138,224305.7736306133,0.0014428157,0.0004463743
859,10.1039/c0ee00456a,119,1(b),11,Pb0.98Na0.02Te1,Pb0.98Na0.02Te1,400,0.0000057366,,0.00010535,2.6678,0.34747,174319.2831991075,0.0019347039,0.0007252058
859,10.1039/c0ee00456a,119,1(b),11,Pb0.98Na0.02Te1,Pb0.98Na0.02Te1,450,0.000007467,,0.00013293,2.257,0.51356,133922.5927413955,0.0023664638,0.0010484997
859,10.1039/c0ee00456a,119,1(b),11,Pb0.98Na0.02Te1,Pb0.98Na0.02Te1,500,0.0000095035,,0.00015961,1.9581,0.67964,105224.391013837,0.0026806284,0.0013689946
859,10.1039/c0ee00456a,119,1(b),11,Pb0.98Na0.02Te1,Pb0.98Na0.02Te1,550,0.000011645,,0.00018217,1.7387,0.84573,85873.76556462,0.002849799,0.0016390401
859,10.1039/c0ee00456a,119,1(b),11,Pb0.98Na0.02Te1,Pb0.98Na0.02Te1,600,0.000013698,,0.00019836,1.5761,1.0118,73003.3581544751,0.0028724405,0.0018224989
859,10.1039/c0ee00456a,119,1(b),11,Pb0.98Na0.02Te1,Pb0.98Na0.02Te1,650,0.00001554,,0.00020772,1.4591,1.1779,64350.0643500643,0.0027765507,0.0019029201
859,10.1039/c0ee00456a,119,1(b),11,Pb0.98Na0.02Te1,Pb0.98Na0.02Te1,700,0.000017185,,0.0002124,1.3886,1.344,58190.2822228688,0.0026251824,0.0018905246
859,10.1039/c0ee00456a,4840,4,11,Pb0.98Na0.02Te1,Pb0.98Na0.02Te1,750,,,,,1.5101,,,
859,10.1039/c0ee00456a,49,3(b),109,Pb0.985Na0.015Te1,Pb0.985Na0.015Te1,300,0.0000036151,,0.000064616,3.8696,0.08954,276617.5209537772,0.0011549411,0.0002984652
859,10.1039/c0ee00456a,49,3(b),109,Pb0.985Na0.015Te1,Pb0.985Na0.015Te1,350,0.0000045169,,0.000090038,3.1579,0.18286,221390.776860236,0.0017947799,0.000568346
859,10.1039/c0ee00456a,49,3(b),109,Pb0.985Na0.015Te1,Pb0.985Na0.015Te1,400,0.000006228,,0.00011546,2.5891,0.36486,160565.1894669236,0.0021404964,0.0008267338
859,10.1039/c0ee00456a,49,3(b),109,Pb0.985Na0.015Te1,Pb0.985Na0.015Te1,450,0.000008563,,0.00014088,2.1543,0.54686,116781.5018101133,0.0023177828,0.0010758868
859,10.1039/c0ee00456a,49,3(b),109,Pb0.985Na0.015Te1,Pb0.985Na0.015Te1,500,0.000011387,,0.0001663,1.8369,0.72886,87819.44322473,0.0024287073,0.0013221772
859,10.1039/c0ee00456a,49,3(b),109,Pb0.985Na0.015Te1,Pb0.985Na0.015Te1,550,0.000014599,,0.00019172,1.6153,0.91086,68497.842317967,0.0025177449,0.0015586857
859,10.1039/c0ee00456a,49,3(b),109,Pb0.985Na0.015Te1,Pb0.985Na0.015Te1,600,0.000018125,,0.00021715,1.4644,1.0929,55172.4137931034,0.0026016068,0.0017765684
859,10.1039/c0ee00456a,49,3(b),109,Pb0.985Na0.015Te1,Pb0.985Na0.015Te1,650,0.000021895,,0.00024257,1.3585,1.2749,45672.5279744234,0.0026873809,0.0019781972
859,10.1039/c0ee00456a,49,3(b),109,Pb0.985Na0.015Te1,Pb0.985Na0.015Te1,700,0.000025836,,0.00026799,1.2732,1.4569,38705.6819941167,0.0027797894,0.0021833093
859,10.1039/c0ee00456a,1,3(a),109,Pb0.985Na0.015Te1,Pb0.985Na0.015Te1,750,0.000029855,,0.00029341,,1.6389,33495.2269301624,0.0028835849,
859,10.1039/c0ee00456a,25543,2,31792,PbTe:Na_ 3.6e19,undefined,350,,0.025324,,,,,,
859,10.1039/c0ee00456a,25543,2,31792,PbTe:Na_ 3.6e19,undefined,400,,0.021521,,,,,,
859,10.1039/c0ee00456a,25543,2,31792,PbTe:Na_ 3.6e19,undefined,450,,0.017718,,,,,,
859,10.1039/c0ee00456a,25543,2,31792,PbTe:Na_ 3.6e19,undefined,500,,0.013915,,,,,,
859,10.1039/c0ee00456a,25543,2,31792,PbTe:Na_ 3.6e19,undefined,550,,0.010112,,,,,,
859,10.1039/c0ee00456a,25543,2,31792,PbTe:Na_ 3.6e19,undefined,600,,0.0063094,,,,,,
859,10.1039/c0ee00456a,25543,2,31792,PbTe:Na_ 3.6e19,undefined,650,,0.0025065,,,,,,
859,10.1039/c0ee00456a,25543,2,31792,PbTe:Na_ 3.6e19,undefined,700,,-0.0012964,,,,,,
859,10.1039/c0ee00456a,25543,2,31793,PbTe:Na_ 7.5e19,undefined,350,,0.01236,,,,,,
859,10.1039/c0ee00456a,25543,2,31793,PbTe:Na_ 7.5e19,undefined,400,,0.010641,,,,,,
859,10.1039/c0ee00456a,25543,2,31793,PbTe:Na_ 7.5e19,undefined,450,,0.0089227,,,,,,
