sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27935,10.1002/anie.201708134,25468,5(c),31720,GeAg x Sb x Se 1+2x_ x=0,GeAg0.05Sb0.05Se1.1,300,-83.714,2.552,0.00064434,2.5681,-0.0061954,-0.0119454333,-0.0000347559,-0.0000135337
27935,10.1002/anie.201708134,25468,5(c),31720,GeAg x Sb x Se 1+2x_ x=0,GeAg0.05Sb0.05Se1.1,350,-68.726,2.3078,0.00064948,2.3203,-0.0021184,-0.014550534,-0.0000289903,-0.0000124942
27935,10.1002/anie.201708134,25468,5(c),31720,GeAg x Sb x Se 1+2x_ x=0,GeAg0.05Sb0.05Se1.1,400,-53.738,2.0637,0.00065461,2.0724,0.0019585,-0.0186088057,-0.0000230275,-0.0000111115
27935,10.1002/anie.201708134,25468,5(c),31720,GeAg x Sb x Se 1+2x_ x=0,GeAg0.05Sb0.05Se1.1,450,-38.75,1.8196,0.00065975,1.8246,0.0060355,-0.0258064516,-0.0000168667,-0.0000092441
27935,10.1002/anie.201708134,25468,5(c),31720,GeAg x Sb x Se 1+2x_ x=0,GeAg0.05Sb0.05Se1.1,500,-23.761,1.5754,0.00066488,1.5768,0.010112,-0.0420857708,-0.0000105039,-0.0000066615
27935,10.1002/anie.201708134,25468,5(c),31720,GeAg x Sb x Se 1+2x_ x=0,GeAg0.05Sb0.05Se1.1,550,-8.7733,1.3313,0.00067002,1.329,0.014189,-0.113982196,-0.0000039386,-0.0000029636
27935,10.1002/anie.201708134,25468,5(c),31720,GeAg x Sb x Se 1+2x_ x=0,GeAg0.05Sb0.05Se1.1,600,6.2149,1.0871,0.00067516,1.0811,0.018266,0.1609036348,0.000002833,0.0000026205
27935,10.1002/anie.201708134,25468,5(c),31720,GeAg x Sb x Se 1+2x_ x=0,GeAg0.05Sb0.05Se1.1,650,21.203,0.84298,0.00068029,0.83332,0.022343,0.0471631373,0.0000098126,0.0000117753
27935,10.1002/anie.201708134,25468,5(c),31720,GeAg x Sb x Se 1+2x_ x=0,GeAg0.05Sb0.05Se1.1,700,36.191,0.59884,0.00068543,0.58549,0.02642,0.027631179,0.000017003,0.0000290407
27935,10.1002/anie.201708134,25468,5(c),31721,GeAg x Sb x Se 1+2x_ x=0.05,GeAg0.05Sb0.05Se1.1,300,-169.52,1.5367,0.00010821,1.5353,-0.0088089,-0.005899009,-0.000001985,-0.0000012929
27935,10.1002/anie.201708134,25468,5(c),31721,GeAg x Sb x Se 1+2x_ x=0.05,GeAg0.05Sb0.05Se1.1,350,-12.77,1.435,0.00012026,1.4357,-0.0027674,-0.0783085356,-1.847e-7,-1.286e-7
27935,10.1002/anie.201708134,25468,5(c),31721,GeAg x Sb x Se 1+2x_ x=0.05,GeAg0.05Sb0.05Se1.1,400,143.98,1.3334,0.0001323,1.336,0.0032741,0.0069454091,0.0000025201,0.0000018863
27935,10.1002/anie.201708134,25468,5(c),31721,GeAg x Sb x Se 1+2x_ x=0.05,GeAg0.05Sb0.05Se1.1,450,300.72,1.2317,0.00014434,1.2364,0.0093156,0.0033253525,0.0000062652,0.0000050673
27935,10.1002/anie.201708134,25468,5(c),31721,GeAg x Sb x Se 1+2x_ x=0.05,GeAg0.05Sb0.05Se1.1,500,457.47,1.1301,0.00015639,1.1368,0.015357,0.0021859357,0.0000111887,0.0000098423
27935,10.1002/anie.201708134,25468,5(c),31721,GeAg x Sb x Se 1+2x_ x=0.05,GeAg0.05Sb0.05Se1.1,550,614.22,1.0284,0.00016843,1.0372,0.021399,0.0016280811,0.0000174246,0.0000167997
27935,10.1002/anie.201708134,25468,5(c),31721,GeAg x Sb x Se 1+2x_ x=0.05,GeAg0.05Sb0.05Se1.1,600,770.96,0.92676,0.00018048,0.93755,0.02744,0.0012970842,0.0000251125,0.0000267852
27935,10.1002/anie.201708134,25468,5(c),31721,GeAg x Sb x Se 1+2x_ x=0.05,GeAg0.05Sb0.05Se1.1,650,927.71,0.82511,0.00019252,0.83793,0.033482,0.0010779231,0.0000343846,0.0000410352
27935,10.1002/anie.201708134,25468,5(c),31721,GeAg x Sb x Se 1+2x_ x=0.05,GeAg0.05Sb0.05Se1.1,700,1084.5,0.72346,0.00020457,0.73831,0.039523,0.0009220839,0.0000453851,0.0000614716
27935,10.1002/anie.201708134,25468,5(c),31722,GeAg x Sb x Se 1+2x_ x=0.1,GeAg0.1Sb0.1Se1.2,300,30950,1.239,0.00013144,1.4204,0.10253,0.0000323102,0.0005347069,0.0003764481
27935,10.1002/anie.201708134,25468,5(c),31722,GeAg x Sb x Se 1+2x_ x=0.1,GeAg0.1Sb0.1Se1.2,350,30664,1.2301,0.00013944,1.4309,0.14893,0.0000326115,0.0005962159,0.000416672
27935,10.1002/anie.201708134,25468,5(c),31722,GeAg x Sb x Se 1+2x_ x=0.1,GeAg0.1Sb0.1Se1.2,400,30379,1.2211,0.00014744,1.4414,0.19534,0.0000329175,0.0006603955,0.0004581626
27935,10.1002/anie.201708134,25468,5(c),31722,GeAg x Sb x Se 1+2x_ x=0.1,GeAg0.1Sb0.1Se1.2,450,30093,1.2121,0.00015544,1.4519,0.24174,0.0000332303,0.0007270948,0.0005007885
27935,10.1002/anie.201708134,25468,5(c),31722,GeAg x Sb x Se 1+2x_ x=0.1,GeAg0.1Sb0.1Se1.2,500,29808,1.2031,0.00016345,1.4624,0.28815,0.000033548,0.0007963476,0.0005445484
27935,10.1002/anie.201708134,25468,5(c),31722,GeAg x Sb x Se 1+2x_ x=0.1,GeAg0.1Sb0.1Se1.2,550,29522,1.1941,0.00017145,1.473,0.33455,0.000033873,0.0008678022,0.0005891393
27935,10.1002/anie.201708134,25468,5(c),31722,GeAg x Sb x Se 1+2x_ x=0.1,GeAg0.1Sb0.1Se1.2,600,29237,1.1851,0.00017945,1.4835,0.38095,0.0000342032,0.0009414987,0.0006346469
27935,10.1002/anie.201708134,25468,5(c),31722,GeAg x Sb x Se 1+2x_ x=0.1,GeAg0.1Sb0.1Se1.2,650,28951,1.1762,0.00018745,1.494,0.42736,0.0000345411,0.0010172658,0.0006809008
27935,10.1002/anie.201708134,25468,5(c),31722,GeAg x Sb x Se 1+2x_ x=0.1,GeAg0.1Sb0.1Se1.2,700,28666,1.1672,0.00019546,1.5045,0.47376,0.0000348845,0.0010951734,0.0007279318
27935,10.1002/anie.201708134,25468,5(c),31723,GeAg x Sb x Se 1+2x_ x=0.15,GeAg0.15Sb0.15Se1.3,350,19070,1.1054,0.00013816,1.2251,0.087813,0.0000524384,0.0003640117,0.0002971282
27935,10.1002/anie.201708134,25468,5(c),31723,GeAg x Sb x Se 1+2x_ x=0.15,GeAg0.15Sb0.15Se1.3,400,20056,1.0762,0.00015176,1.2203,0.17928,0.0000498604,0.0004619117,0.0003785231
27935,10.1002/anie.201708134,25468,5(c),31723,GeAg x Sb x Se 1+2x_ x=0.15,GeAg0.15Sb0.15Se1.3,450,21043,1.047,0.00016535,1.2155,0.27074,0.0000475217,0.0005753287,0.0004733268
27935,10.1002/anie.201708134,25468,5(c),31723,GeAg x Sb x Se 1+2x_ x=0.15,GeAg0.15Sb0.15Se1.3,500,22030,1.0177,0.00017894,1.2107,0.36221,0.0000453926,0.0007053901,0.00058263
27935,10.1002/anie.201708134,25468,5(c),31723,GeAg x Sb x Se 1+2x_ x=0.15,GeAg0.15Sb0.15Se1.3,550,23016,0.98848,0.00019253,1.206,0.45367,0.000043448,0.0008531525,0.0007074233
27935,10.1002/anie.201708134,25468,5(c),31723,GeAg x Sb x Se 1+2x_ x=0.15,GeAg0.15Sb0.15Se1.3,600,24003,0.95924,0.00020612,1.2012,0.54514,0.0000416615,0.0010197784,0.0008489663
27935,10.1002/anie.201708134,25468,5(c),31723,GeAg x Sb x Se 1+2x_ x=0.15,GeAg0.15Sb0.15Se1.3,650,24989,0.93,0.00021972,1.1964,0.6366,0.0000400176,0.0012063909,0.0010083508
27935,10.1002/anie.201708134,25468,5(c),31723,GeAg x Sb x Se 1+2x_ x=0.15,GeAg0.15Sb0.15Se1.3,700,25976,0.90077,0.00023331,1.1916,0.72807,0.0000384971,0.0014139661,0.0011866113
27935,10.1002/anie.201708134,25468,5(c),31724,GeAg x Sb x Se 1+2x_ x=0.2,GeAg0.2Sb0.2Se1.4,300,10062,0.91642,0.00015255,0.96287,-0.0041941,0.0000993838,0.0002341579,0.0002431874
27935,10.1002/anie.201708134,25468,5(c),31724,GeAg x Sb x Se 1+2x_ x=0.2,GeAg0.2Sb0.2Se1.4,350,11019,0.89804,0.00017099,0.96209,0.1007,0.0000907523,0.0003221689,0.0003348636
27935,10.1002/anie.201708134,25468,5(c),31724,GeAg x Sb x Se 1+2x_ x=0.2,GeAg0.2Sb0.2Se1.4,400,11976,0.87966,0.00018828,0.96131,0.20559,0.0000835003,0.0004245415,0.0004416281
27935,10.1002/anie.201708134,25468,5(c),31724,GeAg x Sb x Se 1+2x_ x=0.2,GeAg0.2Sb0.2Se1.4,450,12933,0.86128,0.00020442,0.96053,0.31048,0.0000773216,0.0005404382,0.0005626458
27935,10.1002/anie.201708134,25468,5(c),31724,GeAg x Sb x Se 1+2x_ x=0.2,GeAg0.2Sb0.2Se1.4,500,13890,0.8429,0.00021943,0.95974,0.41537,0.0000719942,0.0006687969,0.0006968522
27935,10.1002/anie.201708134,25468,5(c),31724,GeAg x Sb x Se 1+2x_ x=0.2,GeAg0.2Sb0.2Se1.4,550,14847,0.82452,0.00023329,0.95896,0.52027,0.0000673537,0.0008080365,0.0008426175
27935,10.1002/anie.201708134,25468,5(c),31724,GeAg x Sb x Se 1+2x_ x=0.2,GeAg0.2Sb0.2Se1.4,600,15804,0.80614,0.00024601,0.95818,0.62516,0.0000632751,0.0009564726,0.0009982181
27935,10.1002/anie.201708134,25468,5(c),31724,GeAg x Sb x Se 1+2x_ x=0.2,GeAg0.2Sb0.2Se1.4,650,16761,0.78776,0.00025758,0.9574,0.73005,0.0000596623,0.0011120497,0.0011615309
27935,10.1002/anie.201708134,25468,5(c),31724,GeAg x Sb x Se 1+2x_ x=0.2,GeAg0.2Sb0.2Se1.4,700,17718,0.76937,0.00026801,0.95661,0.83494,0.0000564398,0.0012726726,0.0013303986
27935,10.1002/anie.201708134,25468,5(c),31725,GeAg x Sb x Se 1+2x_ x=0.3,GeAg0.3Sb0.3Se1.6,350,899.64,0.86373,0.00023195,0.86626,0.010477,0.0011115557,0.0000484014,0.0000558739
27935,10.1002/anie.201708134,25468,5(c),31725,GeAg x Sb x Se 1+2x_ x=0.3,GeAg0.3Sb0.3Se1.6,400,2224.8,0.85774,0.00024378,0.8712,0.089966,0.0004494786,0.0001322169,0.0001517642
27935,10.1002/anie.201708134,25468,5(c),31725,GeAg x Sb x Se 1+2x_ x=0.3,GeAg0.3Sb0.3Se1.6,450,3550,0.85175,0.00025561,0.87613,0.16945,0.0002816901,0.0002319445,0.0002647375
27935,10.1002/anie.201708134,25468,5(c),31725,GeAg x Sb x Se 1+2x_ x=0.3,GeAg0.3Sb0.3Se1.6,500,4875.2,0.84576,0.00026743,0.88107,0.24894,0.0002051198,0.0003486685,0.000395733
