sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21610,6.73E19, (Bi0.25Sb0.75)2Te3,350,188320,0.00015827,1.9822,0.78573,0.0000053101,0.0047173017,0.0023798313
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21610,6.73E19, (Bi0.25Sb0.75)2Te3,400,156090,0.00016915,2.0898,0.79318,0.0000064066,0.0044660038,0.0021370484
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21610,6.73E19, (Bi0.25Sb0.75)2Te3,450,123850,0.00018002,2.1974,0.80063,0.0000080743,0.0040136318,0.0018265367
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21610,6.73E19, (Bi0.25Sb0.75)2Te3,500,91611,,2.3049,0.80808,0.0000109157,,
18503,10.1016/j.mattod.2017.02.007,17951,5(d),21610,6.73E19, (Bi0.25Sb0.75)2Te3,300,220560,,,,0.0000045339,,
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21611,4.57E19,(Bi0.25Sb0.75)2Te3,300,,,,0.81333,,,
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21611,4.57E19,(Bi0.25Sb0.75)2Te3,350,105350,0.00019018,1.895,0.68104,0.0000094922,0.0038103444,0.0020107358
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21611,4.57E19,(Bi0.25Sb0.75)2Te3,400,87540,0.0001819,2.2135,0.54875,0.0000114233,0.0028964894,0.0013085563
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21611,4.57E19,(Bi0.25Sb0.75)2Te3,450,69730,0.00017362,2.5319,0.41646,0.000014341,0.0021019345,0.0008301807
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21611,4.57E19,(Bi0.25Sb0.75)2Te3,500,51920,0.00016534,2.8504,0.28417,0.0000192604,0.0014193534,0.0004979489
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21612,3.61E19,(Bi0.25Sb0.75)2Te3,350,127060,0.0001759,1.7903,0.69163,0.0000078703,0.0039313393,0.0021959109
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21612,3.61E19,(Bi0.25Sb0.75)2Te3,400,104130,0.00017861,1.9545,0.61703,0.0000096034,0.0033219065,0.0016996196
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21612,3.61E19,(Bi0.25Sb0.75)2Te3,450,81200,0.00018132,2.1187,0.54243,0.0000123153,0.0026696077,0.0012600216
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21612,3.61E19,(Bi0.25Sb0.75)2Te3,500,58267,0.00018404,2.2829,0.46783,0.0000171624,0.0019735453,0.0008644905
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21613,3.57E19,(Bi0.25Sb0.75)2Te3,350,180860,0.00017912,,0.97911,0.0000055291,0.0058027076,
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21613,3.57E19,(Bi0.25Sb0.75)2Te3,400,148190,0.00018083,,0.86118,0.0000067481,0.0048457373,
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21613,3.57E19,(Bi0.25Sb0.75)2Te3,450,115530,0.00018253,,0.74326,0.0000086558,0.0038491362,
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21613,3.57E19,(Bi0.25Sb0.75)2Te3,500,82862,0.00018423,,0.62533,0.0000120683,0.0028123937,
18503,10.1016/j.mattod.2017.02.007,17951,5(d),21613,3.57E19,(Bi0.25Sb0.75)2Te3,300,213520,,,,0.0000046834,,
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21614,3.29E19,(Bi0.25Sb0.75)2Te3,350,186170,0.00016893,1.7551,1.0133,0.0000053714,0.0053127975,0.0030270626
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21614,3.29E19,(Bi0.25Sb0.75)2Te3,400,153320,0.00017077,1.8706,0.90828,0.0000065223,0.0044711781,0.0023902374
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21614,3.29E19,(Bi0.25Sb0.75)2Te3,450,120470,0.0001726,1.9861,0.80324,0.0000083008,0.0035888929,0.0018070051
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21614,3.29E19,(Bi0.25Sb0.75)2Te3,500,87613,0.00017444,2.1016,0.6982,0.0000114138,0.0026660035,0.0012685589
18503,10.1016/j.mattod.2017.02.007,17951,5(d),21614,3.29E19,(Bi0.25Sb0.75)2Te3,300,219030,,,,0.0000045656,,
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21615,2.64E19,(Bi0.25Sb0.75)2Te3,350,143830,0.0001935,1.7873,1.0329,0.0000069527,0.0053853188,0.0030131029
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21615,2.64E19,(Bi0.25Sb0.75)2Te3,400,117450,0.00018901,1.9792,0.85212,0.0000085143,0.0041958754,0.0021199856
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21615,2.64E19,(Bi0.25Sb0.75)2Te3,450,91069,0.00018453,2.1711,0.67129,0.0000109807,0.0031010197,0.0014283173
18503,10.1016/j.mattod.2017.02.007,17949,5(b),21615,2.64E19,(Bi0.25Sb0.75)2Te3,500,64690,0.00018004,2.363,0.49047,0.0000154583,0.0020968876,0.0008873837
18503,10.1016/j.mattod.2017.02.007,17952,5(e),21615,2.64E19,(Bi0.25Sb0.75)2Te3,300,,,1.5955,,,,
