sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Power factor,Thermal conductivity,ZT,Lattice thermal conductivity,Electrical resistivity,Figure of merit Z
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,BiCuSeO,350,204.37,0.00036436,-0.000020363,0.48744,0.21315,0.47553,0.0048930861,-0.0000417754
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,BiCuSeO,400,321.27,0.00036998,-3.87e-8,0.47222,0.23749,0.46059,0.0031126467,-8.19e-8
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,BiCuSeO,450,438.17,0.00037559,0.000020285,0.45701,0.26183,0.44565,0.0022822192,0.0000443863
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,BiCuSeO,500,555.07,0.0003812,0.000040609,0.44179,0.28616,0.43072,0.0018015746,0.0000919192
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,BiCuSeO,550,671.97,0.00038681,0.000060933,0.42657,0.3105,0.41578,0.0014881617,0.0001428441
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,BiCuSeO,600,788.87,0.00039242,0.000081257,0.41135,0.33484,0.40085,0.001267636,0.0001975374
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,BiCuSeO,650,905.77,0.00039803,0.00010158,0.39614,0.35918,0.38591,0.001104033,0.0002564245
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,BiCuSeO,700,1022.7,0.00040364,0.00012191,0.38092,0.38351,0.37098,0.0009778039,0.000320041
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,BiCuSeO,750,1139.6,0.00040926,0.00014223,0.3657,0.40785,0.35604,0.0008775009,0.0003889253
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,BiCuSeO,800,1256.5,0.00041487,0.00016255,0.35048,0.43219,0.34111,0.0007958615,0.0004637925
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,BiCuSeO,850,1373.4,0.00042048,0.00018288,0.33527,0.45653,0.32617,0.00072812,0.0005454708
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,BiCuSeO,900,1490.3,0.00042609,0.0002032,0.32005,0.48086,0.31123,0.0006710058,0.0006349008
7964,10.1039/c2ee22622g,17501,3a,21016,4E19,Bi0.975Ba0.025CuSeO,350,9892.2,0.00023213,0.00053151,0.48536,0.25969,0.42757,0.0001010897,0.0010950841
7964,10.1039/c2ee22622g,17501,3a,21016,4E19,Bi0.975Ba0.025CuSeO,400,9399.5,0.00023383,0.00050925,0.47374,0.29397,0.41457,0.0001063886,0.0010749567
7964,10.1039/c2ee22622g,17501,3a,21016,4E19,Bi0.975Ba0.025CuSeO,450,8906.8,0.00023553,0.00048699,0.46213,0.32825,0.40156,0.0001122738,0.0010537944
7964,10.1039/c2ee22622g,17501,3a,21016,4E19,Bi0.975Ba0.025CuSeO,500,8414.1,0.00023722,0.00046473,0.45052,0.36253,0.38855,0.0001188481,0.0010315413
7964,10.1039/c2ee22622g,17501,3a,21016,4E19,Bi0.975Ba0.025CuSeO,550,7921.4,0.00023892,0.00044246,0.4389,0.39681,0.37555,0.0001262403,0.0010081112
7964,10.1039/c2ee22622g,17501,3a,21016,4E19,Bi0.975Ba0.025CuSeO,600,7428.7,0.00024062,0.0004202,0.42729,0.43109,0.36254,0.0001346131,0.0009834071
