sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
6657,10.1063/1.1433911,3710,1(a),4940,Eu0.2Co4Sb12,Eu0.2Co4Sb12,50,0.0000041673,-0.000048902,3.9494,0.007265,239963.5255441173,0.0005738501,0.0001453006
6657,10.1063/1.1433911,3710,1(a),4940,Eu0.2Co4Sb12,Eu0.2Co4Sb12,100,0.0000053086,-0.00007552,4.3829,0.024512,188373.5824887918,0.0010743455,0.0002451221
6657,10.1063/1.1433911,3710,1(a),4940,Eu0.2Co4Sb12,Eu0.2Co4Sb12,150,0.0000066296,-0.00010214,4.8165,0.049008,150838.6629660915,0.0015736364,0.0003267178
6657,10.1063/1.1433911,3710,1(a),4940,Eu0.2Co4Sb12,Eu0.2Co4Sb12,200,0.0000080046,-0.00012876,5.25,0.078903,124928.166304375,0.0020712013,0.0003945145
6657,10.1063/1.1433911,3710,1(a),4940,Eu0.2Co4Sb12,Eu0.2Co4Sb12,250,0.0000093081,-0.00015537,5.6836,0.11407,107433.3107723381,0.0025934226,0.0004562993
6657,10.1063/1.1433911,3710,1(a),4940,Eu0.2Co4Sb12,Eu0.2Co4Sb12,300,0.000010414,-0.00018199,6.1172,0.15597,96024.582293067,0.0031803687,0.000519906
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,50,0.0000014774,-0.000027106,4.8301,0.0051481,676864.7624204684,0.0004973164,0.0001029619
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,100,0.0000019016,-0.000038606,4.798,0.016335,525872.9490954985,0.0007837733,0.0001633542
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,150,0.000002308,-0.000050105,4.7659,0.034235,433275.5632582322,0.0010877431,0.0002282346
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,200,0.0000026967,-0.000061605,4.7339,0.059458,370823.599213854,0.0014073408,0.0002972899
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,250,0.0000030676,-0.000073104,4.7018,0.092632,325987.7428608684,0.001742142,0.0003705266
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,300,0.0000034207,-0.000084604,4.6697,0.13443,292337.8255912532,0.0020925065,0.000448103
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,350,0.0000037561,-0.000096103,,,266233.5933548095,0.0024588767,
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,400,0.0000040737,-0.0001076,,,245477.084714142,0.0028420748,
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,450,0.0000043735,-0.0001191,,,228649.8227963873,0.0032433543,
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,500,0.0000046556,-0.0001306,,,214795.085488444,0.0036636223,
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,550,0.0000049199,-0.0001421,,,203256.1637431655,0.0041042318,
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,600,0.0000051665,-0.0001536,,,193554.6307945418,0.0045665267,
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,650,0.0000053953,-0.0001651,,,185346.5052916427,0.0050521769,
6657,10.1063/1.1433911,3710,1(a),4941,Eu0.43Co4Sb11.59Ge0.31,Eu0.43Co4Sb11.59Ge0.31,700,0.0000056063,-0.0001766,,,178370.7614647807,0.0055629488,
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,50,0.0000027761,-0.000039956,3.9799,-0.071167,360217.5714131335,0.0005750808,0.0001444963
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,100,0.0000031733,-0.000053542,3.8899,0.0094277,315129.3606025273,0.0009033958,0.0002322414
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,150,0.0000035705,-0.000067128,3.7998,0.090022,280072.8189329226,0.0012620553,0.0003321373
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,200,0.0000039678,-0.000080715,3.7098,0.17062,252028.832098392,0.0016419455,0.0004425968
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,250,0.000004365,-0.000094301,3.6198,0.25121,229095.0744558992,0.0020372689,0.0005628125
