sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,50,-7.56e-8,0.018001,,-0.00025637,-0.000012675,,,-13225064.141561085,
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,100,2.965e-7,0.015521,,0.000039305,-0.0000012425,,,3372908.796546141,
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,150,6.686e-7,0.013042,,0.00033498,0.00001019,,,1495707.319991624,
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,200,0.0000010407,0.010563,,0.00063066,0.000021622,,,960891.7075045642,
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,250,0.0000014128,0.0080834,,0.00092634,0.000033054,,,707814.2695356738,
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,300,0.0000017849,,,0.001222,0.000044486,,,560255.4764972827,
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,350,0.000002157,,1.5854,0.0015177,0.000055918,6.6543,-0.037242,463606.8613815485,0.0002280781
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,400,0.0000025291,,1.5205,0.0018134,0.000067351,6.2254,0.080287,395397.5722589063,0.0002912905
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,450,0.0000029012,,1.4556,0.0021091,0.000078783,5.7965,0.19782,344684.9579484352,0.0003638575
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,500,0.0000032733,,1.3908,0.0024047,0.000090215,5.3676,0.31534,305502.0926893349,0.0004480028
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,550,0.0000036454,,1.3259,0.0027004,0.00010165,4.9387,0.43287,274318.3189773413,0.0005467836
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,600,0.0000040175,,1.261,0.0029961,0.00011308,4.5098,0.5504,248911.0143123833,0.0006643532
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,650,0.0000043896,,1.1961,0.0032918,0.00012451,4.081,0.66793,227811.190085657,0.000806616
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,700,0.0000047617,,1.1312,0.0035874,0.00013594,3.6521,0.78546,210009.0303883067,0.0009822842
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,750,0.0000051338,,1.0664,0.0038831,0.00014738,3.2232,0.90299,194787.4868518446,0.0012047344
4605,10.1039/c4cp01294a,25686,2(a),32003,(In2Te3)x(GeTe)3-3x_ x=0.00,(GeTe)3,800,0.0000055059,,1.0015,0.0041788,0.00015881,2.7943,1.0205,181623.3494978114,0.0014954729
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,50,0.0000021139,0.0037083,,0.000022532,0.000013084,,,473059.2743270731,
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,100,0.000002477,0.0034798,,0.00030913,0.000024593,,,403714.1703673798,
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,150,0.0000028401,0.0032513,,0.00059574,0.000036102,,,352100.2781592197,
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,200,0.0000032032,0.0030228,,0.00088234,0.000047611,,,312187.8121878122,
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,250,0.0000035663,0.0027943,,0.0011689,0.00005912,,,280402.6582171999,
