sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Power factor,Thermal conductivity,ZT,Lattice thermal conductivity,Electrical resistivity,Figure of merit Z
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,350,31278,0.00019638,1.2282,0.83954,0.51332,0.61551,0.0000319714,1.4629439931
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,400,29893,0.00020598,1.2456,0.82634,0.61665,0.58772,0.0000334526,1.5073698478
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,450,28507,0.00021409,1.263,0.81314,0.71998,0.55992,0.0000350791,1.5532380648
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,500,27122,0.00022065,1.2804,0.79994,0.8233,0.53213,0.0000368704,1.6006200465
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,550,25737,0.00022596,1.2978,0.78674,0.92663,0.50434,0.0000388546,1.6495919872
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,600,24351,0.00023059,1.3152,0.77354,1.03,0.47655,0.0000410661,1.700235282
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,650,22966,0.00023545,1.3326,0.76034,1.1333,0.44876,0.0000435426,1.7526369782
1653,10.1016/j.jallcom.2010.03.170,17340,3,20829,x=0.81,Ag0.81Sb1.19Te2.19,350,24635,0.00023995,1.4191,0.86285,0.58587,0.68727,0.0000405927,1.6446659327
1653,10.1016/j.jallcom.2010.03.170,17340,3,20829,x=0.81,Ag0.81Sb1.19Te2.19,400,23764,0.00024232,1.3959,0.84279,0.67437,0.65304,0.0000420805,1.6562844837
1653,10.1016/j.jallcom.2010.03.170,17340,3,20829,x=0.81,Ag0.81Sb1.19Te2.19,450,22893,0.00024469,1.3726,0.82273,0.76288,0.61882,0.0000436815,1.6683480607
