sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Power factor,Thermal conductivity,ZT,Lattice thermal conductivity,Electrical resistivity,Figure of merit Z
2779,10.1039/c3ta14547f,14313,3a,16807,x=0,AgSbTe2,350,30454,0.00018783,0.0010548,0.7941,0.49757,0.6114,0.0000328364,0.0013282962
2779,10.1039/c3ta14547f,14313,3a,16807,x=0,AgSbTe2,400,28418,0.00019539,0.0010513,0.77686,0.57794,0.58911,0.000035189,0.0013532683
2779,10.1039/c3ta14547f,14313,3a,16807,x=0,AgSbTe2,450,26382,0.00020295,0.0010478,0.75962,0.65831,0.56681,0.0000379046,0.0013793739
2779,10.1039/c3ta14547f,14313,3a,16807,x=0,AgSbTe2,500,24347,0.00021051,0.0010443,0.74238,0.73867,0.54451,0.0000410728,0.001406692
2779,10.1039/c3ta14547f,14313,3a,16807,x=0,AgSbTe2,550,22311,0.00021807,0.0010408,0.72514,0.81904,0.52221,0.0000448209,0.001435309
2779,10.1039/c3ta14547f,14313,3a,16807,x=0,AgSbTe2,600,20275,0.00022564,0.0010374,0.7079,0.89941,0.49992,0.0000493218,0.0014654612
2779,10.1039/c3ta14547f,14313,3a,16807,x=0,AgSbTe2,650,18240,0.0002332,0.0010339,0.69066,0.97978,0.47762,0.0000548246,0.0014969739
2779,10.1039/c3ta14547f,14313,3a,16808,x=0.03,Ag(Sb0.97In0.03)Te2,350,24155,0.00021051,0.0010917,0.74857,0.51581,0.60244,0.0000413993,0.0014583806
2779,10.1039/c3ta14547f,14313,3a,16808,x=0.03,Ag(Sb0.97In0.03)Te2,400,23131,0.00021668,0.0011036,0.7315,0.62171,0.5754,0.000043232,0.0015086808
2779,10.1039/c3ta14547f,14313,3a,16808,x=0.03,Ag(Sb0.97In0.03)Te2,450,22106,0.00022285,0.0011155,0.71443,0.72761,0.54836,0.0000452366,0.0015613846
2779,10.1039/c3ta14547f,14313,3a,16808,x=0.03,Ag(Sb0.97In0.03)Te2,500,21082,0.00022902,0.0011275,0.69736,0.83351,0.52132,0.0000474338,0.001616812
2779,10.1039/c3ta14547f,14313,3a,16808,x=0.03,Ag(Sb0.97In0.03)Te2,550,20057,0.00023519,0.0011394,0.6803,0.93942,0.49428,0.0000498579,0.0016748493
2779,10.1039/c3ta14547f,14313,3a,16808,x=0.03,Ag(Sb0.97In0.03)Te2,600,19033,0.00024136,0.0011513,0.66323,1.0453,0.46724,0.0000525403,0.0017358986
2779,10.1039/c3ta14547f,14313,3a,16808,x=0.03,Ag(Sb0.97In0.03)Te2,650,18008,0.00024753,0.0011633,0.64616,1.1512,0.4402,0.0000555309,0.0018003281
2779,10.1039/c3ta14547f,14313,3a,16809,x=0.05,Ag(Sb0.95In0.05)Te2,350,21041,0.00023625,0.0011672,0.70552,0.60666,0.57987,0.0000475263,0.0016543826
2779,10.1039/c3ta14547f,14313,3a,16809,x=0.05,Ag(Sb0.95In0.05)Te2,400,20411,0.00024071,0.0011743,0.68957,0.71645,0.55202,0.0000489932,0.0017029453
2779,10.1039/c3ta14547f,14313,3a,16809,x=0.05,Ag(Sb0.95In0.05)Te2,450,19782,0.00024516,0.0011813,0.67362,0.82625,0.52418,0.000050551,0.0017536593
2779,10.1039/c3ta14547f,14313,3a,16809,x=0.05,Ag(Sb0.95In0.05)Te2,500,19152,0.00024962,0.0011884,0.65768,0.93604,0.49634,0.0000522139,0.0018069578
2779,10.1039/c3ta14547f,14313,3a,16809,x=0.05,Ag(Sb0.95In0.05)Te2,550,18522,0.00025407,0.0011954,0.64173,1.0458,0.4685,0.0000539898,0.0018627772
2779,10.1039/c3ta14547f,14313,3a,16809,x=0.05,Ag(Sb0.95In0.05)Te2,600,17893,0.00025852,0.0012025,0.62578,1.1556,0.44065,0.0000558878,0.0019216018
2779,10.1039/c3ta14547f,14313,3a,16809,x=0.05,Ag(Sb0.95In0.05)Te2,650,17263,0.00026298,0.0012095,0.60983,1.2654,0.41281,0.0000579274,0.0019833396
2779,10.1039/c3ta14547f,14313,3a,16810,x=0.07,Ag(Sb0.93In0.07)Te2,350,19495,0.0002548,0.001253,0.68178,0.67914,0.56427,0.0000512952,0.0018378363
2779,10.1039/c3ta14547f,14313,3a,16810,x=0.07,Ag(Sb0.93In0.07)Te2,400,19042,0.00025842,0.0012563,0.66638,0.79493,0.53674,0.0000525155,0.0018852607
2779,10.1039/c3ta14547f,14313,3a,16810,x=0.07,Ag(Sb0.93In0.07)Te2,450,18589,0.00026204,0.0012595,0.65098,0.91072,0.5092,0.0000537953,0.0019347753
2779,10.1039/c3ta14547f,14313,3a,16810,x=0.07,Ag(Sb0.93In0.07)Te2,500,18137,0.00026565,0.0012627,0.63557,1.0265,0.48166,0.0000551359,0.0019867206
2779,10.1039/c3ta14547f,14313,3a,16810,x=0.07,Ag(Sb0.93In0.07)Te2,550,17684,0.00026927,0.001266,0.62017,1.1423,0.45412,0.0000565483,0.0020413758
2779,10.1039/c3ta14547f,14313,3a,16810,x=0.07,Ag(Sb0.93In0.07)Te2,600,17232,0.00027289,0.0012692,0.60477,1.2581,0.42659,0.0000580316,0.0020986491
2779,10.1039/c3ta14547f,14313,3a,16810,x=0.07,Ag(Sb0.93In0.07)Te2,650,16779,0.0002765,0.0012725,0.58936,1.3739,0.39905,0.0000595983,0.0021591218
