sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,300,,,,,2.64,,7.9051,,,,
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,350,,-1.241e-7,6.03e-8,0.03408,2.4519,0.000010538,7.1412,0.010345,-8057368.463459834,-0.0008947663,-0.0001252963
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,400,,0.0000012691,6.55e-8,0.031407,2.299,0.000013868,6.5273,0.010405,787959.9716334409,0.0001515416,0.0000232166
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,450,,0.0000026623,7.07e-8,0.028734,2.1708,0.000018066,5.9638,0.014405,375615.0696765954,0.0001225934,0.0000205563
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,500,,0.0000040555,7.58e-8,0.02606,2.0591,0.000023543,5.3975,0.030241,246578.7202564419,0.0001366719,0.0000253213
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,550,,0.0000054487,8.1e-8,0.023387,1.958,0.00003145,4.8124,0.062189,183530.0163341715,0.00018153,0.0000377213
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,600,,0.0000068418,8.62e-8,0.020714,1.8636,0.000043189,4.2207,0.11168,146160.3671548423,0.0002726314,0.0000645939
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,650,,0.000008235,9.14e-8,0.018041,1.7747,0.000059914,3.6534,0.17806,121432.9083181542,0.0004359062,0.0001193152
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,700,,0.0000096282,9.66e-8,0.015368,1.6925,0.000082044,3.1508,0.25941,103861.5732951123,0.0006991149,0.0002218849
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,750,,0.000011021,1.018e-7,0.012694,1.6206,0.00010877,2.7539,0.35326,90735.8678885764,0.0010734881,0.0003898065
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,800,,0.000012415,1.07e-7,0.010021,1.5652,0.00013755,2.4946,0.45743,80547.7245267821,0.0015239631,0.0006109048
5919,10.1002/aelm.201600019,2136,6(b),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,850,,,1.122e-7,,,0.00016364,,,,,
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,300,,,,,1.8158,,7.7308,,,,
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,350,,1.97e-7,6.27e-8,0.029003,1.7253,0.000013032,7.2829,0.01028,5075369.233111708,0.0008619653,0.0001183547
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,400,,0.0000014937,6.67e-8,0.026584,1.6341,0.000018468,6.7625,0.0099975,669478.476266988,0.000228337,0.0000337652
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,450,,0.0000027903,7.06e-8,0.024165,1.5362,0.000026008,6.1722,0.014638,358384.4031107766,0.000242417,0.0000392756
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,500,,0.0000040869,7.45e-8,0.021746,1.4327,0.000035244,5.5373,0.028991,244684.2349947393,0.000303932,0.0000548881
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,550,,0.0000053836,7.85e-8,0.019327,1.3296,0.000046237,4.8945,0.056327,185749.3127275429,0.0003971061,0.0000811331
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,600,,0.0000066802,8.24e-8,0.016907,1.2349,0.000059324,4.2819,0.099388,149696.1168827281,0.0005268311,0.0001230368
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,650,,0.0000079768,8.63e-8,0.014488,1.1561,0.000074938,3.7275,0.16137,125363.5543074917,0.0007040046,0.0001888678
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,700,,0.0000092735,9.03e-8,0.012069,1.0976,0.000093406,3.239,0.24692,107834.1510756457,0.0009408186,0.0002904657
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,750,,0.00001057,9.42e-8,0.0096499,1.0581,0.00011477,2.7925,0.36311,94607.3793755913,0.0012461829,0.0004462607
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,800,,0.000011867,9.81e-8,0.0072307,1.028,0.00013858,2.3222,0.52043,84267.2958624758,0.0016183042,0.0006968841
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,850,,,,,,,1.7091,,,,
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,300,,,,0.029766,1.2057,,5.9339,,,,
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,350,,-1.43e-8,5.31e-8,0.027545,1.0037,0.000018766,5.5262,0.0055712,-69993700.56694897,-0.0246491745,-0.0044604203
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,400,,0.0000011664,5.6e-8,0.025324,0.91458,0.000022843,5.0851,0.0083264,857338.8203017833,0.0004473617,0.000087975
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,450,,0.000002347,5.89e-8,0.023104,0.87667,0.000028265,4.6257,0.015652,426075.8414997869,0.0003403963,0.0000735881
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,500,,0.0000035277,6.18e-8,0.020883,0.85168,0.000035171,4.164,0.029673,283470.8166794229,0.0003506532,0.0000842107
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,550,,0.0000047083,6.47e-8,0.018662,0.82007,0.000043884,3.7143,0.054371,212390.8841832508,0.0004090235,0.0001101213
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,600,,0.000005889,6.76e-8,0.016441,0.77642,0.000054836,3.2869,0.095686,169808.1168279844,0.0005106108,0.0001553472
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,650,,0.0000070696,7.05e-8,0.01422,0.7248,0.000068493,2.8863,0.16161,141450.7185696503,0.0006635865,0.000229909
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,700,,0.0000082503,7.34e-8,0.011999,0.67422,0.000085279,2.5089,0.26226,121207.7136588973,0.000881484,0.0003513428
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,750,,0.0000094309,7.63e-8,0.0097783,0.63393,0.0001055,2.1405,0.41004,106034.4187723335,0.0011801896,0.0005513616
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,800,,0.000010612,7.92e-8,0.0075574,0.6089,0.00012926,1.7544,0.61963,94232.9438371655,0.0015744579,0.0008974338
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,850,,,,,,,1.3093,,,,
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,300,,,,,,,4.9125,,,,
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,350,,,3.93e-8,0.015423,1.0184,0.000017144,4.6822,0.018293,,,
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,400,,,3.91e-8,0.014174,0.91244,0.000019589,4.3337,0.010662,,,
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,450,,,3.88e-8,0.012925,0.86079,0.000023203,3.9535,0.010787,,,
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,500,,,3.86e-8,0.011676,0.82939,0.00002876,3.5842,0.028537,,,
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,550,,,3.83e-8,0.010428,0.80098,0.000036592,3.2368,0.06127,,,
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,600,,,3.81e-8,0.0091788,0.76971,0.000046786,2.9026,0.10254,,,
