sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Seebeck coefficient,ZT,total thermal conductivity,Electrical conductivity,Power factor
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,350,,5.246e-7,3.52e-8,0.0098742,1.7971,0.000010489,-0.096534,,1906395.958440568,0.00020974
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,400,,0.0000018768,3.45e-8,0.0090455,1.7123,0.000024459,-0.019881,,532821.8243819267,0.0003187568
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,450,,0.000003229,3.39e-8,0.0082168,1.6275,0.000038429,0.056771,,309693.4035305048,0.0004573515
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,500,,0.0000045812,3.33e-8,0.0073881,1.5426,0.000052398,0.13342,,218283.4191914782,0.0005993081
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,550,,0.0000059335,3.26e-8,0.0065595,1.4578,0.000066368,0.21008,,168534.5917249515,0.0007423462
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,600,,0.0000072857,3.2e-8,0.0057308,1.373,0.000080338,0.28673,,137255.1710885708,0.0008858715
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,650,,0.0000086379,3.14e-8,0.0049021,1.2882,0.000094308,0.36338,,115768.8790099445,0.0010296483
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,700,,0.0000099901,3.08e-8,0.0040734,1.2033,0.00010828,0.44003,,100099.0981071261,0.0011736177
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,750,,0.000011342,3.01e-8,0.0032447,1.1185,0.00012225,0.51668,,88167.8716275789,0.0013176744
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,800,,0.000012695,2.95e-8,0.002416,1.0337,0.00013622,0.59334,,78771.1697518708,0.001461669
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,850,,0.000014047,2.89e-8,0.0015873,0.94885,0.00015019,0.66999,,71189.5778458034,0.0016058259
27946,10.1021/acsenergylett.6b00671,25745,Figure 4C (II),31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,300,,,,,1.882,,,,,
27946,10.1021/acsenergylett.6b00671,25745,Figure 4C (II),31745,Sn0.91Mg0.12Te(Cu2Te)x_ x=0_ nH = 2.5e20 cm^-3),undefined,900,,,,,0.86402,,,,,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,350,,8.639e-7,2.22e-8,0.0099642,1.7267,0.000019579,-0.10676,,1157581.58056189,0.0004437441
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,400,,0.0000022407,2.92e-8,0.0090902,1.6356,0.000031949,-0.027279,,446289.1060829205,0.0004555445
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,450,,0.0000036175,3.46e-8,0.0082162,1.5444,0.000044319,0.052205,,276434.00138217,0.0005429644
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,500,,0.0000049943,3.83e-8,0.0073421,1.4533,0.000056689,0.13169,,200228.260216647,0.0006434621
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,550,,0.0000063711,4.02e-8,0.0064681,1.3621,0.00006906,0.21117,,156958.766931927,0.0007485809
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,600,,0.000007748,4.05e-8,0.0055941,1.271,0.00008143,0.29066,,129065.5653071761,0.0008558137
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,650,,0.0000091248,3.91e-8,0.0047201,1.1798,0.0000938,0.37014,,109591.4431001227,0.0009642337
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,700,,0.000010502,3.6e-8,0.0038461,1.0886,0.00010617,0.44962,,95219.9581032184,0.0010733259
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,750,,0.000011878,3.12e-8,0.002972,0.99748,0.00011854,0.52911,,84189.2574507493,0.0011830048
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,800,,0.000013255,2.47e-8,0.002098,0.90632,0.00013091,0.60859,,75443.2289701999,0.0012929029
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,850,,0.000014632,1.64e-8,0.001224,0.81517,0.00014328,0.68807,,68343.3570256971,0.0014030316
