sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
27929,10.1039/c7ee01871a,27369,1(b),34425,PbTe,PbTe,300,19860,0.0019174,0.00043562,1.7226,0.39197,0.0000503525,0.0011130849
27929,10.1039/c7ee01871a,27369,1(b),34425,PbTe,PbTe,350,17575,0.0016767,0.00036948,1.6575,0.35114,0.000056899,0.0010115837
27929,10.1039/c7ee01871a,27369,1(b),34425,PbTe,PbTe,400,15290,0.0014359,0.00030334,1.5923,0.31031,0.0000654022,0.0009017773
27929,10.1039/c7ee01871a,27369,1(b),34425,PbTe,PbTe,450,13005,0.0011952,0.0002372,1.5272,0.26948,0.0000768935,0.0007826087
27929,10.1039/c7ee01871a,27369,1(b),34425,PbTe,PbTe,500,10721,0.00095441,0.00017107,1.462,0.22865,0.0000932749,0.0006528112
27929,10.1039/c7ee01871a,27369,1(b),34425,PbTe,PbTe,550,8435.8,0.00071365,0.00010493,1.3969,0.18782,0.0001185424,0.0005108812
27929,10.1039/c7ee01871a,27369,1(b),34425,PbTe,PbTe,600,6151.1,0.00047289,0.000038791,1.3317,0.14699,0.0001625725,0.0003551025
27929,10.1039/c7ee01871a,27369,1(b),34425,PbTe,PbTe,650,3866.3,0.00023213,-0.000027347,1.2666,0.10616,0.0002586452,0.0001832702
27929,10.1039/c7ee01871a,27369,1(b),34425,PbTe,PbTe,700,1581.5,-0.0000086275,-0.000093485,1.2014,0.065333,0.0006323111,-0.0000071812
27929,10.1039/c7ee01871a,27369,1(b),34425,PbTe,PbTe,750,-703.27,-0.00024939,-0.00015962,1.1363,0.024503,-0.001421929,-0.0002194755
27929,10.1039/c7ee01871a,27369,1(b),34426,PbTe0.998I0.002,PbTe0.998I0.002,300,-968.49,-0.00018779,-0.000087007,1.7207,-0.1433,-0.0010325352,-0.0001091358
27929,10.1039/c7ee01871a,27369,1(b),34426,PbTe0.998I0.002,PbTe0.998I0.002,350,124.85,-0.000059963,-0.00011512,1.6274,-0.057114,0.0080096115,-0.0000368459
