sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
10094,10.1063/1.2163979,1401,2(a),2235,4,Ba8Ga16Ge30,300,,-0.000061285,,,,,
10094,10.1063/1.2163979,1401,2(a),2235,4,Ba8Ga16Ge30,350,,-0.000088673,,,,,
10094,10.1063/1.2163979,1401,2(a),2235,4,Ba8Ga16Ge30,400,,-0.00010147,,,,,
10094,10.1063/1.2163979,1401,2(a),2235,4,Ba8Ga16Ge30,450,,-0.00011777,,,,,
10094,10.1063/1.2163979,1401,2(a),2235,4,Ba8Ga16Ge30,500,,-0.00013533,,,,,
10094,10.1063/1.2163979,1401,2(a),2235,4,Ba8Ga16Ge30,550,,-0.0001489,,,,,
10094,10.1063/1.2163979,1401,2(a),2235,4,Ba8Ga16Ge30,600,,-0.00016774,,,,,
10094,10.1063/1.2163979,1401,2(a),2236,5,Ba8Ga16Ge30,400,,-0.00010869,,,,,
10094,10.1063/1.2163979,1401,2(a),2236,5,Ba8Ga16Ge30,450,,-0.0001271,,,,,
10094,10.1063/1.2163979,1401,2(a),2236,5,Ba8Ga16Ge30,500,,-0.00013876,,,,,
10094,10.1063/1.2163979,1401,2(a),2236,5,Ba8Ga16Ge30,550,,-0.00014906,,,,,
10094,10.1063/1.2163979,1401,2(a),2236,5,Ba8Ga16Ge30,600,,-0.00016154,,,,,
10094,10.1063/1.2163979,1401,2(a),2236,5,Ba8Ga16Ge30,650,,-0.00017802,,,,,
10094,10.1063/1.2163979,1401,2(a),2236,5,Ba8Ga16Ge30,700,,-0.00019861,,,,,
10094,10.1063/1.2163979,1401,2(a),2236,5,Ba8Ga16Ge30,750,,-0.00022181,,,,,
10094,10.1063/1.2163979,1401,2(a),2236,5,Ba8Ga16Ge30,800,,-0.00024459,,,,,
10094,10.1063/1.2163979,1401,2(a),2236,5,Ba8Ga16Ge30,850,,-0.0002624,,,,,
10094,10.1063/1.2163979,1401,2(a),2236,5,Ba8Ga16Ge30,900,,-0.00026929,,,,,
10094,10.1063/1.2163979,1401,2(a),2236,5,Ba8Ga16Ge30,950,,-0.00025798,,,,,
10094,10.1063/1.2163979,1401,2(a),2237,6,Ba8Ga16Ge30,300,,-0.000051755,,,,,
10094,10.1063/1.2163979,1401,2(a),2237,6,Ba8Ga16Ge30,350,,-0.000055493,,,,,
10094,10.1063/1.2163979,1401,2(a),2237,6,Ba8Ga16Ge30,400,,-0.00007575,,,,,
10094,10.1063/1.2163979,1401,2(a),2237,6,Ba8Ga16Ge30,450,,-0.000098363,,,,,
10094,10.1063/1.2163979,1401,2(a),2237,6,Ba8Ga16Ge30,500,,-0.00011747,,,,,
10094,10.1063/1.2163979,1401,2(a),2237,6,Ba8Ga16Ge30,550,,-0.00013297,,,,,
10094,10.1063/1.2163979,1401,2(a),2237,6,Ba8Ga16Ge30,600,,-0.00014803,,,,,
10094,10.1063/1.2163979,1401,2(a),2237,6,Ba8Ga16Ge30,650,,-0.00016656,,,,,
10094,10.1063/1.2163979,1401,2(a),2237,6,Ba8Ga16Ge30,700,,-0.00019066,,,,,
10094,10.1063/1.2163979,1401,2(a),2238,7,Ba8Ga16Ge30,500,,-0.000085129,,,,,
10094,10.1063/1.2163979,1401,2(a),2238,7,Ba8Ga16Ge30,550,,-0.000098716,,,,,
10094,10.1063/1.2163979,1401,2(a),2238,7,Ba8Ga16Ge30,600,,-0.00011721,,,,,
10094,10.1063/1.2163979,1401,2(a),2238,7,Ba8Ga16Ge30,650,,-0.00013779,,,,,
10094,10.1063/1.2163979,1401,2(a),2238,7,Ba8Ga16Ge30,700,,-0.00015637,,,,,
