sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27927,10.1039/c2ee21536e,25534,2a,31785,PbTe:I_ 1.8e19,PbTe:I,350,,0.10251,0.0000036493,-0.00010053,2.7285,0.38914,274025.1555092757,0.0027693752,0.0010149808
27927,10.1039/c2ee21536e,25534,2a,31785,PbTe:I_ 1.8e19,PbTe:I,400,,0.086651,0.0000051941,-0.00011512,2.4355,0.51189,192526.1354228837,0.0025514746,0.0010476184
27927,10.1039/c2ee21536e,25534,2a,31785,PbTe:I_ 1.8e19,PbTe:I,450,,0.070792,0.0000067389,-0.00012972,2.1426,0.63464,148392.1708290671,0.0024970364,0.0011654235
27927,10.1039/c2ee21536e,25534,2a,31785,PbTe:I_ 1.8e19,PbTe:I,500,,0.054934,0.0000082838,-0.00014432,1.8497,0.75739,120717.5450880031,0.0025143367,0.0013593214
27927,10.1039/c2ee21536e,25534,2a,31785,PbTe:I_ 1.8e19,PbTe:I,550,,0.039075,0.0000098286,-0.00015892,1.5567,0.88015,101743.8902793887,0.0025695996,0.001650671
27927,10.1039/c2ee21536e,25534,2a,31785,PbTe:I_ 1.8e19,PbTe:I,600,,,0.000011373,-0.00017352,1.2638,1.0029,87927.5477006946,0.0026474273,0.0020948151
27927,10.1039/c2ee21536e,25534,2a,31785,PbTe:I_ 1.8e19,PbTe:I,650,,,,-0.00018812,,1.1256,,,
27927,10.1039/c2ee21536e,25534,2a,31785,PbTe:I_ 1.8e19,PbTe:I,700,,,,-0.00020272,,1.2484,,,
27927,10.1039/c2ee21536e,25534,2a,31785,PbTe:I_ 1.8e19,PbTe:I,750,,,,-0.00021731,,1.3712,,,
27927,10.1039/c2ee21536e,25535,2b,31785,PbTe:I_ 1.8e19,PbTe:I,300,,0.11837,0.0000021045,,3.0214,0.26639,475172.2499406035,,
