sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27938,10.1016/j.joule.2018.02.016,25634,2(a),31928,Ge0.9-yPb0.1BiyTe_ y=0.035_ 1.9e20,undefined,350,0.0000066327,0.61127,0.00013538,1.3778,0.67052,150768.1637945331,0.0027632404,0.0020055453
27938,10.1016/j.joule.2018.02.016,25634,2(a),31928,Ge0.9-yPb0.1BiyTe_ y=0.035_ 1.9e20,undefined,400,0.0000090641,0.59359,0.00015599,1.2651,0.95883,110325.3494555444,0.0026845335,0.0021219931
27938,10.1016/j.joule.2018.02.016,25634,2(a),31928,Ge0.9-yPb0.1BiyTe_ y=0.035_ 1.9e20,undefined,450,0.000011496,0.57591,0.00017733,1.1524,1.2471,86986.7780097425,0.00273538,0.0023736377
27938,10.1016/j.joule.2018.02.016,25634,2(a),31928,Ge0.9-yPb0.1BiyTe_ y=0.035_ 1.9e20,undefined,500,0.000013927,0.55823,0.00019941,1.0398,1.5354,71802.9726430674,0.0028551984,0.0027459111
27938,10.1016/j.joule.2018.02.016,25634,2(a),31928,Ge0.9-yPb0.1BiyTe_ y=0.035_ 1.9e20,undefined,550,0.000016358,0.54055,0.00022221,0.92714,1.8238,61132.1677466683,0.0030185404,0.0032557547
27938,10.1016/j.joule.2018.02.016,25634,2(a),31928,Ge0.9-yPb0.1BiyTe_ y=0.035_ 1.9e20,undefined,600,,,0.00024574,0.81448,,,,
27938,10.1016/j.joule.2018.02.016,25636,2(b),31928,Ge0.9-yPb0.1BiyTe_ y=0.035_ 1.9e20,undefined,300,0.0000042013,,,,,238021.5647537667,,
27938,10.1016/j.joule.2018.02.016,25634,2(a),31929,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.6e20_ ZEM,undefined,300,0.0000042437,0.62573,0.00010849,,,235643.424370243,0.002773542,
27938,10.1016/j.joule.2018.02.016,25634,2(a),31929,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.6e20_ ZEM,undefined,350,0.0000069558,0.60909,0.0001334,1.3136,0.64611,143764.9156099945,0.0025583772,0.0019476075
27938,10.1016/j.joule.2018.02.016,25634,2(a),31929,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.6e20_ ZEM,undefined,400,0.0000096679,0.59244,0.00015831,1.2169,0.95405,103435.0789726828,0.0025922958,0.0021302455
27938,10.1016/j.joule.2018.02.016,25634,2(a),31929,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.6e20_ ZEM,undefined,450,0.00001238,0.5758,0.00018322,1.1202,1.262,80775.4442649435,0.0027115968,0.0024206363
27938,10.1016/j.joule.2018.02.016,25634,2(a),31929,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.6e20_ ZEM,undefined,500,0.000015092,0.55916,0.00020813,1.0234,1.5699,66260.270341903,0.0028702688,0.0028046402
27938,10.1016/j.joule.2018.02.016,25634,2(a),31929,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.6e20_ ZEM,undefined,550,0.000017804,0.54252,0.00023304,0.92674,1.8779,56167.1534486632,0.0030503056,0.0032914363
27938,10.1016/j.joule.2018.02.016,25634,2(a),31929,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.6e20_ ZEM,undefined,600,0.000020516,0.52587,0.00025795,0.83002,2.3445,48742.4449210372,0.0032432347,0.0039074175
27938,10.1016/j.joule.2018.02.016,25634,2(a),31930,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.4e20,undefined,300,0.000005461,,0.000099765,,0.20012,183116.6453030581,0.0018225701,
27938,10.1016/j.joule.2018.02.016,25634,2(a),31930,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.4e20,undefined,350,0.0000086328,0.71697,0.00012741,1.3169,0.48698,115837.2718005746,0.0018804221,0.0014279157
