sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,ZT,total thermal conductivity,Electrical resistivity,Power factor
27944,10.1021/jacs.7b05143,25625,Figure 3A,31913,GeTe,undefined,300,731420,2.5422,0.000021904,-0.07641,,0.0000013672,0.0003509245
27944,10.1021/jacs.7b05143,25625,Figure 3A,31913,GeTe,undefined,350,658470,2.3425,0.000036782,0.041613,7.2363,0.0000015187,0.0008908543
27944,10.1021/jacs.7b05143,25625,Figure 3A,31913,GeTe,undefined,400,585510,2.1429,0.000051659,0.15964,6.5498,0.0000017079,0.0015625226
27944,10.1021/jacs.7b05143,25625,Figure 3A,31913,GeTe,undefined,450,512560,1.9432,0.000066536,0.27766,5.8633,0.000001951,0.0022691233
27944,10.1021/jacs.7b05143,25625,Figure 3A,31913,GeTe,undefined,500,439610,1.7436,0.000081413,0.39568,5.1768,0.0000022747,0.0029137687
27944,10.1021/jacs.7b05143,25625,Figure 3A,31913,GeTe,undefined,550,366650,1.544,0.000096291,0.51371,4.4903,0.0000027274,0.0033995629
27944,10.1021/jacs.7b05143,25625,Figure 3A,31913,GeTe,undefined,600,293700,1.3443,0.00011117,0.63173,3.8038,0.0000034048,0.0036297704
27944,10.1021/jacs.7b05143,25625,Figure 3A,31913,GeTe,undefined,650,220750,1.1447,0.00012604,0.74975,,0.00000453,0.0035068525
27944,10.1021/jacs.7b05143,25625,Figure 3A,31913,GeTe,undefined,700,147790,0.94504,0.00014092,0.86777,,0.0000067664,0.0029348798
27944,10.1021/jacs.7b05143,25625,Figure 3A,31914,GeTe0.95Se0.025S0.025,undefined,300,530630,2.215,0.000021214,,,0.0000018846,0.0002388014
27944,10.1021/jacs.7b05143,25625,Figure 3A,31914,GeTe0.95Se0.025S0.025,undefined,350,481040,2.1067,0.000035693,,5.9357,0.0000020788,0.0006128403
27944,10.1021/jacs.7b05143,25625,Figure 3A,31914,GeTe0.95Se0.025S0.025,undefined,400,431460,1.9983,0.000050172,,5.4899,0.0000023177,0.0010860839
27944,10.1021/jacs.7b05143,25625,Figure 3A,31914,GeTe0.95Se0.025S0.025,undefined,450,381870,1.89,0.000064652,,5.044,0.0000026187,0.0015961712
27944,10.1021/jacs.7b05143,25625,Figure 3A,31914,GeTe0.95Se0.025S0.025,undefined,500,332280,1.7816,0.000079131,,4.5982,0.0000030095,0.0020806427
27944,10.1021/jacs.7b05143,25625,Figure 3A,31914,GeTe0.95Se0.025S0.025,undefined,550,282700,1.6733,0.00009361,,4.1523,0.0000035373,0.0024772526
27944,10.1021/jacs.7b05143,25625,Figure 3A,31914,GeTe0.95Se0.025S0.025,undefined,600,233110,1.5649,0.00010809,,3.7065,0.0000042898,0.0027235286
27944,10.1021/jacs.7b05143,25625,Figure 3A,31914,GeTe0.95Se0.025S0.025,undefined,650,183520,1.4566,0.00012257,,,0.000005449,0.0027570953
27944,10.1021/jacs.7b05143,25625,Figure 3A,31914,GeTe0.95Se0.025S0.025,undefined,700,133940,1.3482,0.00013705,,,0.000007466,0.0025157552
27944,10.1021/jacs.7b05143,25625,Figure 3A,31915,GeTe0.9Se0.05S0.05,undefined,300,535810,1.1266,0.000030719,-0.072418,5.2912,0.0000018663,0.0005056208
27944,10.1021/jacs.7b05143,25625,Figure 3A,31915,GeTe0.9Se0.05S0.05,undefined,350,488570,1.0691,0.000039429,0.021298,5.0134,0.0000020468,0.0007595534
27944,10.1021/jacs.7b05143,25625,Figure 3A,31915,GeTe0.9Se0.05S0.05,undefined,400,441330,1.0117,0.000046262,0.11501,4.7412,0.0000022659,0.0009445224
27944,10.1021/jacs.7b05143,25625,Figure 3A,31915,GeTe0.9Se0.05S0.05,undefined,450,394100,0.9542,0.00005503,0.20873,4.469,0.0000025374,0.0011934534
27944,10.1021/jacs.7b05143,25625,Figure 3A,31915,GeTe0.9Se0.05S0.05,undefined,500,346860,0.89674,0.000067745,0.30245,4.1967,0.000002883,0.0015918741
27944,10.1021/jacs.7b05143,25625,Figure 3A,31915,GeTe0.9Se0.05S0.05,undefined,550,299620,0.83927,0.000084615,0.39616,3.9245,0.0000033376,0.0021451888
27944,10.1021/jacs.7b05143,25625,Figure 3A,31915,GeTe0.9Se0.05S0.05,undefined,600,252390,0.78181,0.00010405,0.48988,3.6523,0.0000039621,0.0027324757
