sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Hall movility,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
21294,10.1073/pnas.1711725114,19696,F1(A),24309,Mg3.2Sb1.5Bi0.49Te0.01,Mg3.2Sb1.5Bi0.49Te0.01,350,6.5026e+25,25505,0.002628,0.00090499,-0.00018265,1.1157,0.291,0.000039208,0.000811141
21294,10.1073/pnas.1711725114,19696,F1(A),24309,Mg3.2Sb1.5Bi0.49Te0.01,Mg3.2Sb1.5Bi0.49Te0.01,400,6.3201e+25,26075,0.0027457,0.0010562,-0.00019469,1.0938,0.44523,0.0000383509,0.0009656244
21294,10.1073/pnas.1711725114,19696,F1(A),24309,Mg3.2Sb1.5Bi0.49Te0.01,Mg3.2Sb1.5Bi0.49Te0.01,450,6.1377e+25,26645,0.0028634,0.0012074,-0.00020672,1.0719,0.59947,0.0000375305,0.001126411
21294,10.1073/pnas.1711725114,19696,F1(A),24309,Mg3.2Sb1.5Bi0.49Te0.01,Mg3.2Sb1.5Bi0.49Te0.01,500,5.9552e+25,27215,0.0029812,0.0013586,-0.00021876,1.05,0.75371,0.0000367444,0.0012939048
21294,10.1073/pnas.1711725114,19696,F1(A),24309,Mg3.2Sb1.5Bi0.49Te0.01,Mg3.2Sb1.5Bi0.49Te0.01,550,5.7728e+25,27785,0.0030989,0.0015098,-0.0002308,1.0281,0.90794,0.0000359906,0.0014685342
21294,10.1073/pnas.1711725114,19696,F1(A),24309,Mg3.2Sb1.5Bi0.49Te0.01,Mg3.2Sb1.5Bi0.49Te0.01,600,5.5903e+25,28355,0.0032166,0.001661,-0.00024283,1.0061,1.0622,0.0000352671,0.0016509293
21294,10.1073/pnas.1711725114,19696,F1(A),24309,Mg3.2Sb1.5Bi0.49Te0.01,Mg3.2Sb1.5Bi0.49Te0.01,650,5.4079e+25,28926,0.0033344,0.0018122,-0.00025487,0.98424,1.2164,0.000034571,0.0018412176
21294,10.1073/pnas.1711725114,19696,F1(A),24309,Mg3.2Sb1.5Bi0.49Te0.01,Mg3.2Sb1.5Bi0.49Te0.01,700,5.2254e+25,29496,0.0034521,0.0019634,-0.0002669,0.96234,1.3707,0.0000339029,0.0020402353
21294,10.1073/pnas.1711725114,19696,F1(A),24309,Mg3.2Sb1.5Bi0.49Te0.01,Mg3.2Sb1.5Bi0.49Te0.01,750,5.043e+25,30066,0.0035698,0.0021146,-0.00027894,0.94043,1.5249,0.0000332602,0.0022485459
21294,10.1073/pnas.1711725114,19696,F1(A),24310,Mg3.1Fe0.1Sb1.5Bi0.49Te0.01,Mg3.1Fe0.1Sb1.5Bi0.49Te0.01,350,3.2271e+25,33444,0.0062267,0.0015168,-0.0002106,1.0212,0.53821,0.0000299007,0.0014853114
21294,10.1073/pnas.1711725114,19696,F1(A),24310,Mg3.1Fe0.1Sb1.5Bi0.49Te0.01,Mg3.1Fe0.1Sb1.5Bi0.49Te0.01,400,3.2542e+25,32170,0.0059219,0.0015777,-0.00022133,0.99802,0.68048,0.0000310849,0.00158083
21294,10.1073/pnas.1711725114,19696,F1(A),24310,Mg3.1Fe0.1Sb1.5Bi0.49Te0.01,Mg3.1Fe0.1Sb1.5Bi0.49Te0.01,450,3.2814e+25,30897,0.0056171,0.0016386,-0.00023206,0.9748,0.82275,0.0000323656,0.0016809602
21294,10.1073/pnas.1711725114,19696,F1(A),24310,Mg3.1Fe0.1Sb1.5Bi0.49Te0.01,Mg3.1Fe0.1Sb1.5Bi0.49Te0.01,500,3.3085e+25,29623,0.0053123,0.0016995,-0.00024279,0.95158,0.96503,0.0000337576,0.001785977
