sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27942,10.1039/c9ee00317g,25662,2(a),31975,Ge1+xTe_ x=-0.01,undefined,350,,0.0000015929,,0.97959,0.000043851,5.7461,0.046238,627785.7994852157,0.0012071757,0.0002100861
27942,10.1039/c9ee00317g,25662,2(a),31975,Ge1+xTe_ x=-0.01,undefined,400,,0.0000019072,,0.63305,0.000057341,5.3194,0.17632,524328.8590604027,0.0017239882,0.0003240945
27942,10.1039/c9ee00317g,25662,2(a),31975,Ge1+xTe_ x=-0.01,undefined,450,,0.0000022246,,,0.00007083,4.8926,0.3064,449519.0146543199,0.002255187,0.0004609383
27942,10.1039/c9ee00317g,25662,2(a),31975,Ge1+xTe_ x=-0.01,undefined,500,,0.000002545,,,0.000084319,4.4659,0.43648,392927.3084479371,0.0027935928,0.0006255386
27942,10.1039/c9ee00317g,25662,2(a),31975,Ge1+xTe_ x=-0.01,undefined,550,,0.0000028685,,,0.000097808,4.0391,0.56656,348614.2583231654,0.0033349851,0.0008256753
27942,10.1039/c9ee00317g,25662,2(a),31975,Ge1+xTe_ x=-0.01,undefined,600,,0.0000031949,,,0.0001113,3.6124,0.69664,312998.841904285,0.0038773326,0.0010733398
27942,10.1039/c9ee00317g,25662,2(a),31975,Ge1+xTe_ x=-0.01,undefined,650,,0.0000035244,,,0.00012479,3.1856,0.82672,283736.2387924186,0.0044184951,0.0013870213
27942,10.1039/c9ee00317g,25662,2(a),31975,Ge1+xTe_ x=-0.01,undefined,700,,0.000003857,,,0.00013828,,,259268.8618096967,0.0049575728,
27942,10.1039/c9ee00317g,25662,2(a),31976,Ge1+xTe_ x=0.00,undefined,300,,0.0000014458,,,,,,691658.5973163646,,
27942,10.1039/c9ee00317g,25662,2(a),31976,Ge1+xTe_ x=0.00,undefined,350,,0.0000018728,,1.472,0.000051053,5.3684,0.014628,533959.8462195642,0.0013917176,0.0002592425
27942,10.1039/c9ee00317g,25662,2(a),31976,Ge1+xTe_ x=0.00,undefined,400,,0.0000023245,,1.2598,0.000067795,4.9206,0.21109,430200.0430200043,0.0019772691,0.000401835
27942,10.1039/c9ee00317g,25662,2(a),31976,Ge1+xTe_ x=0.00,undefined,450,,0.0000028011,,1.0475,0.000084536,4.4729,0.40756,357002.6061190246,0.0025512603,0.0005703817
27942,10.1039/c9ee00317g,25662,2(a),31976,Ge1+xTe_ x=0.00,undefined,500,,0.0000033026,,0.83528,0.00010128,4.0251,0.60402,302791.7398413371,0.0031059282,0.00077164
27942,10.1039/c9ee00317g,25662,2(a),31976,Ge1+xTe_ x=0.00,undefined,550,,0.0000038289,,0.62305,0.00011802,3.5774,0.80048,261171.6158687874,0.0036377864,0.00101688
27942,10.1039/c9ee00317g,25662,2(a),31976,Ge1+xTe_ x=0.00,undefined,600,,0.00000438,,0.41081,0.00013476,3.1297,0.99695,228310.502283105,0.0041461775,0.0013247843
27942,10.1039/c9ee00317g,25662,2(a),31976,Ge1+xTe_ x=0.00,undefined,650,,0.0000049559,,,0.0001515,2.6819,1.1934,201779.6969268952,0.004631298,0.001726872
27942,10.1039/c9ee00317g,25662,2(a),31976,Ge1+xTe_ x=0.00,undefined,700,,0.0000055567,,,0.00016824,2.2342,1.3899,179962.9276369068,0.0050937962,0.0022799195
27942,10.1039/c9ee00317g,25662,2(a),31977,Ge1+xTe_ x=0.01,undefined,350,,0.0000022878,,1.7149,0.000070588,4.8093,0.12183,437101.1452050005,0.0021779289,0.0004528578
27942,10.1039/c9ee00317g,25662,2(a),31977,Ge1+xTe_ x=0.01,undefined,400,,0.0000029122,,1.4764,0.000086923,4.4088,0.32012,343383.0094086945,0.0025944674,0.0005884747
27942,10.1039/c9ee00317g,25662,2(a),31977,Ge1+xTe_ x=0.01,undefined,450,,0.0000035367,,1.2379,0.00010326,4.0084,0.51841,282749.4557072978,0.0030148522,0.0007521336
27942,10.1039/c9ee00317g,25662,2(a),31977,Ge1+xTe_ x=0.01,undefined,500,,0.0000041611,,0.99943,0.00011959,3.6079,0.7167,240321.0689481147,0.0034370162,0.0009526362
27942,10.1039/c9ee00317g,25662,2(a),31977,Ge1+xTe_ x=0.01,undefined,550,,0.0000047856,,0.76095,0.00013593,3.2074,0.91499,208960.2139752591,0.0038609505,0.0012037633
27942,10.1039/c9ee00317g,25662,2(a),31977,Ge1+xTe_ x=0.01,undefined,600,,0.00000541,,0.52248,0.00015226,2.8069,1.1133,184842.8835489834,0.0042852325,0.001526678
27942,10.1039/c9ee00317g,25662,2(a),31977,Ge1+xTe_ x=0.01,undefined,650,,0.0000060345,,,0.0001686,2.4065,1.3116,165713.8122462507,0.0047105742,0.0019574379
27942,10.1039/c9ee00317g,25662,2(a),31977,Ge1+xTe_ x=0.01,undefined,700,,0.0000066589,,,0.00018494,2.006,1.5099,150174.9538212017,0.0051364045,0.0025605207
27942,10.1039/c9ee00317g,25662,2(a),31978,Ge1+xTe_ x=0.02,undefined,350,,0.0000024603,,1.7439,0.000077099,4.7027,0.15412,406454.4974190139,0.0024160695,0.0005137622
27942,10.1039/c9ee00317g,25662,2(a),31978,Ge1+xTe_ x=0.02,undefined,400,,0.0000030316,,1.5219,0.000092478,4.3271,0.34702,329858.8204248582,0.0028210122,0.0006519406
27942,10.1039/c9ee00317g,25662,2(a),31978,Ge1+xTe_ x=0.02,undefined,450,,0.0000036029,,1.2999,0.00010786,3.9515,0.53992,277554.1924560771,0.0032290043,0.0008171591
27942,10.1039/c9ee00317g,25662,2(a),31978,Ge1+xTe_ x=0.02,undefined,500,,0.0000041741,,1.0779,0.00012323,3.5759,0.73282,239572.6024771807,0.0036380616,0.0010173835
27942,10.1039/c9ee00317g,25662,2(a),31978,Ge1+xTe_ x=0.02,undefined,550,,0.0000047454,,0.85587,0.00013861,3.2003,0.92572,210730.3915370675,0.0040487066,0.0012651022
27942,10.1039/c9ee00317g,25662,2(a),31978,Ge1+xTe_ x=0.02,undefined,600,,0.0000053167,,0.63385,0.00015399,2.8248,1.1186,188086.5950683695,0.0044600824,0.001578902
27942,10.1039/c9ee00317g,25662,2(a),31978,Ge1+xTe_ x=0.02,undefined,650,,0.000005888,,,0.00016937,2.4492,1.3115,169836.9565217391,0.0048719764,0.0019892113
27942,10.1039/c9ee00317g,25662,2(a),31978,Ge1+xTe_ x=0.02,undefined,700,,0.0000064592,,,0.00018475,2.0736,1.5044,154817.9341094873,0.0052843328,0.0025483858
27942,10.1039/c9ee00317g,25662,2(a),31979,Ge1+xTe_ x=0.03,undefined,350,,0.0000026397,,2.0106,0.000081599,4.7222,0.16282,378830.9277569421,0.0025224066,0.0005341592
27942,10.1039/c9ee00317g,25662,2(a),31979,Ge1+xTe_ x=0.03,undefined,400,,0.0000031978,,1.7675,0.000096901,4.3518,0.35547,312714.9915566952,0.0029363324,0.0006747397
27942,10.1039/c9ee00317g,25662,2(a),31979,Ge1+xTe_ x=0.03,undefined,450,,0.0000037558,,1.5244,0.0001122,3.9814,0.54812,266254.8591511795,0.0033518398,0.0008418747
