sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Inverse temperature,Electrical conductivity,Electrical resistivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,electron thermal conductivity,Figure of merit Z
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,350,0.0028571,25859,0.000038671,0.60256,0.0018472,0.00026612,0.74294,0.87649,,0.0024863381
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,400,0.0025,29463,0.000033941,,0.0019327,0.00025292,0.80017,0.96657,,0.0024153617
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,450,0.0022222,34235,0.00002921,,0.002019,0.00023973,0.8574,1.0566,,0.0023547936
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,500,0.002,40850,0.00002448,,0.0021061,0.00022653,0.91462,1.1467,,0.0023027049
71,10.1016/j.actamat.2015.01.018,4581,3(b),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,550,0.0018182,,,,,0.00021334,,,,
71,10.1016/j.actamat.2015.01.018,4583,3(d),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,300,0.0033333,,,,,,0.68572,,,
71,10.1016/j.actamat.2015.01.018,4580,3(a),5852,MgAg0.967Cu0.003Sb0.99,MgAg0.967Cu0.003Sb0.99,350,0.0028571,29517,0.000033879,0.56663,0.0021099,0.00025951,0.72192,0.97469,,0.002922623
71,10.1016/j.actamat.2015.01.018,4580,3(a),5852,MgAg0.967Cu0.003Sb0.99,MgAg0.967Cu0.003Sb0.99,400,0.0025,31682,0.000031564,,0.0021656,0.00024762,0.77965,1.0589,,0.0027776566
71,10.1016/j.actamat.2015.01.018,4580,3(a),5852,MgAg0.967Cu0.003Sb0.99,MgAg0.967Cu0.003Sb0.99,450,0.0022222,35787,0.000027943,,0.0022212,0.00023573,0.83739,1.1432,,0.0026525275
71,10.1016/j.actamat.2015.01.018,4580,3(a),5852,MgAg0.967Cu0.003Sb0.99,MgAg0.967Cu0.003Sb0.99,500,0.002,43448,0.000023016,,0.0022769,0.00022384,0.89512,1.2274,,0.0025436813
71,10.1016/j.actamat.2015.01.018,4583,3(d),5852,MgAg0.967Cu0.003Sb0.99,MgAg0.967Cu0.003Sb0.99,300,0.0033333,,,,,,0.66419,,,
71,10.1016/j.actamat.2015.01.018,4580,3(a),5853,MgAg0.963Cu0.007Sb0.99,MgAg0.963Cu0.007Sb0.99,350,0.0028571,34875,0.000028674,0.52296,0.0020093,0.00024503,0.70425,1.0422,,0.0028531061
71,10.1016/j.actamat.2015.01.018,4580,3(a),5853,MgAg0.963Cu0.007Sb0.99,MgAg0.963Cu0.007Sb0.99,400,0.0025,38165,0.000026202,,0.0020726,0.00023618,0.76107,1.1265,,0.0027232712
71,10.1016/j.actamat.2015.01.018,4580,3(a),5853,MgAg0.963Cu0.007Sb0.99,MgAg0.963Cu0.007Sb0.99,450,0.0022222,42141,0.00002373,,0.002136,0.00022733,0.81789,1.2109,,0.0026115981
71,10.1016/j.actamat.2015.01.018,4580,3(a),5853,MgAg0.963Cu0.007Sb0.99,MgAg0.963Cu0.007Sb0.99,500,0.002,47041,0.000021258,,0.0021994,0.00021848,0.8747,1.2952,,0.0025144621
71,10.1016/j.actamat.2015.01.018,4583,3(d),5853,MgAg0.963Cu0.007Sb0.99,MgAg0.963Cu0.007Sb0.99,300,0.0033333,,,,,,0.64744,,,
