sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
8671,10.1016/j.intermet.2010.12.001,25123,2,31276,BayFe4Sb12_ y=0.87 BM,undefined,300,0.0000038368,0.00007825,,,260633.8615512927,0.0015958774,
8671,10.1016/j.intermet.2010.12.001,25123,2,31276,BayFe4Sb12_ y=0.87 BM,undefined,350,0.0000040532,0.000085006,,,246718.6420605941,0.0017827939,
8671,10.1016/j.intermet.2010.12.001,25123,2,31276,BayFe4Sb12_ y=0.87 BM,undefined,400,0.0000042696,0.000091762,,,234213.9778902005,0.0019721437,
8671,10.1016/j.intermet.2010.12.001,25123,2,31276,BayFe4Sb12_ y=0.87 BM,undefined,450,0.000004486,0.000098518,,,222915.7378510923,0.0021635747,
8671,10.1016/j.intermet.2010.12.001,25123,2,31276,BayFe4Sb12_ y=0.87 BM,undefined,500,0.0000047024,0.00010527,3.1173,0.41609,212657.3664511739,0.0023566206,0.0007559813
8671,10.1016/j.intermet.2010.12.001,25123,2,31276,BayFe4Sb12_ y=0.87 BM,undefined,550,0.0000049188,0.00011203,3.2048,0.48114,203301.6182808815,0.0025515819,0.0007961751
8671,10.1016/j.intermet.2010.12.001,25123,2,31276,BayFe4Sb12_ y=0.87 BM,undefined,600,0.0000051352,0.00011879,3.2922,0.5462,194734.3823025393,0.0027479094,0.0008346727
8671,10.1016/j.intermet.2010.12.001,25123,2,31276,BayFe4Sb12_ y=0.87 BM,undefined,650,0.0000053516,0.00012554,3.3797,0.61125,186860.0044846401,0.0029449682,0.0008713697
8671,10.1016/j.intermet.2010.12.001,25123,2,31276,BayFe4Sb12_ y=0.87 BM,undefined,700,0.000005568,0.0001323,3.4672,0.6763,179597.7011494253,0.0031435506,0.000906654
8671,10.1016/j.intermet.2010.12.001,25123,2,31276,BayFe4Sb12_ y=0.87 BM,undefined,750,0.0000057844,0.00013905,3.5546,0.74135,172878.7774012862,0.0033425943,0.0009403574
8671,10.1016/j.intermet.2010.12.001,25123,2,31276,BayFe4Sb12_ y=0.87 BM,undefined,800,0.0000060008,0.00014581,3.6421,0.8064,166644.4474070124,0.0035429536,0.0009727777
8671,10.1016/j.intermet.2010.12.001,25123,2,31277,BayFe4Sb12_ y=0.83 BM,undefined,300,0.0000034655,0.000077474,,,288558.6495455201,0.0017319927,
8671,10.1016/j.intermet.2010.12.001,25123,2,31277,BayFe4Sb12_ y=0.83 BM,undefined,350,0.0000036753,0.000083685,,,272086.632383751,0.0019054715,
8671,10.1016/j.intermet.2010.12.001,25123,2,31277,BayFe4Sb12_ y=0.83 BM,undefined,400,0.0000038852,0.000089895,,,257387.0071038814,0.002079973,
8671,10.1016/j.intermet.2010.12.001,25123,2,31277,BayFe4Sb12_ y=0.83 BM,undefined,450,0.000004095,0.000096106,,,244200.2442002442,0.0022555222,
8671,10.1016/j.intermet.2010.12.001,25123,2,31277,BayFe4Sb12_ y=0.83 BM,undefined,500,0.0000043049,0.00010232,2.9149,0.38955,232293.4330646473,0.0024319688,0.0008343232
8671,10.1016/j.intermet.2010.12.001,25123,2,31277,BayFe4Sb12_ y=0.83 BM,undefined,550,0.0000045147,0.00010853,3.0369,0.43932,221498.6599331074,0.0026089798,0.0008590931
8671,10.1016/j.intermet.2010.12.001,25123,2,31277,BayFe4Sb12_ y=0.83 BM,undefined,600,0.0000047246,0.00011474,3.1588,0.48908,211658.1297887652,0.0027865359,0.0008821502
8671,10.1016/j.intermet.2010.12.001,25123,2,31277,BayFe4Sb12_ y=0.83 BM,undefined,650,0.0000049344,0.00012095,3.2807,0.53884,202658.8845654993,0.0029646771,0.0009036721
8671,10.1016/j.intermet.2010.12.001,25123,2,31277,BayFe4Sb12_ y=0.83 BM,undefined,700,0.0000051443,0.00012716,3.4026,0.58861,194389.9072760142,0.0031432198,0.00092377
8671,10.1016/j.intermet.2010.12.001,25123,2,31277,BayFe4Sb12_ y=0.83 BM,undefined,750,0.0000053541,0.00013337,3.5246,0.63837,186772.7535907062,0.003322231,0.0009425838
8671,10.1016/j.intermet.2010.12.001,25123,2,31277,BayFe4Sb12_ y=0.83 BM,undefined,800,0.000005564,0.00013958,3.6465,0.68814,179726.8152408339,0.0035015414,0.0009602472
8671,10.1016/j.intermet.2010.12.001,25123,2,31278,BayFe4Sb12_ y=0.83 HM,undefined,300,0.0000029934,0.000062399,,,334068.2835571591,0.00130074,
8671,10.1016/j.intermet.2010.12.001,25123,2,31278,BayFe4Sb12_ y=0.83 HM,undefined,350,0.0000032116,0.000066964,,,311371.2791132146,0.001396244,
8671,10.1016/j.intermet.2010.12.001,25123,2,31278,BayFe4Sb12_ y=0.83 HM,undefined,400,0.0000034297,0.000071528,,,291570.6913141091,0.0014917499,
8671,10.1016/j.intermet.2010.12.001,25123,2,31278,BayFe4Sb12_ y=0.83 HM,undefined,450,0.0000036478,0.000076093,,,274137.8365041943,0.0015872977,
8671,10.1016/j.intermet.2010.12.001,25123,2,31278,BayFe4Sb12_ y=0.83 HM,undefined,500,0.0000038659,0.000080657,3.9092,0.24265,258671.9780646163,0.0016828039,0.0004304727
