sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
7980,10.1039/c5ee02600h,7847,1(a),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,300,0.0000038456,0.0044162,,4.8625,0.53236,260037.4453921365,0.0009082159
7980,10.1039/c5ee02600h,7847,1(a),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,350,0.0000044266,0.0045197,-0.00013217,-0.11895,0.59426,225907.0166719378,-0.0379966372
7980,10.1039/c5ee02600h,7847,1(a),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,400,0.0000050077,0.0046232,-0.00014169,0.021173,0.65616,199692.4735906704,0.2183535635
7980,10.1039/c5ee02600h,7847,1(a),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,450,0.0000055887,0.0047267,-0.00015121,0.16129,13.188,178932.4887719863,0.0293055986
7980,10.1039/c5ee02600h,7847,1(a),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,500,0.0000061697,0.0041873,-0.00016073,0.30141,6.9462,162082.4351265053,0.0138923725
7980,10.1039/c5ee02600h,7847,1(a),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,550,0.0000067507,0.0042936,-0.00017025,0.44153,5.3484,148132.7862295762,0.0097243675
7980,10.1039/c5ee02600h,7847,1(a),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,600,0.0000073317,0.0044079,-0.00017977,0.58165,4.547,136394.0150306205,0.0075782687
7980,10.1039/c5ee02600h,7847,1(a),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,650,0.0000079127,0.0045283,-0.00018929,0.72177,4.078,126379.1120603587,0.0062738823
7980,10.1039/c5ee02600h,7847,1(a),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,700,0.0000084937,0.004654,-0.00019882,0.86189,3.7798,117734.3207318365,0.005399761
7980,10.1039/c5ee02600h,7851,1(c),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,50,,0.0038987,,5.9771,0.22288,,0.0006522728
7980,10.1039/c5ee02600h,7851,1(c),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,100,,0.0040022,,5.7541,0.28478,,0.0006955388
7980,10.1039/c5ee02600h,7851,1(c),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,150,,0.0041057,,5.5312,0.34667,,0.0007422802
7980,10.1039/c5ee02600h,7851,1(c),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,200,,0.0042092,,5.3083,0.40857,,0.0007929469
7980,10.1039/c5ee02600h,7851,1(c),9554,Ge0Sb0.01,Mg2Sn0.99GexSb0.01,250,,0.0043127,,5.0854,0.47047,,0.0008480552
7980,10.1039/c5ee02600h,7847,1(a),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,350,0.0000056988,0.0041124,-0.0001438,3.5603,0.69879,175475.5387099038,0.0011550712
7980,10.1039/c5ee02600h,7847,1(a),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,400,0.0000063692,0.0042036,-0.0001532,3.4189,0.76826,157005.5893989826,0.0012295183
7980,10.1039/c5ee02600h,7847,1(a),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,450,0.0000070396,0.0042947,-0.0001626,3.2776,0.83774,142053.5257685096,0.0013103185
7980,10.1039/c5ee02600h,7847,1(a),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,500,0.00000771,0.0038371,-0.000172,,,129701.6861219196,
7980,10.1039/c5ee02600h,7847,1(a),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,550,0.0000083804,0.003927,-0.00018141,,,119326.0464894277,
7980,10.1039/c5ee02600h,7847,1(a),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,600,0.0000090508,0.0040227,-0.00019081,,,110487.4707208203,
7980,10.1039/c5ee02600h,7847,1(a),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,650,0.0000097212,0.0041234,-0.00020021,,,102867.9586882278,
7980,10.1039/c5ee02600h,7847,1(a),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,700,0.000010392,0.0042279,-0.00020961,,,96227.8675904542,
7980,10.1039/c5ee02600h,7851,1(c),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,50,,0.0035653,,4.4081,0.28193,,0.0008088065
7980,10.1039/c5ee02600h,7851,1(c),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,100,,0.0036565,,4.2668,0.3514,,0.0008569654
7980,10.1039/c5ee02600h,7851,1(c),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,150,,0.0037476,,4.1255,0.42088,,0.000908399
7980,10.1039/c5ee02600h,7851,1(c),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,200,,0.0038388,,3.9842,0.49036,,0.0009635058
7980,10.1039/c5ee02600h,7851,1(c),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,250,,0.00393,,3.8429,0.55983,,0.0010226652
7980,10.1039/c5ee02600h,7851,1(c),9556,Ge0.05Sb0.01,Mg2Sn0.94Ge0.05Sb0.01,300,,0.0040212,,3.7016,0.62931,,0.001086341
7980,10.1039/c5ee02600h,7847,1(a),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,350,0.0000063871,0.0045615,-0.00015668,-0.061449,0.89858,156565.5774921326,-0.0742322902
7980,10.1039/c5ee02600h,7847,1(a),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,400,0.0000069633,0.0046892,-0.0001661,0.029875,0.99261,143610.0699381041,0.1569606695
7980,10.1039/c5ee02600h,7847,1(a),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,450,0.0000075395,0.004817,-0.00017552,0.1212,17.885,132634.7901054446,0.0397442244
7980,10.1039/c5ee02600h,7847,1(a),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,500,0.0000081158,0.0042143,-0.00018494,0.21252,9.9151,123216.4420020208,0.0198301336
7980,10.1039/c5ee02600h,7847,1(a),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,550,0.000008692,0.004346,-0.00019436,0.30385,7.8667,115048.3202945237,0.0143031101
