sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Inverse temperature,Electrical conductivity,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,300,0.0033333,247070,,2.6555,,,4.2185,,0.0000040474,
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,350,0.0028571,204640,,2.1558,0.0015679,0.000085614,3.548,0.15467,0.0000048866,0.0004419109
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,400,0.0025,161310,,1.7896,0.0020956,0.00011454,2.9774,0.28153,0.0000061992,0.0007038356
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,450,0.0022222,122430,,1.5193,0.0024867,0.00014562,2.5061,0.44652,0.0000081679,0.0009922589
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,500,0.002,90894,,1.3176,0.0027246,0.00017583,2.1291,0.63985,0.0000110018,0.0012796956
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,550,0.0018182,67631,,1.1657,0.0028179,0.00020317,1.8378,0.84332,0.0000147861,0.0015333007
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,600,0.0016667,52098,,1.0516,0.0027938,0.00022649,1.6215,1.0338,0.0000191946,0.0017229726
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,650,0.0015385,42782,,0.96811,0.00269,0.00024529,1.4682,1.1909,0.0000233743,0.0018321755
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,700,0.0014286,37693,,0.91134,0.0025472,0.00025953,1.366,1.3053,0.0000265301,0.0018647145
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,750,0.0013333,34862,,0.87869,0.0024014,0.00026944,1.304,1.3812,0.0000286845,0.0018415644
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,800,0.00125,32840,,0.86719,0.0022764,0.00027532,1.2738,1.4297,0.0000304507,0.0017870937
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,850,0.0011765,31191,,0.87166,0.0021762,0.00027735,1.2705,1.4559,0.0000320605,0.0017128689
14602,10.1038/ncomms12167,1883,2(a),2833,x=0,Pb0.98Na0.02Te,900,0.0011111,30991,,0.88297,0.0020774,0.00027539,1.2938,1.4451,0.0000322674,0.0016056578
14602,10.1038/ncomms12167,1883,2(a),2834,x=1.5,Pb0.965Na0.02TeSr0.015,300,0.0033333,212860,,,0.001043,,,,0.0000046979,
14602,10.1038/ncomms12167,1883,2(a),2834,x=1.5,Pb0.965Na0.02TeSr0.015,350,0.0028571,179150,,1.9575,0.0018265,0.000098514,3.1969,0.19997,0.0000055819,0.0005713347
14602,10.1038/ncomms12167,1883,2(a),2834,x=1.5,Pb0.965Na0.02TeSr0.015,400,0.0025,142310,,1.6532,0.0022909,0.00012748,2.717,0.33727,0.0000070269,0.0008431726
14602,10.1038/ncomms12167,1883,2(a),2834,x=1.5,Pb0.965Na0.02TeSr0.015,450,0.0022222,108800,,1.4388,0.002572,0.00015685,2.3163,0.49968,0.0000091912,0.0011103916
14602,10.1038/ncomms12167,1883,2(a),2834,x=1.5,Pb0.965Na0.02TeSr0.015,500,0.002,82029,,1.2722,0.0027546,0.00018538,1.9909,0.6918,0.0000121908,0.0013835954
14602,10.1038/ncomms12167,1883,2(a),2834,x=1.5,Pb0.965Na0.02TeSr0.015,550,0.0018182,63006,,1.1325,0.0028829,0.00021178,1.7359,0.91341,0.0000158715,0.0016607523
14602,10.1038/ncomms12167,1883,2(a),2834,x=1.5,Pb0.965Na0.02TeSr0.015,600,0.0016667,50998,,1.014,0.0029721,0.00023485,1.5452,1.1541,0.0000196086,0.0019234403
14602,10.1038/ncomms12167,1883,2(a),2834,x=1.5,Pb0.965Na0.02TeSr0.015,650,0.0015385,44181,,0.9204,0.0030187,0.00025362,1.4118,1.3898,0.0000226342,0.0021381924
