sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,350,0.000018851,-0.00019845,1.8197,0.51442,53047.5836825633,0.0020891413,0.0011480691
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,400,0.00002584,-0.00022169,1.5777,0.51821,38699.6904024768,0.0019019526,0.0012055224
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,450,0.000033575,-0.00024076,1.4095,0.522,29784.0655249442,0.0017264446,0.0012248631
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,500,0.000041851,-0.00025606,1.2923,0.52579,23894.2916537239,0.0015666704,0.0012123117
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,550,0.000050298,-0.00026731,1.212,0.52958,19881.5062229114,0.0014206258,0.0011721335
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,600,0.00005844,-0.00027373,1.1612,0.53337,17111.5674195756,0.0012821375,0.0011041487
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,650,0.000065744,-0.00027427,1.1385,0.53716,15210.513506936,0.0011441962,0.0010050032
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,700,0.000071673,-0.00026771,1.1469,0.54095,13952.2553820825,0.0009999392,0.0008718626
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,750,0.000075744,-0.00025287,1.1924,0.54474,13202.3658639628,0.000844202,0.0007079856
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,800,0.000077572,-0.00022878,1.283,0.54853,12891.2494198938,0.0006747317,0.0005259016
117,10.1002/aenm.201400486,4818,3(d),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,300,,,,0.51063,,,
117,10.1002/aenm.201400486,94,3(a),332,Pb0.999La0.001Te1,Pb0.999La0.001Te1,350,0.000010726,-0.00014572,2.2696,0.41375,93231.400335633,0.0019797052,0.0008722705
117,10.1002/aenm.201400486,94,3(a),332,Pb0.999La0.001Te1,Pb0.999La0.001Te1,400,0.000014352,-0.00016505,1.9487,0.45815,69676.7001114827,0.001898098,0.0009740329
117,10.1002/aenm.201400486,94,3(a),332,Pb0.999La0.001Te1,Pb0.999La0.001Te1,450,0.000018307,-0.00018347,1.7189,0.50254,54623.9143497023,0.0018387087,0.0010697008
117,10.1002/aenm.201400486,94,3(a),332,Pb0.999La0.001Te1,Pb0.999La0.001Te1,500,0.000022518,-0.00020093,1.5478,0.54693,44408.917310596,0.0017929152,0.0011583636
117,10.1002/aenm.201400486,94,3(a),332,Pb0.999La0.001Te1,Pb0.999La0.001Te1,550,0.000026933,-0.00021665,1.4173,0.59132,37129.1723907474,0.0017427402,0.0012296199
117,10.1002/aenm.201400486,94,3(a),332,Pb0.999La0.001Te1,Pb0.999La0.001Te1,600,0.000031504,-0.00022943,1.3199,0.63571,31742.001015744,0.0016708394,0.0012658833
117,10.1002/aenm.201400486,94,3(a),332,Pb0.999La0.001Te1,Pb0.999La0.001Te1,650,0.000036165,-0.00023801,1.2551,0.6801,27651.0438269045,0.0015663973,0.0012480259
117,10.1002/aenm.201400486,94,3(a),332,Pb0.999La0.001Te1,Pb0.999La0.001Te1,700,0.000040818,-0.00024141,1.226,0.7245,24498.9955411828,0.0014277718,0.0011645773
