sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Power factor,Seebeck coefficient,Electrical conductivity
303,10.1063/1.2939438,262,2-Seebeck,579,9.43*10^20,Ba8Ga16Ge30,350,,,-0.000054451,
303,10.1063/1.2939438,262,2-Seebeck,579,9.43*10^20,Ba8Ga16Ge30,400,,,-0.000063727,
303,10.1063/1.2939438,262,2-Seebeck,579,9.43*10^20,Ba8Ga16Ge30,450,,,-0.000073799,
303,10.1063/1.2939438,262,2-Seebeck,579,9.43*10^20,Ba8Ga16Ge30,500,,,-0.000083125,
303,10.1063/1.2939438,262,2-Seebeck,579,9.43*10^20,Ba8Ga16Ge30,550,,,-0.000091946,
303,10.1063/1.2939438,262,2-Seebeck,579,9.43*10^20,Ba8Ga16Ge30,600,,,-0.00010129,
303,10.1063/1.2939438,262,2-Seebeck,579,9.43*10^20,Ba8Ga16Ge30,650,,,-0.00011198,
303,10.1063/1.2939438,262,2-Seebeck,579,9.43*10^20,Ba8Ga16Ge30,700,,,-0.00012363,
303,10.1063/1.2939438,262,2-Seebeck,579,9.43*10^20,Ba8Ga16Ge30,750,,,-0.00013365,
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,350,0.000014324,0.00022097,-0.00005626,69812.9014241832
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,400,0.000015617,0.00028802,-0.000067067,64032.7847858103
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,450,0.000016884,0.00034621,-0.000076455,59227.6711679697
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,500,0.000018071,0.00040542,-0.000085594,55337.2807260251
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,550,0.000019151,0.00047196,-0.000095071,52216.594433711
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,600,0.000020151,0,-0.00010503,49625.3287678031
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,650,0.000021164,0,-0.0001153,47250.0472500473
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,700,,0,-0.00012554,
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,750,,0,-0.00013537,
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,800,,0,-0.00014447,
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,850,,0,-0.00015279,
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,900,,0,-0.0001606,
303,10.1063/1.2939438,262,2-Seebeck,591,10.2*1e+20,Ba8Ga16Ge30,950,,0,-0.0001687,
303,10.1063/1.2939438,266,3,591,10.2*1e+20,Ba8Ga16Ge30,1000,,0,,
303,10.1063/1.2939438,266,3,591,10.2*1e+20,Ba8Ga16Ge30,1050,,0,,
303,10.1063/1.2939438,266,3,591,10.2*1e+20,Ba8Ga16Ge30,1100,,0,,
303,10.1063/1.2939438,266,3,591,10.2*1e+20,Ba8Ga16Ge30,1150,,0,,
303,10.1063/1.2939438,266,3,591,10.2*1e+20,Ba8Ga16Ge30,1200,,0,,
303,10.1063/1.2939438,261,2-Res,591,10.2*1e+20,Ba8Ga16Ge30,100,0.0000091655,,,109104.7951557471
303,10.1063/1.2939438,261,2-Res,591,10.2*1e+20,Ba8Ga16Ge30,150,0.000010012,,,99880.1438274071
303,10.1063/1.2939438,261,2-Res,591,10.2*1e+20,Ba8Ga16Ge30,200,0.000010906,,,91692.6462497708
303,10.1063/1.2939438,261,2-Res,591,10.2*1e+20,Ba8Ga16Ge30,250,0.000011922,,,83878.5438684784
303,10.1063/1.2939438,261,2-Res,591,10.2*1e+20,Ba8Ga16Ge30,300,0.000013072,,,76499.388004896
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,350,0.000013272,0.00021568,-0.000053502,75346.5943339361
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,400,0.000014248,0.00027739,-0.000062867,70185.2891633914
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,450,0.000015224,0.00033964,-0.000071907,65685.7593273778
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,500,0.0000162,0.0004037,-0.00008087,61728.3950617284
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,550,0.000017175,0.00047123,-0.000089963,58224.1630276565
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,600,0.000018151,3e-10,-0.000099327,55093.3832846675
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,650,0.000019127,4e-10,-0.00010902,52282.1142887018
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,700,,5e-10,-0.00011899,
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,750,,5e-10,-0.00012903,
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,800,,6e-10,-0.00013881,
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,850,,7e-10,-0.00014778,
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,900,,8e-10,-0.0001552,
303,10.1063/1.2939438,262,2-Seebeck,592,9.86*1e+20,Ba8Ga16Ge30,950,,9e-10,-0.00016011,
303,10.1063/1.2939438,266,3,592,9.86*1e+20,Ba8Ga16Ge30,1000,,1e-9,,
303,10.1063/1.2939438,266,3,592,9.86*1e+20,Ba8Ga16Ge30,1050,,1.1e-9,,
