sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,concentrations,Electrical resistivity,Figure of merit Z
4775,10.1103/physrevb.83.195209,89,2(b),435,Pb0.995Ga0.005Se1,Pb0.995Ga0.005Se1,300,,287050,0.00089781,-0.000055926,3.4528,0.078007,,0.0000034837,0.0002600237
4775,10.1103/physrevb.83.195209,89,2(b),435,Pb0.995Ga0.005Se1,Pb0.995Ga0.005Se1,350,,223960,0.0010428,-0.000068235,3.0335,0.12032,,0.0000044651,0.0003437613
4775,10.1103/physrevb.83.195209,89,2(b),435,Pb0.995Ga0.005Se1,Pb0.995Ga0.005Se1,400,,174760,0.0012069,-0.000083103,2.6735,0.18057,,0.0000057221,0.0004514307
4775,10.1103/physrevb.83.195209,89,2(b),435,Pb0.995Ga0.005Se1,Pb0.995Ga0.005Se1,450,,136770,0.0013579,-0.00009964,2.3639,0.25849,,0.0000073115,0.0005744321
4775,10.1103/physrevb.83.195209,89,2(b),435,Pb0.995Ga0.005Se1,Pb0.995Ga0.005Se1,500,,107650,0.0014736,-0.000117,2.0982,0.35116,,0.0000092894,0.0007023163
4775,10.1103/physrevb.83.195209,89,2(b),435,Pb0.995Ga0.005Se1,Pb0.995Ga0.005Se1,550,,85445,0.0015439,-0.00013442,1.872,0.4536,,0.0000117034,0.0008247329
4775,10.1103/physrevb.83.195209,89,2(b),435,Pb0.995Ga0.005Se1,Pb0.995Ga0.005Se1,600,,68494,0.0015669,-0.00015125,1.6819,0.55897,,0.0000145998,0.0009316249
4775,10.1103/physrevb.83.195209,89,2(b),435,Pb0.995Ga0.005Se1,Pb0.995Ga0.005Se1,650,,55471,0.0015474,-0.00016702,1.5254,0.65937,,0.0000180274,0.0010144224
4775,10.1103/physrevb.83.195209,89,2(b),435,Pb0.995Ga0.005Se1,Pb0.995Ga0.005Se1,700,,45338,0.001493,-0.00018147,1.4002,0.74639,,0.0000220566,0.0010662762
4775,10.1103/physrevb.83.195209,89,2(b),435,Pb0.995Ga0.005Se1,Pb0.995Ga0.005Se1,750,,37334,0.0014134,-0.00019457,1.3029,0.81361,,0.0000267852,0.0010848108
4775,10.1103/physrevb.83.195209,89,2(b),435,Pb0.995Ga0.005Se1,Pb0.995Ga0.005Se1,800,,30951,0.001321,-0.00020659,1.2292,0.85975,,0.0000323091,0.0010746827
4775,10.1103/physrevb.83.195209,89,2(b),435,Pb0.995Ga0.005Se1,Pb0.995Ga0.005Se1,850,,25921,0.0012332,-0.00021812,1.1727,0.89385,,0.0000385788,0.0010515903
4775,10.1103/physrevb.83.195209,89,2(b),322,Pb0.985Ga0.015Se1,Pb0.985Ga0.015Se1,350,,196690,0.00039748,-0.000044954,4.1172,0.033789,,0.0000050841,0.0000965413
4775,10.1103/physrevb.83.195209,89,2(b),322,Pb0.985Ga0.015Se1,Pb0.985Ga0.015Se1,400,,165300,0.00047785,-0.000053766,3.7313,0.051226,,0.0000060496,0.0001280653
