sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Figure of merit Z
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,350,,,53048,0.000018851,0.0020892,-0.00019845,1.8197,0.51442,0.0011481013
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,400,,,38700,0.00002584,0.001902,-0.00022169,1.5777,0.51821,0.0012055524
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,450,,,29784,0.000033575,0.0017264,-0.00024076,1.4095,0.522,0.0012248315
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,500,,,23894,0.000041851,0.0015667,-0.00025606,1.2923,0.52579,0.0012123346
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,550,,,19882,0.000050298,0.0014207,-0.00026731,1.212,0.52958,0.0011721947
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,600,,,17112,0.00005844,0.0012822,-0.00027373,1.1612,0.53337,0.0011042025
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,650,,,15211,0.000065744,0.0011442,-0.00027427,1.1385,0.53716,0.0010050066
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,700,,,13952,0.000071673,0.00099992,-0.00026771,1.1469,0.54095,0.0008718458
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,750,,,13202,0.000075744,0.00084418,-0.00025287,1.1924,0.54474,0.0007079671
117,10.1002/aenm.201400486,94,3(a),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,800,,,12891,0.000077572,0.00067472,-0.00022878,1.283,0.54853,0.0005258924
117,10.1002/aenm.201400486,4818,3(d),282,Pb0.9995La0.0005Te1,Pb0.9995La0.0005Te1,300,,,,,,,,0.51063,
