sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Inverse temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Figure of merit Z
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,300,0.0033333,,,74772,0.000013374,,,0.0018716,0.00015821,,0.30153,
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,350,0.0028571,,,65377,0.000015296,,,0.0020709,0.00017798,,1.9066,
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,400,0.0025,,,49225,0.000020315,,,0.0019249,0.00019775,,1.7885,
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,450,0.0022222,,,36587,0.000027332,,,0.0017313,0.00021753,,1.6705,
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,500,0.002,,,28202,0.000035459,,,0.0015881,0.0002373,,1.5524,
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,550,0.0018182,,,22720,0.000044014,,,0.0015015,0.00025707,,1.4344,
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,600,0.0016667,,,19039,0.000052523,,,0.0014592,0.00027684,,1.3164,
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,650,0.0015385,,,16469,0.00006072,,,0.0014489,0.00029661,,1.1983,
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,700,0.0014286,,,14589,0.000068546,,,0.0014604,0.00031639,,1.0803,
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,750,0.0013333,,,13132,0.00007615,,,0.001484,0.00033616,,0.96221,
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,800,0.00125,,,,,,,,,,0.84417,
156,10.1002/adma.201103153,21538,1a,26783,5.8e19,MgxPb1‐xTe:Na,300,0.0033333,,,186220,0.00000537,,,,,,0.26722,
156,10.1002/adma.201103153,21538,1a,26783,5.8e19,MgxPb1‐xTe:Na,350,0.0028571,,,101260,0.0000098752,,,0.0028159,0.00016676,,2.0936,
156,10.1002/adma.201103153,21538,1a,26783,5.8e19,MgxPb1‐xTe:Na,400,0.0025,,,69541,0.00001438,,,0.0023834,0.00018513,,1.9534,
156,10.1002/adma.201103153,21538,1a,26783,5.8e19,MgxPb1‐xTe:Na,450,0.0022222,,,52949,0.000018886,,,0.0021927,0.0002035,,1.8132,
156,10.1002/adma.201103153,21538,1a,26783,5.8e19,MgxPb1‐xTe:Na,500,0.002,,,42751,0.000023391,,,0.0021045,0.00022187,,1.673,
156,10.1002/adma.201103153,21538,1a,26783,5.8e19,MgxPb1‐xTe:Na,550,0.0018182,,,35847,0.000027896,,,0.0020689,0.00024024,,1.5328,
156,10.1002/adma.201103153,21538,1a,26783,5.8e19,MgxPb1‐xTe:Na,600,0.0016667,,,30863,0.000032401,,,0.0020641,0.00025861,,1.3926,
156,10.1002/adma.201103153,21538,1a,26783,5.8e19,MgxPb1‐xTe:Na,650,0.0015385,,,27096,0.000036906,,,0.0020789,0.00027699,,1.2524,
156,10.1002/adma.201103153,21538,1a,26783,5.8e19,MgxPb1‐xTe:Na,700,0.0014286,,,24148,0.000041412,,,0.0021066,0.00029536,,1.1123,
156,10.1002/adma.201103153,21538,1a,26783,5.8e19,MgxPb1‐xTe:Na,750,0.0013333,,,21778,0.000045917,,,0.0021435,0.00031373,,0.97207,
156,10.1002/adma.201103153,21538,1a,26783,5.8e19,MgxPb1‐xTe:Na,800,0.00125,,,,,,,,,,0.83188,
156,10.1002/adma.201103153,21538,1a,26784,7.8e19,MgxPb1‐xTe:Na,350,0.0028571,,,108830,0.0000091889,,,0.0020132,0.00013601,,1.9871,
156,10.1002/adma.201103153,21538,1a,26784,7.8e19,MgxPb1‐xTe:Na,400,0.0025,,,86723,0.000011531,,,0.0021284,0.00015666,,1.8467,
156,10.1002/adma.201103153,21538,1a,26784,7.8e19,MgxPb1‐xTe:Na,450,0.0022222,,,69604,0.000014367,,,0.0021883,0.00017731,,1.7063,
156,10.1002/adma.201103153,21538,1a,26784,7.8e19,MgxPb1‐xTe:Na,500,0.002,,,56757,0.000017619,,,0.0022242,0.00019796,,1.5658,
156,10.1002/adma.201103153,21538,1a,26784,7.8e19,MgxPb1‐xTe:Na,550,0.0018182,,,47183,0.000021194,,,0.0022551,0.00021862,,1.4254,
156,10.1002/adma.201103153,21538,1a,26784,7.8e19,MgxPb1‐xTe:Na,600,0.0016667,,,40011,0.000024993,,,0.0022906,0.00023927,,1.2849,
156,10.1002/adma.201103153,21538,1a,26784,7.8e19,MgxPb1‐xTe:Na,650,0.0015385,,,34601,0.000028901,,,0.0023376,0.00025992,,1.1445,
156,10.1002/adma.201103153,21538,1a,26784,7.8e19,MgxPb1‐xTe:Na,700,0.0014286,,,30492,0.000032795,,,0.0024003,0.00028057,,1.0041,
156,10.1002/adma.201103153,21538,1a,26784,7.8e19,MgxPb1‐xTe:Na,750,0.0013333,,,27368,0.000036539,,,0.0024832,0.00030122,,0.86364,
156,10.1002/adma.201103153,21538,1a,26784,7.8e19,MgxPb1‐xTe:Na,800,0.00125,,,25007,0.000039989,,,,,,0.7232,
156,10.1002/adma.201103153,21539,3b,26784,7.8e19,MgxPb1‐xTe:Na,300,0.0033333,,,,,,,,0.00011536,,,
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,300,0.0033333,,,,,,,,,,0.20942,
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,350,0.0028571,,,121170,0.0000082531,,,0.0023957,0.00014061,,1.9893,
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,400,0.0025,,,92353,0.000010828,,,0.0023116,0.00015821,,1.8515,
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,450,0.0022222,,,74616,0.000013402,,,0.0023066,0.00017582,,1.7137,
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,500,0.002,,,62594,0.000015976,,,0.0023417,0.00019342,,1.576,
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,550,0.0018182,,,53905,0.000018551,,,0.0024006,0.00021103,,1.4382,
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,600,0.0016667,,,47337,0.000021125,,,0.0024744,0.00022863,,1.3004,
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,650,0.0015385,,,42196,0.000023699,,,0.0025583,0.00024623,,1.1626,
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,700,0.0014286,,,38060,0.000026274,,,0.0026494,0.00026384,,1.0248,
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,750,0.0013333,,,34664,0.000028848,,,0.0027457,0.00028144,,0.88703,
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,800,0.00125,,,,,,,,,,0.74924,
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,350,0.0028571,,,121750,0.0000082138,,,0.0018844,0.00012441,,1.9242,
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,400,0.0025,,,94286,0.000010606,,,0.0019065,0.0001422,,1.7966,
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,450,0.0022222,,,76935,0.000012998,,,0.0019693,0.00015999,,1.669,
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,500,0.002,,,64977,0.00001539,,,0.0020536,0.00017778,,1.5414,
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,550,0.0018182,,,56237,0.000017782,,,0.0021507,0.00019556,,1.4138,
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,600,0.0016667,,,49569,0.000020174,,,0.0022563,0.00021335,,1.2862,
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,650,0.0015385,,,44314,0.000022566,,,0.0023675,0.00023114,,1.1586,
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,700,0.0014286,,,40067,0.000024958,,,0.0024828,0.00024893,,1.031,
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,750,0.0013333,,,36563,0.00002735,,,0.0026009,0.00026671,,0.90344,
156,10.1002/adma.201103153,21539,3b,26786,1.0e20,MgxPb1‐xTe:Na,300,0.0033333,,,,,,,,0.00010663,,,
156,10.1002/adma.201103153,21541,3d,26786,1.0e20,MgxPb1‐xTe:Na,800,0.00125,,,,,,,,,,0.77584,
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,350,0.0028571,,,137830,0.0000072553,,,0.0022777,0.00012855,,1.9096,
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,400,0.0025,,,104570,0.0000095631,,,0.0022223,0.00014578,,1.7785,
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,450,0.0022222,,,84239,0.000011871,,,0.0022381,0.000163,,1.6474,
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,500,0.002,,,70527,0.000014179,,,0.0022909,0.00018023,,1.5164,
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,550,0.0018182,,,60654,0.000016487,,,0.0023647,0.00019745,,1.3853,
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,600,0.0016667,,,53208,0.000018794,,,0.0024522,0.00021468,,1.2542,
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,650,0.0015385,,,47389,0.000021102,,,0.0025487,0.00023191,,1.1232,
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,700,0.0014286,,,42717,0.00002341,,,0.0026513,0.00024913,,0.99211,
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,750,0.0013333,,,38883,0.000025718,,,0.0027587,0.00026636,,0.86104,
156,10.1002/adma.201103153,21539,3b,26787,1.2e20,MgxPb1‐xTe:Na,300,0.0033333,,,,,,,,0.00011133,,,
