sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Power factor,Thermal conductivity,Lattice thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,350,265080,0.000075943,0.0015421,3.9866,1.6843,0.13585,0.0000037724,0.0003868208
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,400,255800,0.000079596,0.0016137,4.0532,1.6034,0.162,0.0000039093,0.0003981299
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,450,246510,0.000083249,0.0016853,4.1199,1.5226,0.18815,0.0000040566,0.0004090633
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,500,237230,0.000086902,0.0017569,4.1866,1.4417,0.2143,0.0000042153,0.0004196484
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,550,227950,0.000090555,0.0018285,4.2532,1.3608,0.24045,0.0000043869,0.0004299116
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,600,218660,0.000094208,0.0019002,4.3199,1.2799,0.2666,0.0000045733,0.0004398713
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,650,209380,0.000097862,0.0019718,4.3866,1.199,0.29275,0.000004776,0.0004495053
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,700,200100,0.00010151,0.0020434,4.4533,1.1181,0.3189,0.0000049975,0.0004588507
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,750,190810,0.00010517,0.002115,4.5199,1.0372,0.34505,0.0000052408,0.0004679307
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,800,181530,0.00010882,0.0021866,4.5866,0.95627,0.3712,0.0000055087,0.0004767366
