sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,350,186740,,0.0016313,0.000093465,,,0.000005355,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,400,179840,,0.0018186,0.00010056,,,0.0000055605,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,450,172940,,0.0020045,0.00010766,,,0.0000057824,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,500,166050,,0.0021865,0.00011475,,,0.0000060223,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,550,159150,,0.002363,0.00012185,,,0.0000062834,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,600,152250,,0.0025316,0.00012895,,,0.0000065681,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,650,145360,,0.0026902,0.00013604,,,0.0000068795,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,700,138460,,0.0028369,0.00014314,,,0.0000072223,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,750,131560,,0.0029696,0.00015024,,,0.0000076011,
3404,10.1016/j.jssc.2012.06.019,3134,4(a)_S,4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,800,,,,0.00015733,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,350,188780,,0.001655,0.00009363,,,0.0000052972,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,400,181680,,0.0018383,0.00010059,,,0.0000055042,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,450,174580,,0.0020197,0.00010756,,,0.000005728,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,500,167480,,0.0021965,0.00011452,,,0.0000059709,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,550,160370,,0.0023666,0.00012148,,,0.0000062356,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,600,153270,,0.0025285,0.00012844,,,0.0000065244,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,650,146170,,0.0026802,0.00013541,,,0.0000068413,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,700,139070,,0.0028188,0.00014237,,,0.0000071906,
