sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,300,,,,,0.075872,,,
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,350,,,,,0.087694,,,
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,400,,,,,0.15649,,,
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,450,,,,,0.26097,,,
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,500,,,,,0.38832,,,
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,550,,,,,0.53173,,,
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,600,,,,,0.68803,,,
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,650,,,,,0.85526,,,
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,700,,,,,1.0303,,,
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,750,,,,,1.2063,,,
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,800,,,,,1.3707,,,
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,850,,,,,1.5021,,,
18603,10.1002/adma.201605887,1960,1(a),2926,(Sn0.89Mn0.14Te)(Cu2Te)0.05,(Sn0.89Mn0.14Te)(Cu2Te)0.05,900,,,,,1.5687,,,
18603,10.1002/adma.201605887,1960,1(a),2927,Sn0.97In0.015Te(CdS)0.03,Sn0.97In0.015Te(CdS)0.03,300,,,,,0.14235,,,
18603,10.1002/adma.201605887,1960,1(a),2927,Sn0.97In0.015Te(CdS)0.03,Sn0.97In0.015Te(CdS)0.03,350,,,,,0.19218,,,
18603,10.1002/adma.201605887,1960,1(a),2927,Sn0.97In0.015Te(CdS)0.03,Sn0.97In0.015Te(CdS)0.03,400,,,,,0.2636,,,
18603,10.1002/adma.201605887,1960,1(a),2927,Sn0.97In0.015Te(CdS)0.03,Sn0.97In0.015Te(CdS)0.03,450,,,,,0.34601,,,
