sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27941,10.1002/adma.201705942,25656,2(a),31967,Ge 1−x−y Sb x In y Te_ x=0_ y=0,undefined,300,,659970,1.2718,0.000021298,,-0.063577,0.0000015152,0.0002993656,
27941,10.1002/adma.201705942,25656,2(a),31967,Ge 1−x−y Sb x In y Te_ x=0_ y=0,undefined,350,,596180,1.2159,0.000036958,5.5793,0.039952,0.0000016773,0.0008143185,0.0001459535
27941,10.1002/adma.201705942,25656,2(a),31967,Ge 1−x−y Sb x In y Te_ x=0_ y=0,undefined,400,,532390,1.1601,0.000052158,5.1536,0.14348,0.0000018783,0.0014483441,0.0002810354
27941,10.1002/adma.201705942,25656,2(a),31967,Ge 1−x−y Sb x In y Te_ x=0_ y=0,undefined,450,,468600,1.1043,0.000066899,4.728,0.24701,0.000002134,0.0020972081,0.0004435719
27941,10.1002/adma.201705942,25656,2(a),31967,Ge 1−x−y Sb x In y Te_ x=0_ y=0,undefined,500,,404810,1.0485,0.000081181,4.3023,0.35054,0.0000024703,0.0026678415,0.0006200966
27941,10.1002/adma.201705942,25656,2(a),31967,Ge 1−x−y Sb x In y Te_ x=0_ y=0,undefined,550,,341020,0.99268,0.000095004,3.8767,0.45407,0.0000029324,0.0030779647,0.0007939651
27941,10.1002/adma.201705942,25656,2(a),31967,Ge 1−x−y Sb x In y Te_ x=0_ y=0,undefined,600,,277220,0.93687,0.00010837,3.451,0.5576,0.0000036072,0.0032556875,0.0009434041
27941,10.1002/adma.201705942,25656,2(a),31967,Ge 1−x−y Sb x In y Te_ x=0_ y=0,undefined,650,,213430,0.88105,0.00012127,3.0254,0.66113,0.0000046854,0.0031387897,0.0010374792
27941,10.1002/adma.201705942,25656,2(a),31967,Ge 1−x−y Sb x In y Te_ x=0_ y=0,undefined,700,,149640,0.82524,0.00013372,2.5998,0.76466,0.0000066827,0.0026757186,0.0010292017
27941,10.1002/adma.201705942,25656,2(a),31967,Ge 1−x−y Sb x In y Te_ x=0_ y=0,undefined,750,,85850,0.76942,0.0001457,2.1741,0.86818,0.0000116482,0.0018224659,0.0008382622
27941,10.1002/adma.201705942,25656,2(a),31968,Ge 1−x−y Sb x In y Te_ x=0.05_ y=0,undefined,350,,228370,0.9769,0.000075971,2.4617,0.17494,0.0000043789,0.0013180587,0.0005354262
27941,10.1002/adma.201705942,25656,2(a),31968,Ge 1−x−y Sb x In y Te_ x=0.05_ y=0,undefined,400,,206870,0.94981,0.000091653,2.3345,0.32972,0.000004834,0.0017377644,0.000744384
27941,10.1002/adma.201705942,25656,2(a),31968,Ge 1−x−y Sb x In y Te_ x=0.05_ y=0,undefined,450,,185360,0.92272,0.00010734,2.2073,0.48449,0.0000053949,0.0021356949,0.0009675599
27941,10.1002/adma.201705942,25656,2(a),31968,Ge 1−x−y Sb x In y Te_ x=0.05_ y=0,undefined,500,,163860,0.89563,0.00012302,2.0801,0.63926,0.0000061028,0.0024798442,0.0011921755
27941,10.1002/adma.201705942,25656,2(a),31968,Ge 1−x−y Sb x In y Te_ x=0.05_ y=0,undefined,550,,142360,0.86853,0.0001387,1.9529,0.79404,0.0000070244,0.0027386775,0.0014023645
27941,10.1002/adma.201705942,25656,2(a),31968,Ge 1−x−y Sb x In y Te_ x=0.05_ y=0,undefined,600,,120860,0.84144,0.00015438,1.8258,0.94881,0.000008274,0.0028804787,0.0015776529
27941,10.1002/adma.201705942,25656,2(a),31968,Ge 1−x−y Sb x In y Te_ x=0.05_ y=0,undefined,650,,99354,0.81435,0.00017007,1.6986,1.1036,0.000010065,0.0028736957,0.0016918025
27941,10.1002/adma.201705942,25656,2(a),31968,Ge 1−x−y Sb x In y Te_ x=0.05_ y=0,undefined,700,,77852,0.78726,0.00018575,1.5714,1.2584,0.0000128449,0.0026861324,0.0017093881
27941,10.1002/adma.201705942,25656,2(a),31968,Ge 1−x−y Sb x In y Te_ x=0.05_ y=0,undefined,750,,56349,0.76017,0.00020143,1.4442,1.4131,0.0000177465,0.0022863069,0.0015830957
27941,10.1002/adma.201705942,25661,2(f),31968,Ge 1−x−y Sb x In y Te_ x=0.05_ y=0,undefined,300,,,,,,0.020169,,,
27941,10.1002/adma.201705942,25656,2(a),31969,Ge 1−x−y Sb x In y Te_ x=0.1_ y=0,undefined,350,,80206,0.88717,0.00015538,1.368,0.49725,0.0000124679,0.001936409,0.0014155037
27941,10.1002/adma.201705942,25656,2(a),31969,Ge 1−x−y Sb x In y Te_ x=0.1_ y=0,undefined,400,,78210,0.86333,0.00016399,1.3634,0.65946,0.0000127861,0.0021032796,0.0015426725
27941,10.1002/adma.201705942,25656,2(a),31969,Ge 1−x−y Sb x In y Te_ x=0.1_ y=0,undefined,450,,76214,0.8395,0.00017261,1.3588,0.82168,0.0000131209,0.0022707361,0.0016711334
27941,10.1002/adma.201705942,25656,2(a),31969,Ge 1−x−y Sb x In y Te_ x=0.1_ y=0,undefined,500,,74218,0.81567,0.00018122,1.3542,0.98389,0.0000134738,0.0024373702,0.0017998599
27941,10.1002/adma.201705942,25656,2(a),31969,Ge 1−x−y Sb x In y Te_ x=0.1_ y=0,undefined,550,,72222,0.79184,0.00018984,1.3496,1.1461,0.0000138462,0.002602825,0.0019285899
27941,10.1002/adma.201705942,25656,2(a),31969,Ge 1−x−y Sb x In y Te_ x=0.1_ y=0,undefined,600,,70226,0.768,0.00019846,1.3449,1.3083,0.0000142397,0.0027659473,0.0020566193
27941,10.1002/adma.201705942,25656,2(a),31969,Ge 1−x−y Sb x In y Te_ x=0.1_ y=0,undefined,650,,68230,0.74417,0.00020707,1.3403,1.4705,0.0000146563,0.0029255649,0.0021827687
27941,10.1002/adma.201705942,25656,2(a),31969,Ge 1−x−y Sb x In y Te_ x=0.1_ y=0,undefined,700,,66234,0.72034,0.00021569,1.3357,1.6328,0.000015098,0.0030813498,0.0023069176
27941,10.1002/adma.201705942,25656,2(a),31969,Ge 1−x−y Sb x In y Te_ x=0.1_ y=0,undefined,750,,64238,0.69651,0.0002243,1.3311,1.795,0.0000155671,0.0032318453,0.0024279508
27941,10.1002/adma.201705942,25661,2(f),31969,Ge 1−x−y Sb x In y Te_ x=0.1_ y=0,undefined,300,,,,,,0.33503,,,
27941,10.1002/adma.201705942,25656,2(a),31970,Ge 1−x−y Sb x In y Te_ x=0.12_ y=0,undefined,350,,26077,0.83423,0.00017643,1.1278,0.23381,0.000038348,0.000811713,0.0007197313
27941,10.1002/adma.201705942,25656,2(a),31970,Ge 1−x−y Sb x In y Te_ x=0.12_ y=0,undefined,400,,29712,0.81886,0.00018579,1.1543,0.37486,0.0000336564,0.0010255966,0.0008885009
27941,10.1002/adma.201705942,25656,2(a),31970,Ge 1−x−y Sb x In y Te_ x=0.12_ y=0,undefined,450,,33347,0.80348,0.00019381,1.1807,0.51592,0.0000299877,0.0012525906,0.0010608881
27941,10.1002/adma.201705942,25656,2(a),31970,Ge 1−x−y Sb x In y Te_ x=0.12_ y=0,undefined,500,,36983,0.78811,0.0002005,1.2072,0.65698,0.0000270395,0.0014867258,0.0012315489
27941,10.1002/adma.201705942,25656,2(a),31970,Ge 1−x−y Sb x In y Te_ x=0.12_ y=0,undefined,550,,40618,0.77274,0.00020585,1.2336,0.79803,0.0000246196,0.0017211562,0.0013952304
27941,10.1002/adma.201705942,25656,2(a),31970,Ge 1−x−y Sb x In y Te_ x=0.12_ y=0,undefined,600,,44253,0.75736,0.00020986,1.2601,0.93909,0.0000225973,0.0019489561,0.0015466678
27941,10.1002/adma.201705942,25656,2(a),31970,Ge 1−x−y Sb x In y Te_ x=0.12_ y=0,undefined,650,,47889,0.74199,0.00021253,1.2865,1.0801,0.0000208816,0.0021630983,0.0016813823
27941,10.1002/adma.201705942,25656,2(a),31970,Ge 1−x−y Sb x In y Te_ x=0.12_ y=0,undefined,700,,51524,0.72661,0.00021387,1.3129,1.2212,0.0000194084,0.0023567272,0.0017950546
27941,10.1002/adma.201705942,25656,2(a),31970,Ge 1−x−y Sb x In y Te_ x=0.12_ y=0,undefined,750,,55159,0.71124,0.00021387,1.3394,1.3623,0.0000181294,0.0025229934,0.0018836744
27941,10.1002/adma.201705942,25657,2(b),31970,Ge 1−x−y Sb x In y Te_ x=0.12_ y=0,undefined,300,,,,0.00016574,1.1014,0.09275,,,
27941,10.1002/adma.201705942,25656,2(a),31971,Ge 1−x−y Sb x In y Te_ x=0.1_ y=0.005,undefined,350,,49516,0.76474,0.00019561,1.034,0.68969,0.0000201955,0.0018946442,0.0018323445
