sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical conductivity,Power factor,Figure of merit Z
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,350,,,0.0000013423,-0.000026989,5.8948,0.03222,,744989.9426357744,0.0005426552,0.0000920566
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,400,,,0.0000016456,-0.000031849,5.3295,0.046264,,607681.0889645114,0.0006164067,0.0001156594
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,450,,,0.0000019709,-0.000038966,4.8292,0.071787,,507382.4141255264,0.0007703837,0.0001595261
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,500,,,0.0000023296,-0.000046503,4.3739,0.10612,,429258.2417582417,0.0009282834,0.0002122324
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,550,,,0.0000027199,-0.000053911,3.9549,0.1486,,367660.5757564617,0.0010685672,0.0002701882
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,600,,,0.000003139,-0.000061455,3.5699,0.20222,,318572.7938834024,0.0012031593,0.0003370289
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,650,,,0.0000035939,-0.000069748,3.2191,0.27332,,278249.2556832411,0.0013536224,0.0004204972
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,700,,,0.0000041137,-0.000079278,2.9011,0.36864,,243090.1621411381,0.001527822,0.0005266354
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,750,,,0.0000047608,-0.000089945,2.6083,0.48863,,210048.7313056629,0.0016993159,0.0006515032
860,10.1039/c1ee01314a,51,7,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,800,,,,,2.3232,,,,,
860,10.1039/c1ee01314a,8,3,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,300,,,0.0000010253,,,,,975324.2953281967,,
860,10.1039/c1ee01314a,88,2,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,350,,,0.0000025177,-0.000075729,3.368,0.23671,,397187.9096000318,0.0022778256,0.000676314
860,10.1039/c1ee01314a,88,2,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,400,,,0.00000337,-0.000090582,2.8552,0.3411,,296735.9050445104,0.0024347474,0.0008527415
