sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,ZT,total thermal conductivity,Electrical resistivity,Power factor
18798,10.3390/ma10030251,18067,4(b),21759,Cu-doped Cu Bi Sb Te x=0,Bi0.5Sb1.5Te3,50,,0.076999,1.0173,,,,,
18798,10.3390/ma10030251,18067,4(b),21759,Cu-doped Cu Bi Sb Te x=0,Bi0.5Sb1.5Te3,100,,0.051777,0.94563,,,,,
18798,10.3390/ma10030251,18068,5(a),21759,Cu-doped Cu Bi Sb Te x=0,Bi0.5Sb1.5Te3,350,31552,,0.61115,0.00023743,0.72683,0.80642,0.0000316937,0.0017786811
18798,10.3390/ma10030251,18068,5(a),21759,Cu-doped Cu Bi Sb Te x=0,Bi0.5Sb1.5Te3,400,30035,,0.58967,0.00022806,0.63449,0.89856,0.0000332945,0.0015621613
18798,10.3390/ma10030251,18068,5(a),21759,Cu-doped Cu Bi Sb Te x=0,Bi0.5Sb1.5Te3,450,28518,,0.56819,0.00021059,0.54216,0.99069,0.0000350656,0.0012647205
18798,10.3390/ma10030251,18068,5(a),21759,Cu-doped Cu Bi Sb Te x=0,Bi0.5Sb1.5Te3,500,27002,,0.54671,0.00019146,0.44983,1.0828,0.0000370343,0.0009898105
18798,10.3390/ma10030251,18068,5(a),21759,Cu-doped Cu Bi Sb Te x=0,Bi0.5Sb1.5Te3,550,25485,,0.52523,0.0001723,0.35749,1.175,0.0000392388,0.0007565806
18798,10.3390/ma10030251,18068,5(a),21759,Cu-doped Cu Bi Sb Te x=0,Bi0.5Sb1.5Te3,600,,,,,,1.2671,,
18798,10.3390/ma10030251,18071,5(c),21759,Cu-doped Cu Bi Sb Te x=0,Bi0.5Sb1.5Te3,150,,,0.874,,,,,
18798,10.3390/ma10030251,18071,5(c),21759,Cu-doped Cu Bi Sb Te x=0,Bi0.5Sb1.5Te3,200,,,0.80237,,,,,
18798,10.3390/ma10030251,18071,5(c),21759,Cu-doped Cu Bi Sb Te x=0,Bi0.5Sb1.5Te3,250,,,0.73074,,,,,
18798,10.3390/ma10030251,18071,5(c),21759,Cu-doped Cu Bi Sb Te x=0,Bi0.5Sb1.5Te3,300,33069,,0.65911,,0.81916,,0.0000302398,
18798,10.3390/ma10030251,18067,4(b),21760,Cu-doped Cu Bi Sb Te x=0.005,Cu0.005Bi0.5Sb1.495Te3,50,,0.096147,,,,,,
18798,10.3390/ma10030251,18067,4(b),21760,Cu-doped Cu Bi Sb Te x=0.005,Cu0.005Bi0.5Sb1.495Te3,100,,0.071454,,,,,,
18798,10.3390/ma10030251,18068,5(a),21760,Cu-doped Cu Bi Sb Te x=0.005,Cu0.005Bi0.5Sb1.495Te3,350,101580,,0.30805,0.00017685,1.2361,0.87711,0.0000098445,0.0031770082
18798,10.3390/ma10030251,18068,5(a),21760,Cu-doped Cu Bi Sb Te x=0.005,Cu0.005Bi0.5Sb1.495Te3,400,86134,,0.30696,0.00018298,1.1818,0.89574,0.0000116098,0.0028839111
18798,10.3390/ma10030251,18068,5(a),21760,Cu-doped Cu Bi Sb Te x=0.005,Cu0.005Bi0.5Sb1.495Te3,450,70692,,0.30586,0.00018912,1.1276,0.91436,0.0000141459,0.0025283965
18798,10.3390/ma10030251,18068,5(a),21760,Cu-doped Cu Bi Sb Te x=0.005,Cu0.005Bi0.5Sb1.495Te3,500,55250,,0.30476,0.00019526,1.0733,0.93299,0.0000180995,0.0021064873
18798,10.3390/ma10030251,18068,5(a),21760,Cu-doped Cu Bi Sb Te x=0.005,Cu0.005Bi0.5Sb1.495Te3,550,39808,,0.30366,0.0002014,1.0191,0.95161,0.0000251206,0.0016146905
18798,10.3390/ma10030251,18068,5(a),21760,Cu-doped Cu Bi Sb Te x=0.005,Cu0.005Bi0.5Sb1.495Te3,600,,,0.30256,,,0.97024,,
18798,10.3390/ma10030251,18072,6,21760,Cu-doped Cu Bi Sb Te x=0.005,Cu0.005Bi0.5Sb1.495Te3,300,117020,,,,1.2903,,0.0000085455,
18798,10.3390/ma10030251,18067,4(b),21762,Cu-doped CuxBi0.5Sb1.5-xTe3 x=0.01,Cu0.01Bi0.5Sb1.49Te3,50,,0.086474,0.8848,,,,,
18798,10.3390/ma10030251,18067,4(b),21762,Cu-doped CuxBi0.5Sb1.5-xTe3 x=0.01,Cu0.01Bi0.5Sb1.49Te3,100,,0.064082,0.77492,,,,,
18798,10.3390/ma10030251,18068,5(a),21762,Cu-doped CuxBi0.5Sb1.5-xTe3 x=0.01,Cu0.01Bi0.5Sb1.49Te3,350,118840,,0.30805,0.00016228,1.1413,0.97347,0.0000084147,0.0031296274
