sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Hall concentration,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,hall density,Figure of merit Z
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,350,,,265080,0.0000037724,,,1.6843,0.0015421,0.000075943,3.9866,0.13585,,0.0003868208
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,400,,,255800,0.0000039093,,,1.6034,0.0016137,0.000079596,4.0532,0.162,,0.0003981299
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,450,,,246510,0.0000040566,,,1.5226,0.0016853,0.000083249,4.1199,0.18815,,0.0004090633
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,500,,,237230,0.0000042153,,,1.4417,0.0017569,0.000086902,4.1866,0.2143,,0.0004196484
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,550,,,227950,0.0000043869,,,1.3608,0.0018285,0.000090555,4.2532,0.24045,,0.0004299116
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,600,,,218660,0.0000045733,,,1.2799,0.0019002,0.000094208,4.3199,0.2666,,0.0004398713
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,650,,,209380,0.000004776,,,1.199,0.0019718,0.000097862,4.3866,0.29275,,0.0004495053
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,700,,,200100,0.0000049975,,,1.1181,0.0020434,0.00010151,4.4533,0.3189,,0.0004588507
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,750,,,190810,0.0000052408,,,1.0372,0.002115,0.00010517,4.5199,0.34505,,0.0004679307
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,800,,,181530,0.0000055087,,,0.95627,0.0021866,0.00010882,4.5866,0.3712,,0.0004767366
2429,10.1007/s11664-012-2253-9,2859,2,4102,Yb0.9Fe3CoSb12,Yb0.9Fe3CoSb12,350,,,193960,0.0000051557,,,1.15,0.0015262,0.00008876,2.848,0.19222,,0.0005358848
2429,10.1007/s11664-012-2253-9,2859,2,4102,Yb0.9Fe3CoSb12,Yb0.9Fe3CoSb12,400,,,188120,0.0000053158,,,1.0734,0.0016369,0.000093462,2.8958,0.23647,,0.0005652669
2429,10.1007/s11664-012-2253-9,2859,2,4102,Yb0.9Fe3CoSb12,Yb0.9Fe3CoSb12,450,,,182270,0.0000054864,,,0.99686,0.0017477,0.000098163,2.9435,0.28073,,0.0005937489
2429,10.1007/s11664-012-2253-9,2859,2,4102,Yb0.9Fe3CoSb12,Yb0.9Fe3CoSb12,500,,,176430,0.000005668,,,0.92029,0.0018585,0.00010287,2.9912,0.32498,,0.0006213225
2429,10.1007/s11664-012-2253-9,2859,2,4102,Yb0.9Fe3CoSb12,Yb0.9Fe3CoSb12,550,,,170580,0.0000058624,,,0.84372,0.0019692,0.00010757,3.039,0.36923,,0.0006479763
2429,10.1007/s11664-012-2253-9,2859,2,4102,Yb0.9Fe3CoSb12,Yb0.9Fe3CoSb12,600,,,164730,0.0000060705,,,0.76714,0.00208,0.00011227,3.0867,0.41349,,0.0006738588
2429,10.1007/s11664-012-2253-9,2859,2,4102,Yb0.9Fe3CoSb12,Yb0.9Fe3CoSb12,650,,,158890,0.0000062937,,,0.69057,0.0021908,0.00011697,3.1344,0.45774,,0.0006989535
2429,10.1007/s11664-012-2253-9,2859,2,4102,Yb0.9Fe3CoSb12,Yb0.9Fe3CoSb12,700,,,153040,0.0000065342,,,0.614,0.0023015,0.00012167,3.1821,0.502,,0.0007232645
2429,10.1007/s11664-012-2253-9,2859,2,4102,Yb0.9Fe3CoSb12,Yb0.9Fe3CoSb12,750,,,147200,0.0000067935,,,0.53743,0.0024123,0.00012637,3.2299,0.54625,,0.0007468652
2429,10.1007/s11664-012-2253-9,2859,2,4102,Yb0.9Fe3CoSb12,Yb0.9Fe3CoSb12,800,,,141350,0.0000070746,,,0.46085,0.002523,0.00013108,3.2776,0.59051,,0.0007697706
2429,10.1007/s11664-012-2253-9,2859,2,4103,Yb0.6Fe2Co2Sb12,Yb0.6Fe2Co2Sb12,350,,,116700,0.000008569,,,1.164,0.0010119,0.00009231,2.1986,0.16508,,0.0004602474
2429,10.1007/s11664-012-2253-9,2859,2,4103,Yb0.6Fe2Co2Sb12,Yb0.6Fe2Co2Sb12,400,,,113830,0.000008785,,,1.1215,0.0010927,0.0000972,2.2442,0.20429,,0.0004868996
2429,10.1007/s11664-012-2253-9,2859,2,4103,Yb0.6Fe2Co2Sb12,Yb0.6Fe2Co2Sb12,450,,,110970,0.0000090114,,,1.079,0.0011736,0.00010209,2.2898,0.2435,,0.0005125338
2429,10.1007/s11664-012-2253-9,2859,2,4103,Yb0.6Fe2Co2Sb12,Yb0.6Fe2Co2Sb12,500,,,108100,0.0000092507,,,1.0364,0.0012544,0.00010698,2.3353,0.28272,,0.0005371473
2429,10.1007/s11664-012-2253-9,2859,2,4103,Yb0.6Fe2Co2Sb12,Yb0.6Fe2Co2Sb12,550,,,105240,0.0000095021,,,0.9939,0.0013353,0.00011187,2.3809,0.32193,,0.0005608383
2429,10.1007/s11664-012-2253-9,2859,2,4103,Yb0.6Fe2Co2Sb12,Yb0.6Fe2Co2Sb12,600,,,102370,0.0000097685,,,0.95136,0.0014161,0.00011676,2.4265,0.36114,,0.0005835978
