sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,303,41464,0.000083358,1.7428,0.050091,0.0000241173,0.0002881149,0.0001653173
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,303.5,41445,0.000083463,1.7419,0.80727,0.0000241284,0.0002887089,0.0001657437
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,304,41426,0.000083567,1.741,0.80798,0.0000241394,0.0002892961,0.0001661666
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,304.5,41407,0.000083672,1.7401,0.80868,0.0000241505,0.0002898906,0.0001665942
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,305,41388,0.000083776,1.7392,0.80938,0.0000241616,0.0002904783,0.0001670183
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,305.5,41369,0.000083881,1.7383,0.81009,0.0000241727,0.0002910732,0.000167447
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,306,41350,0.000083985,1.7374,0.81079,0.0000241838,0.0002916614,0.0001678723
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,306.5,41331,0.00008409,1.7365,0.81149,0.0000241949,0.0002922568,0.0001683022
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,307,41312,0.000084195,1.7356,0.81219,0.000024206,0.0002928524,0.0001687327
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,307.5,41293,0.000084299,1.7347,0.8129,0.0000242172,0.0002934413,0.0001691597
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,308,41274,0.000084404,1.7339,0.8136,0.0000242283,0.0002940374,0.0001695815
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,308.5,41255,0.000084508,1.733,0.8143,0.0000242395,0.0002946268,0.0001700097
27947,10.1016/j.actamat.2017.10.015,25465,Figure 2A,31712,Mg(3-x-0.0125)ZnxNa0.0125Sb2_ x=0,undefined,309,41236,0.000084613,1.7321,0.815,0.0000242507,0.0002952234,0.0001704424
